#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            IonIon              LocalECP            NonLocalECP         BlockWeight         BlockCPU            AcceptRatio         
         0   -1.2442700692e+01    1.5496659539e+02   -2.1919916492e+01    9.4772157998e+00    1.7934195563e+01    1.3050037665e+01   -5.4198866498e+01    1.2947167777e+00    5.1200000000e+02    1.7458222248e-01    4.6691406250e-01
         1   -1.2478748139e+01    1.5585994827e+02   -2.2053439132e+01    9.5746909939e+00    1.7862149451e+01    1.3050037665e+01   -5.3964209669e+01    9.9858342151e-01    5.1200000000e+02    1.7449857295e-01    4.7292968750e-01
         2   -1.2433920275e+01    1.5476612665e+02   -2.2208104514e+01    9.7741842388e+00    1.8168182912e+01    1.3050037665e+01   -5.4253761895e+01    8.2743680430e-01    5.1200000000e+02    1.7707688920e-01    4.6917968750e-01
         3   -1.2438303136e+01    1.5484088788e+02   -2.2247808221e+01    9.8095050850e+00    1.8437303246e+01    1.3050037665e+01   -5.4777622839e+01    1.0424737074e+00    5.1200000000e+02    1.7930684239e-01    4.6820312500e-01
         4   -1.2421735659e+01    1.5445538440e+02   -2.2089701972e+01    9.6679663131e+00    1.8195633024e+01    1.3050037665e+01   -5.4515593547e+01    1.1802208858e+00    5.1200000000e+02    1.7756344844e-01    4.7593750000e-01
         5   -1.2421448093e+01    1.5446878988e+02   -2.2367702128e+01    9.9462540355e+00    1.8229136317e+01    1.3050037665e+01   -5.4333253229e+01    6.8637711840e-01    5.1200000000e+02    1.7608846631e-01    4.7437500000e-01
         6   -1.2475915182e+01    1.5587433096e+02   -2.2009618332e+01    9.5337031495e+00    1.8068375351e+01    1.3050037665e+01   -5.4249902205e+01    1.1218708572e+00    5.1200000000e+02    1.7701935861e-01    4.7199218750e-01
         7   -1.2453170154e+01    1.5520394831e+02   -2.2012171584e+01    9.5590014297e+00    1.8109930267e+01    1.3050037665e+01   -5.4043480058e+01    8.7134054272e-01    5.1200000000e+02    1.7664460652e-01    4.7273437500e-01
         8   -1.2413154763e+01    1.5426068918e+02   -2.2502927357e+01    1.0089772594e+01    1.8281310289e+01    1.3050037665e+01   -5.4695318285e+01    8.6104297477e-01    5.1200000000e+02    1.7678149976e-01    4.7195312500e-01
         9   -1.2450856223e+01    1.5516088166e+02   -2.2452599716e+01    1.0001743492e+01    1.8365732047e+01    1.3050037665e+01   -5.4825116962e+01    9.5674753447e-01    5.1200000000e+02    1.7875984870e-01    4.7433593750e-01
        10   -1.2469379750e+01    1.5563717041e+02   -2.2238649264e+01    9.7692695136e+00    1.8246676499e+01    1.3050037665e+01   -5.4318636207e+01    7.8327277926e-01    5.1200000000e+02    1.7731685750e-01    4.7429687500e-01
        11   -1.2470112747e+01    1.5564415760e+02   -2.2367807232e+01    9.8976944846e+00    1.8048951176e+01    1.3050037665e+01   -5.4380254802e+01    9.1345873008e-01    5.1200000000e+02    1.7576350551e-01    4.7269531250e-01
        12   -1.2463582516e+01    1.5558147613e+02   -2.1998054521e+01    9.5344720058e+00    1.7971816092e+01    1.3050037665e+01   -5.3959854726e+01    9.3994644782e-01    5.1200000000e+02    1.7398727220e-01    4.7328125000e-01
