#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            IonIon              LocalECP            NonLocalECP         BlockWeight         BlockCPU            AcceptRatio         
         0    1.1730314692e+03    1.5661610159e+06    2.6006402421e+01    1.1470250668e+03    2.2294908075e+01    1.3050037665e+01   -9.3385433191e+00    0.0000000000e+00    4.0000000000e+02    5.2121462226e+00    5.3900000000e-02
         1    1.1383282401e+03    1.5491977026e+06    2.6517698345e+01    1.1118105418e+03    2.2805738413e+01    1.3050037665e+01   -9.3380777328e+00    0.0000000000e+00    4.0000000000e+02    5.2250438333e+00    5.3150000000e-02
         2    1.1061869466e+03    1.4103070312e+06    2.5557782185e+01    1.0806291644e+03    2.1845473646e+01    1.3050037665e+01   -9.3377291251e+00    0.0000000000e+00    4.0000000000e+02    5.2262506485e+00    5.7900000000e-02
         3    1.1662426231e+03    1.5739112907e+06    2.5574682155e+01    1.1406679410e+03    2.1862448450e+01    1.3050037665e+01   -9.3378039597e+00    0.0000000000e+00    4.0000000000e+02    5.2296851873e+00    5.4750000000e-02
         4    1.1991551460e+03    1.6492535737e+06    2.6673111369e+01    1.1724820346e+03    2.2958787060e+01    1.3050037665e+01   -9.3357133560e+00    0.0000000000e+00    4.0000000000e+02    5.2254468203e+00    5.4000000000e-02
         5    1.2075770576e+03    1.6578451256e+06    2.6602299109e+01    1.1809747585e+03    2.2890888484e+01    1.3050037665e+01   -9.3386270393e+00    0.0000000000e+00    4.0000000000e+02    5.2253422141e+00    5.1950000000e-02
         6    1.1639081510e+03    1.5421519073e+06    2.6207180459e+01    1.1377009705e+03    2.2496658965e+01    1.3050037665e+01   -9.3395161708e+00    0.0000000000e+00    4.0000000000e+02    5.2248221636e+00    4.8700000000e-02
         7    1.1823069187e+03    1.5964196312e+06    2.5453983877e+01    1.1568529348e+03    2.1742051987e+01    1.3050037665e+01   -9.3381057754e+00    0.0000000000e+00    4.0000000000e+02    5.2236077785e+00    5.0600000000e-02
         8    1.1955825512e+03    1.6799061419e+06    2.5232474528e+01    1.1703500767e+03    2.1521325112e+01    1.3050037665e+01   -9.3388882486e+00    0.0000000000e+00    4.0000000000e+02    5.2268525362e+00    5.0100000000e-02
         9    1.2608801044e+03    1.7491661919e+06    2.4987112772e+01    1.2358929916e+03    2.1275198281e+01    1.3050037665e+01   -9.3381231735e+00    0.0000000000e+00    4.0000000000e+02    5.2294684649e+00    5.0750000000e-02
        10    1.0881817157e+03    1.4315412735e+06    2.6087281559e+01    1.0620944342e+03    2.2374534600e+01    1.3050037665e+01   -9.3372907065e+00    0.0000000000e+00    4.0000000000e+02    5.2242909670e+00    5.3000000000e-02
        11    1.2511261307e+03    1.8072756933e+06    2.6135733012e+01    1.2249903977e+03    2.2424616184e+01    1.3050037665e+01   -9.3389208364e+00    0.0000000000e+00    4.0000000000e+02    5.2250637412e+00    5.2900000000e-02
        12    1.0864103297e+03    1.4440037275e+06    2.6455956478e+01    1.0599543732e+03    2.2743103274e+01    1.3050037665e+01   -9.3371844614e+00    0.0000000000e+00    4.0000000000e+02    5.2224652171e+00    5.2250000000e-02
        13    1.2321595585e+03    1.7184832302e+06    2.6085720194e+01    1.2060738383e+03    2.2372647875e+01    1.3050037665e+01   -9.3369653455e+00    0.0000000000e+00    4.0000000000e+02    5.2269350886e+00    5.2450000000e-02
        14    1.1309957783e+03    1.4856352384e+06    2.5877674720e+01    1.1051181036e+03    2.2165433598e+01    1.3050037665e+01   -9.3377965426e+00    0.0000000000e+00    4.0000000000e+02    5.2274810076e+00    5.1550000000e-02
