#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            IonIon              LocalECP            NonLocalECP         BlockWeight         BlockCPU            AcceptRatio         
         0    1.0191421184e+03    1.1802032950e+06    2.8377460239e+01    9.9076465818e+02    2.4888401105e+01    1.3050037665e+01   -9.5609785304e+00    0.0000000000e+00    8.0000000000e+02    3.8169851772e+00    4.4600000000e-02
         1    9.5440153597e+02    1.0514771893e+06    2.9229553037e+01    9.2517198293e+02    2.5740409725e+01    1.3050037665e+01   -9.5608943528e+00    0.0000000000e+00    8.0000000000e+02    3.8181026599e+00    4.6525000000e-02
         2    8.9676793645e+02    9.6145902315e+05    2.8190034277e+01    8.6857790217e+02    2.4699478886e+01    1.3050037665e+01   -9.5594822738e+00    0.0000000000e+00    8.0000000000e+02    3.8496477475e+00    4.8300000000e-02
         3    9.7005380086e+02    1.0632137061e+06    2.8488329955e+01    9.4156547091e+02    2.4999472600e+01    1.3050037665e+01   -9.5611803100e+00    0.0000000000e+00    8.0000000000e+02    3.8249082373e+00    4.4325000000e-02
         4    9.5654974277e+02    1.0730598025e+06    2.8307323908e+01    9.2824241886e+02    2.4819656080e+01    1.3050037665e+01   -9.5623698365e+00    0.0000000000e+00    8.0000000000e+02    3.8225403838e+00    4.4725000000e-02
         5    9.8176798940e+02    1.1382046362e+06    2.9320456498e+01    9.5244753290e+02    2.5832530092e+01    1.3050037665e+01   -9.5621112589e+00    0.0000000000e+00    8.0000000000e+02    3.8454306077e+00    4.7400000000e-02
         6    9.1079971683e+02    9.9566043632e+05    2.7826607510e+01    8.8297310932e+02    2.4338230453e+01    1.3050037665e+01   -9.5616606076e+00    0.0000000000e+00    8.0000000000e+02    3.8153960579e+00    4.5650000000e-02
         7    1.0046853269e+03    1.1644817770e+06    2.7514802089e+01    9.7717052484e+02    2.4027365494e+01    1.3050037665e+01   -9.5626010699e+00    0.0000000000e+00    8.0000000000e+02    3.8203339424e+00    4.7000000000e-02
         8    9.3168558086e+02    1.0219124124e+06    2.7775638651e+01    9.0390994221e+02    2.4287811646e+01    1.3050037665e+01   -9.5622106591e+00    0.0000000000e+00    8.0000000000e+02    3.7935639409e+00    4.8500000000e-02
         9    9.6045134196e+02    1.1982133671e+06    2.8763310331e+01    9.3168803163e+02    2.5274034598e+01    1.3050037665e+01   -9.5607619311e+00    0.0000000000e+00    8.0000000000e+02    3.7980177484e+00    4.6025000000e-02
        10    1.0464583409e+03    1.1979903854e+06    2.8957006302e+01    1.0175013346e+03    2.5466470618e+01    1.3050037665e+01   -9.5595019810e+00    0.0000000000e+00    8.0000000000e+02    3.8219043670e+00    4.4400000000e-02
        11    9.5073878687e+02    1.0379750755e+06    2.9029631380e+01    9.2170915549e+02    2.5539644720e+01    1.3050037665e+01   -9.5600510054e+00    0.0000000000e+00    8.0000000000e+02    3.8301640444e+00    4.7825000000e-02
        12    9.5340768317e+02    1.1033077930e+06    2.9391829730e+01    9.2401585344e+02    2.5902843462e+01    1.3050037665e+01   -9.5610513968e+00    0.0000000000e+00    8.0000000000e+02    3.8262854816e+00    4.6475000000e-02
        13    9.2608326412e+02    1.0282631219e+06    2.8308328231e+01    8.9777493589e+02    2.4819850380e+01    1.3050037665e+01   -9.5615598134e+00    0.0000000000e+00    8.0000000000e+02    3.8213042688e+00    4.7825000000e-02
        14    9.3672739399e+02    1.0361323079e+06    2.8580644309e+01    9.0814674968e+02    2.5090695228e+01    1.3050037665e+01   -9.5600885839e+00    0.0000000000e+00    8.0000000000e+02    3.8245533294e+00    4.8725000000e-02
        15    9.5612952608e+02    1.0695479679e+06    2.8729271661e+01    9.2740025442e+02    2.5239101582e+01    1.3050037665e+01   -9.5598675855e+00    0.0000000000e+00    8.0000000000e+02    3.8232426497e+00    4.5025000000e-02
        16    8.8839493694e+02    1.0086176745e+06    2.8630082165e+01    8.5976485477e+02    2.5139996006e+01    1.3050037665e+01   -9.5599515059e+00    0.0000000000e+00    8.0000000000e+02    3.8014549014e+00    4.6075000000e-02
        17    9.1220847568e+02    9.5656551087e+05    2.8520148705e+01    8.8368832698e+02    2.5030777904e+01    1.3050037665e+01   -9.5606668635e+00    0.0000000000e+00    8.0000000000e+02    3.8312959839e+00    4.5650000000e-02
        18    9.4293268647e+02    1.0494891460e+06    2.8189814572e+01    9.1474287190e+02    2.4701831752e+01    1.3050037665e+01   -9.5620548444e+00    0.0000000000e+00    8.0000000000e+02    3.8422140841e+00    4.7175000000e-02
        19    9.3846290073e+02    1.0339164030e+06    2.8911297122e+01    9.0955160361e+02    2.5423025037e+01    1.3050037665e+01   -9.5617655801e+00    0.0000000000e+00    8.0000000000e+02    3.8158495494e+00    4.6700000000e-02
        20    9.7911290941e+02    1.1098743057e+06    2.8108065420e+01    9.5100484399e+02    2.4618167139e+01    1.3050037665e+01   -9.5601393842e+00    0.0000000000e+00    8.0000000000e+02    3.8327402177e+00    4.5400000000e-02
        21    1.0347189892e+03    1.2096087483e+06    2.9281073498e+01    1.0054379157e+03    2.5791038084e+01    1.3050037665e+01   -9.5600022508e+00    0.0000000000e+00    8.0000000000e+02    3.8278696343e+00    4.6450000000e-02
