# Index          LocalEnergy            Variance              Weight        NumOfWalkers      AvgSentWalkers         TrialEnergy             DiffEff      LivingFraction
         0   -1.2438055921e+01    2.6382061463e-01    4.0920000000e+03    4.0960000000e+03    0.0000000000e+00   -1.2432065660e+01    9.8650685716e-01    9.9584960938e-01
         1   -1.2450611596e+01    3.2004746281e-01    4.1007571076e+03    4.0960000000e+03    0.0000000000e+00   -1.2389203939e+01    9.8754701573e-01    9.9291992188e-01
         2   -1.2446666719e+01    2.7382667196e-01    4.0958839540e+03    4.0900000000e+03    7.5000000000e-01   -1.2377315712e+01    9.8391912398e-01    9.9779951100e-01
         3   -1.2445403452e+01    3.1237098102e-01    4.0959310320e+03    4.0970000000e+03    7.5000000000e-01   -1.2458872260e+01    9.8533687394e-01    9.9658286551e-01
         4   -1.2451032696e+01    2.3701908981e-01    4.0964090558e+03    4.1000000000e+03    7.5000000000e-01   -1.2494207751e+01    9.8732395959e-01    9.9585365854e-01
         5   -1.2454653016e+01    2.3742365632e-01    4.0962189479e+03    4.0970000000e+03    7.5000000000e-01   -1.2463238238e+01    9.8738859841e-01    9.9682694655e-01
         6   -1.2443039343e+01    2.2416069801e-01    4.0954608499e+03    4.0930000000e+03    2.5000000000e-01   -1.2418018505e+01    9.8693897940e-01    9.9657952602e-01
         7   -1.2454716808e+01    2.7744618848e-01    4.0965373746e+03    4.0980000000e+03    7.5000000000e-01   -1.2467447447e+01    9.8666994133e-01    9.9755978526e-01
         8   -1.2449465146e+01    2.4259813407e-01    4.0959331649e+03    4.1040000000e+03    7.5000000000e-01   -1.2552277815e+01    9.8602449421e-01    9.9658869396e-01
         9   -1.2445968162e+01    2.3687282573e-01    4.0959044709e+03    4.0970000000e+03    7.5000000000e-01   -1.2461670687e+01    9.8553844451e-01    9.9707102758e-01
        10   -1.2449158212e+01    2.4498762180e-01    4.0961070293e+03    4.0940000000e+03    1.0000000000e+00   -1.2421548137e+01    9.8579244097e-01    9.9658036150e-01
        11   -1.2450480821e+01    2.4919413509e-01    4.0959356058e+03    4.0890000000e+03    5.0000000000e-01   -1.2363635894e+01    9.8590321375e-01    9.9804353143e-01
        12   -1.2456893740e+01    2.5610336237e-01    4.0963699687e+03    4.1010000000e+03    2.5000000000e-01   -1.2511478754e+01    9.8690287811e-01    9.9683004145e-01
        13   -1.2455941652e+01    2.6777188326e-01    4.0957922971e+03    4.0910000000e+03    5.0000000000e-01   -1.2395821300e+01    9.8594544873e-01    9.9853336593e-01
        14   -1.2453893668e+01    2.5050047559e-01    4.0958669431e+03    4.0960000000e+03    1.0000000000e+00   -1.2455941652e+01    9.8589746410e-01    9.9755859375e-01
        15   -1.2450324899e+01    4.5231593286e-01    4.0958680179e+03    4.1020000000e+03    5.0000000000e-01   -1.2527082263e+01    9.8711861045e-01    9.9609946368e-01
        16   -1.2456583588e+01    2.8234156371e-01    4.0965876720e+03    4.0980000000e+03    2.5000000000e-01   -1.2474733003e+01    9.8614027830e-01    9.9682772084e-01
        17   -1.2465329717e+01    2.2815377074e-01    4.0965480713e+03    4.1070000000e+03    1.0000000000e+00   -1.2590680950e+01    9.8605461905e-01    9.9756513270e-01
        18   -1.2462420641e+01    2.1379492597e-01    4.0959864759e+03    4.1020000000e+03    7.5000000000e-01   -1.2538518313e+01    9.8671098276e-01    9.9609946368e-01
        19   -1.2460923355e+01    2.1349340447e-01    4.0957904745e+03    4.0900000000e+03    7.5000000000e-01   -1.2389124757e+01    9.8554688873e-01    9.9779951100e-01
        20   -1.2461713362e+01    2.5046569250e-01    4.0960436687e+03    4.1010000000e+03    2.5000000000e-01   -1.2521921288e+01    9.8685694851e-01    9.9707388442e-01
        21   -1.2464745481e+01    2.2447729809e-01    4.0962078409e+03    4.1020000000e+03    7.5000000000e-01   -1.2534901957e+01    9.8741053669e-01    9.9780594832e-01
        22   -1.2476528951e+01    2.3171376866e-01    4.0964775860e+03    4.1010000000e+03    7.5000000000e-01   -1.2525743415e+01    9.8771612974e-01    9.9756157035e-01
        23   -1.2471688210e+01    2.3354844247e-01    4.0959223646e+03    4.1070000000e+03    7.5000000000e-01   -1.2610626313e+01    9.8591089370e-01    9.9561723886e-01
        24   -1.2479985024e+01    2.6156157402e-01    4.0963326102e+03    4.0970000000e+03    2.5000000000e-01   -1.2483893751e+01    9.8697272670e-01    9.9658286551e-01
        25   -1.2475674087e+01    2.6109260277e-01    4.0958226955e+03    4.0970000000e+03    7.5000000000e-01   -1.2492190565e+01    9.8694204112e-01    9.9731510862e-01
        26   -1.2474839579e+01    2.5152997251e-01    4.0959316728e+03    4.0980000000e+03    1.0000000000e+00   -1.2500082191e+01    9.8692415283e-01    9.9755978526e-01
        27   -1.2480560365e+01    2.6233949949e-01    4.0963848752e+03    4.1060000000e+03    5.0000000000e-01   -1.2596761122e+01    9.8605901236e-01    9.9512907940e-01
        28   -1.2468986566e+01    2.5192174626e-01    4.0954689773e+03    4.0940000000e+03    2.5000000000e-01   -1.2456140340e+01    9.8568856541e-01    9.9731314118e-01
        29   -1.2472814376e+01    2.4825101527e-01    4.0961971489e+03    4.0970000000e+03    5.0000000000e-01   -1.2481192107e+01    9.8782614193e-01    9.9609470344e-01
        30   -1.2468037852e+01    2.5799244807e-01    4.0958952607e+03    4.1020000000e+03    7.5000000000e-01   -1.2546002972e+01    9.8485127979e-01    9.9707459776e-01
        31   -1.2474329519e+01    2.3872379166e-01    4.0962321251e+03    4.0990000000e+03    2.5000000000e-01   -1.2504645541e+01    9.8719702183e-01    9.9804830446e-01
        32   -1.2472954423e+01    2.2824329104e-01    4.0960039803e+03    4.1040000000e+03    7.5000000000e-01   -1.2571890526e+01    9.8596475255e-01    9.9463937622e-01
        33   -1.2459789907e+01    2.1847473297e-01    4.0953581978e+03    4.0890000000e+03    5.0000000000e-01   -1.2387432106e+01    9.8759909971e-01    9.9755441428e-01
        34   -1.2472429253e+01    2.4407235841e-01    4.0965163321e+03    4.0940000000e+03    1.0000000000e+00   -1.2435369882e+01    9.8732775056e-01    9.9755740107e-01
        35   -1.2474019041e+01    2.8147163172e-01    4.0959934621e+03    4.0920000000e+03    5.0000000000e-01   -1.2423577271e+01    9.8756684264e-01    9.9804496579e-01
        36   -1.2458962505e+01    2.5944754723e-01    4.0953358631e+03    4.0950000000e+03    5.0000000000e-01   -1.2461810519e+01    9.8610014609e-01    9.9560439560e-01
        37   -1.2469992915e+01    2.6065222772e-01    4.0964014011e+03    4.0870000000e+03    7.5000000000e-01   -1.2348978347e+01    9.8720082606e-01    9.9804257402e-01
        38   -1.2482803253e+01    3.5237093006e-01    4.0964249993e+03    4.0950000000e+03    0.0000000000e+00   -1.2457784393e+01    9.8716132463e-01    9.9584859585e-01
        39   -1.2480610090e+01    2.7600156699e-01    4.0958562810e+03    4.0910000000e+03    7.5000000000e-01   -1.2421730813e+01    9.8670138682e-01    9.9877780494e-01
        40   -1.2465900531e+01    2.8673157785e-01    4.0953474822e+03    4.0950000000e+03    5.0000000000e-01   -1.2468401569e+01    9.8811832192e-01    9.9682539683e-01
        41   -1.2465620370e+01    2.9444090149e-01    4.0959576147e+03    4.0960000000e+03    7.5000000000e-01   -1.2465900531e+01    9.8565803240e-01    9.9755859375e-01
        42   -1.2461016300e+01    3.0410743051e-01    4.0957793079e+03    4.0960000000e+03    2.5000000000e-01   -1.2465620370e+01    9.8661681914e-01    9.9682617188e-01
        43   -1.2472619932e+01    3.1380829428e-01    4.0964266500e+03    4.0940000000e+03    5.0000000000e-01   -1.2436596275e+01    9.8755645128e-01    9.9853444064e-01
        44   -1.2472538920e+01    2.5249294176e-01    4.0961012218e+03    4.1040000000e+03    5.0000000000e-01   -1.2570180939e+01    9.8648216934e-01    9.9512670565e-01
