#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            IonIon              LocalECP            NonLocalECP         BlockWeight         BlockCPU            AcceptRatio         
         0   -1.2429716844e+01    1.5469334568e+02   -2.1966145637e+01    9.5364287933e+00    1.8026782802e+01    1.3050036718e+01   -5.3993518471e+01    9.5055331347e-01    2.0480000000e+04    7.5554232597e+00    5.4271484375e-01
         1   -1.2429258395e+01    1.5470166145e+02   -2.1907039539e+01    9.4777811438e+00    1.8031955632e+01    1.3050036718e+01   -5.3901014713e+01    9.1198282420e-01    2.0480000000e+04    7.5438457131e+00    5.4217041016e-01
         2   -1.2433324303e+01    1.5481215209e+02   -2.1967146598e+01    9.5338222950e+00    1.8052281870e+01    1.3050036718e+01   -5.4042696269e+01    9.7323108242e-01    2.0480000000e+04    7.5676382184e+00    5.4063476563e-01
         3   -1.2433998846e+01    1.5482854838e+02   -2.2064445130e+01    9.6304462837e+00    1.8043851784e+01    1.3050036718e+01   -5.4077782954e+01    9.1944932325e-01    2.0480000000e+04    7.5480412245e+00    5.4103271484e-01
         4   -1.2434951154e+01    1.5486130529e+02   -2.2036866486e+01    9.6019153321e+00    1.8014243498e+01    1.3050036718e+01   -5.4016963204e+01    9.1581650155e-01    2.0480000000e+04    7.5391411781e+00    5.4078857422e-01
         5   -1.2435463351e+01    1.5492029876e+02   -2.1909375341e+01    9.4739119895e+00    1.7975466969e+01    1.3050036718e+01   -5.3868533061e+01    9.3365403320e-01    2.0480000000e+04    7.5391783118e+00    5.4326660156e-01
         6   -1.2430722494e+01    1.5472265625e+02   -2.2064900307e+01    9.6341778137e+00    1.8032370694e+01    1.3050036718e+01   -5.4097721724e+01    9.5041400387e-01    2.0480000000e+04    7.5556857586e+00    5.4089111328e-01
         7   -1.2426231336e+01    1.5461948382e+02   -2.1961661657e+01    9.5354303210e+00    1.8015185922e+01    1.3050036718e+01   -5.3922578184e+01    8.9569388743e-01    2.0480000000e+04    7.5456801653e+00    5.4148437500e-01
         8   -1.2433614246e+01    1.5481427240e+02   -2.2092814773e+01    9.6592005276e+00    1.8048641136e+01    1.3050036718e+01   -5.4136718040e+01    9.4522541287e-01    2.0480000000e+04    7.5604698062e+00    5.4085449219e-01
         9   -1.2432207883e+01    1.5477471235e+02   -2.2011705035e+01    9.5794971520e+00    1.7992497833e+01    1.3050036718e+01   -5.3996647273e+01    9.4240768745e-01    2.0480000000e+04    7.5396914482e+00    5.4232421875e-01
        10   -1.2436181400e+01    1.5485163351e+02   -2.1990229071e+01    9.5540476707e+00    1.7992975685e+01    1.3050036718e+01   -5.3965092228e+01    9.3185075454e-01    2.0480000000e+04    7.5502514243e+00    5.4150390625e-01
        11   -1.2432085853e+01    1.5477884264e+02   -2.2027715007e+01    9.5956291541e+00    1.8025115385e+01    1.3050036718e+01   -5.4072179640e+01    9.6931252973e-01    2.0480000000e+04    7.5464920402e+00    5.3934814453e-01
        12   -1.2423789679e+01    1.5459108249e+02   -2.1988738257e+01    9.5649485778e+00    1.8026098196e+01    1.3050036718e+01   -5.4012494957e+01    9.4762178643e-01    2.0480000000e+04    7.5479934216e+00    5.4265136719e-01
        13   -1.2430658225e+01    1.5473465949e+02   -2.2011148073e+01    9.5804898477e+00    1.8029755641e+01    1.3050036718e+01   -5.4029894578e+01    9.3895414577e-01    2.0480000000e+04    7.5461326838e+00    5.4245117188e-01
        14   -1.2425961852e+01    1.5463881138e+02   -2.1969142400e+01    9.5431805479e+00    1.8041036675e+01    1.3050036718e+01   -5.4020413302e+01    9.6019751013e-01    2.0480000000e+04    7.5581393242e+00    5.4239501953e-01
        15   -1.2433770179e+01    1.5480327388e+02   -2.1980563630e+01    9.5467934514e+00    1.8027670109e+01    1.3050036718e+01   -5.4003775623e+01    9.4550516644e-01    2.0480000000e+04    7.5452785492e+00    5.4243896484e-01
