#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            IonIon              LocalECP            NonLocalECP         BlockWeight         BlockCPU            AcceptRatio         
         0   -1.2442097156e+01    1.5493751325e+02   -2.1772534861e+01    9.3304377053e+00    1.7670941797e+01    1.3050036718e+01   -5.3760424287e+01    1.2669109113e+00    8.0000000000e+01    2.1826744080e-02    4.0500000000e-01
         1   -1.2449913915e+01    1.5519166479e+02   -2.0426321921e+01    7.9764080069e+00    1.7443656502e+01    1.3050036718e+01   -5.1868668355e+01    9.4865321338e-01    8.0000000000e+01    2.0497560501e-02    4.3750000000e-01
         2   -1.2388978956e+01    1.5369876811e+02   -2.3163541104e+01    1.0774562148e+01    1.8220892128e+01    1.3050036718e+01   -5.5421359286e+01    9.8688933538e-01    8.0000000000e+01    2.1716117859e-02    4.3187500000e-01
         3   -1.2416941012e+01    1.5436356467e+02   -2.1199180711e+01    8.7822396998e+00    1.7557597473e+01    1.3050036718e+01   -5.3270771718e+01    1.4639568155e+00    8.0000000000e+01    2.0597696304e-02    4.2062500000e-01
         4   -1.2332789779e+01    1.5228792645e+02   -2.1085901348e+01    8.7531115682e+00    1.7601033972e+01    1.3050036718e+01   -5.2564119670e+01    8.2714763300e-01    8.0000000000e+01    2.0945727825e-02    4.4812500000e-01
         5   -1.2375018892e+01    1.5330632292e+02   -2.1299396178e+01    8.9243772859e+00    1.8082864560e+01    1.3050036718e+01   -5.3882236059e+01    1.4499386033e+00    8.0000000000e+01    2.0828604698e-02    4.2750000000e-01
         6   -1.2545436330e+01    1.5786711009e+02   -2.2427112807e+01    9.8816764769e+00    1.7983074430e+01    1.3050036718e+01   -5.4514640935e+01    1.0544169797e+00    8.0000000000e+01    2.1742224693e-02    4.4125000000e-01
         7   -1.2530243920e+01    1.5729695913e+02   -2.1595225537e+01    9.0649816165e+00    1.7767128536e+01    1.3050036718e+01   -5.3207048544e+01    7.9465775375e-01    8.0000000000e+01    2.1239817142e-02    4.4750000000e-01
         8   -1.2395327289e+01    1.5376028913e+02   -2.1922392171e+01    9.5270648821e+00    1.8472696197e+01    1.3050036718e+01   -5.4062247283e+01    6.1712219708e-01    8.0000000000e+01    2.1028995514e-02    3.9250000000e-01
         9   -1.2540414025e+01    1.5761378002e+02   -2.2261758455e+01    9.7213444300e+00    1.8571757711e+01    1.3050036718e+01   -5.5422378569e+01    1.5388256853e+00    8.0000000000e+01    2.1268069744e-02    4.3375000000e-01
        10   -1.2594847965e+01    1.5903354053e+02   -2.3544098406e+01    1.0949250441e+01    1.7883442642e+01    1.3050036718e+01   -5.6559876881e+01    2.0822991148e+00    8.0000000000e+01    2.1265983582e-02    4.3875000000e-01
        11   -1.2376353868e+01    1.5339482110e+02   -2.2711726605e+01    1.0335372737e+01    1.8327026110e+01    1.3050036718e+01   -5.6259482699e+01    2.1706932664e+00    8.0000000000e+01    2.1724522114e-02    3.9687500000e-01
        12   -1.2474373076e+01    1.5600285740e+02   -2.2053723036e+01    9.5793499595e+00    1.7924043818e+01    1.3050036718e+01   -5.4170777535e+01    1.1429739635e+00    8.0000000000e+01    2.1080732346e-02    4.2687500000e-01
        13   -1.2406905928e+01    1.5418454493e+02   -2.2056220318e+01    9.6493143897e+00    1.7712548130e+01    1.3050036718e+01   -5.3597740937e+01    7.7893577085e-01    8.0000000000e+01    2.1598339081e-02    4.3125000000e-01
        14   -1.2454252875e+01    1.5530087321e+02   -2.0870485435e+01    8.4162325606e+00    1.7760285972e+01    1.3050036718e+01   -5.2974176591e+01    1.2933684653e+00    8.0000000000e+01    2.1107852459e-02    4.3062500000e-01
        15   -1.2417282355e+01    1.5435762576e+02   -2.2955244115e+01    1.0537961760e+01    1.8192825432e+01    1.3050036718e+01   -5.5053880886e+01    8.5577462134e-01    8.0000000000e+01    2.0778715611e-02    4.2625000000e-01
        16   -1.2395620672e+01    1.5378795364e+02   -2.2651591949e+01    1.0255971277e+01    1.8399633957e+01    1.3050036718e+01   -5.4934440098e+01    8.3317747487e-01    8.0000000000e+01    2.2183477879e-02    4.2187500000e-01
        17   -1.2517900519e+01    1.5690240001e+02   -2.0554567180e+01    8.0366666608e+00    1.7951236219e+01    1.3050036718e+01   -5.2494944952e+01    9.3910483540e-01    8.0000000000e+01    2.0846009254e-02    4.3812500000e-01
        18   -1.2367277771e+01    1.5305432760e+02   -2.0495129631e+01    8.1278518595e+00    1.7757201644e+01    1.3050036718e+01   -5.2704158051e+01    1.4017900587e+00    8.0000000000e+01    2.0623266697e-02    4.4000000000e-01
