#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            IonIon              LocalECP            NonLocalECP         BlockWeight         BlockCPU            AcceptRatio         
         0   -1.2428393821e+01    1.5467527107e+02   -2.1977941916e+01    9.5495480953e+00    1.8028180639e+01    1.3050036718e+01   -5.3979894880e+01    9.2373560698e-01    1.0240000000e+04    3.7875020504e+00    5.4140625000e-01
         1   -1.2429665437e+01    1.5471322568e+02   -2.1982534272e+01    9.5528688344e+00    1.7993112991e+01    1.3050036718e+01   -5.3969756717e+01    9.4407273684e-01    1.0240000000e+04    3.7767862082e+00    5.4087402344e-01
         2   -1.2432306670e+01    1.5476270163e+02   -2.1963843828e+01    9.5315371577e+00    1.8075794663e+01    1.3050036718e+01   -5.4017863605e+01    9.2818839586e-01    1.0240000000e+04    3.7849081755e+00    5.4030761719e-01
         3   -1.2439059801e+01    1.5494862446e+02   -2.2052070013e+01    9.6130102121e+00    1.8071863079e+01    1.3050036718e+01   -5.4167780568e+01    9.9381075790e-01    1.0240000000e+04    3.7862685323e+00    5.4217285156e-01
         4   -1.2430967748e+01    1.5473237808e+02   -2.1987185074e+01    9.5562173267e+00    1.7958376719e+01    1.3050036718e+01   -5.3903660606e+01    9.0806209387e-01    1.0240000000e+04    3.7719122767e+00    5.4126953125e-01
         5   -1.2426572499e+01    1.5465187532e+02   -2.2116479918e+01    9.6899074191e+00    1.8087707790e+01    1.3050036718e+01   -5.4153919942e+01    8.9969551511e-01    1.0240000000e+04    3.7874464989e+00    5.3808593750e-01
         6   -1.2436243210e+01    1.5487522901e+02   -2.2099113271e+01    9.6628700611e+00    1.8081675911e+01    1.3050036718e+01   -5.4203437507e+01    9.7261160649e-01    1.0240000000e+04    3.7933599353e+00    5.3898925781e-01
         7   -1.2427283787e+01    1.5464244355e+02   -2.2008452441e+01    9.5811686541e+00    1.8043355466e+01    1.3050036718e+01   -5.4045363897e+01    9.4351927225e-01    1.0240000000e+04    3.7887434959e+00    5.3998046875e-01
         8   -1.2437148605e+01    1.5488897833e+02   -2.2069213419e+01    9.6320648139e+00    1.8088604728e+01    1.3050036718e+01   -5.4127809094e+01    9.1995422878e-01    1.0240000000e+04    3.7877792716e+00    5.4241699219e-01
         9   -1.2423858194e+01    1.5457336302e+02   -2.2013842589e+01    9.5899843956e+00    1.8011998033e+01    1.3050036718e+01   -5.3987772833e+01    9.1189549194e-01    1.0240000000e+04    3.7726769447e+00    5.4120117188e-01
        10   -1.2436795963e+01    1.5490280840e+02   -2.2114458656e+01    9.6776626929e+00    1.8112251329e+01    1.3050036718e+01   -5.4205315158e+01    9.2856845487e-01    1.0240000000e+04    3.7829294801e+00    5.3900878906e-01
        11   -1.2424591205e+01    1.5456219849e+02   -2.2191467656e+01    9.7668764504e+00    1.8109100215e+01    1.3050036718e+01   -5.4309683974e+01    9.5907938495e-01    1.0240000000e+04    3.7895777225e+00    5.3672851563e-01
        12   -1.2432115230e+01    1.5477160317e+02   -2.2082878563e+01    9.6507633330e+00    1.8120400693e+01    1.3050036718e+01   -5.4185744209e+01    9.3242823517e-01    1.0240000000e+04    3.7925212383e+00    5.3810546875e-01
        13   -1.2440084188e+01    1.5501889566e+02   -2.2034251796e+01    9.5941676081e+00    1.8110154407e+01    1.3050036718e+01   -5.4110351848e+01    9.1590892732e-01    1.0240000000e+04    3.7909452915e+00    5.3962402344e-01
        14   -1.2430513797e+01    1.5470569157e+02   -2.1950512736e+01    9.5199989391e+00    1.8015758998e+01    1.3050036718e+01   -5.3994322384e+01    9.7801393292e-01    1.0240000000e+04    3.7865737677e+00    5.3938964844e-01
        15   -1.2436055714e+01    1.5486419896e+02   -2.2069694365e+01    9.6336386515e+00    1.8047143756e+01    1.3050036718e+01   -5.4135872180e+01    9.6899734087e-01    1.0240000000e+04    3.7950644493e+00    5.4239746094e-01
        16   -1.2428235246e+01    1.5466134548e+02   -2.2039084710e+01    9.6108494632e+00    1.8057562781e+01    1.3050036718e+01   -5.4042487058e+01    8.9580284931e-01    1.0240000000e+04    3.7751588225e+00    5.4051269531e-01
        17   -1.2426284506e+01    1.5470097768e+02   -2.2003738005e+01    9.5774534989e+00    1.8034453584e+01    1.3050036718e+01   -5.4006741166e+01    9.1851285950e-01    1.0240000000e+04    3.7773873210e+00    5.4178222656e-01
        18   -1.2436375351e+01    1.5487803322e+02   -2.2080311693e+01    9.6439363419e+00    1.8091547751e+01    1.3050036718e+01   -5.4124719792e+01    9.0282362983e-01    1.0240000000e+04    3.7818459868e+00    5.3797851562e-01
        19   -1.2427774019e+01    1.5464707397e+02   -2.1964597184e+01    9.5368231654e+00    1.7965057134e+01    1.3050036718e+01   -5.3934061642e+01    9.5437060642e-01    1.0240000000e+04    3.7812409997e+00    5.4172851563e-01
        20   -1.2433583022e+01    1.5482835614e+02   -2.1982971841e+01    9.5493888190e+00    1.8037005011e+01    1.3050036718e+01   -5.4041989524e+01    9.7197595493e-01    1.0240000000e+04    3.7809652090e+00    5.4166015625e-01
        21   -1.2445050382e+01    1.5546096447e+02   -2.2082084054e+01    9.6370336725e+00    1.8069959994e+01    1.3050036718e+01   -5.4134221648e+01    9.3214088175e-01    1.0240000000e+04    3.7871504426e+00    5.4055175781e-01
        22   -1.2436708973e+01    1.5494948286e+02   -2.1984207810e+01    9.5474988370e+00    1.8012333392e+01    1.3050036718e+01   -5.3963126309e+01    9.1654838887e-01    1.0240000000e+04    3.7858568430e+00    5.4153320312e-01
        23   -1.2427450141e+01    1.5464286224e+02   -2.1994087584e+01    9.5666374430e+00    1.8008650029e+01    1.3050036718e+01   -5.4000006654e+01    9.4723232220e-01    1.0240000000e+04    3.7863900065e+00    5.4114257812e-01
        24   -1.2429527447e+01    1.5468967639e+02   -2.2014577695e+01    9.5850502480e+00    1.8053754125e+01    1.3050036718e+01   -5.4048158139e+01    9.2978960119e-01    1.0240000000e+04    3.7789540291e+00    5.3946289062e-01
        25   -1.2434847945e+01    1.5484631112e+02   -2.2119543746e+01    9.6846958001e+00    1.8061463925e+01    1.3050036718e+01   -5.4151845846e+01    9.2080145714e-01    1.0240000000e+04    3.7757900357e+00    5.4058105469e-01
        26   -1.2423336133e+01    1.5454883778e+02   -2.2029893068e+01    9.6065569352e+00    1.8064340771e+01    1.3050036718e+01   -5.4113172158e+01    9.6890160153e-01    1.0240000000e+04    3.7893492579e+00    5.4129394531e-01
        27   -1.2436739961e+01    1.5488493660e+02   -2.2055001721e+01    9.6182617598e+00    1.8051660579e+01    1.3050036718e+01   -5.4106363853e+01    9.4966483519e-01    1.0240000000e+04    3.7784492970e+00    5.4227539062e-01
        28   -1.2439170375e+01    1.5494178238e+02   -2.2023685732e+01    9.5845153570e+00    1.8088886372e+01    1.3050036718e+01   -5.4117720805e+01    9.5511198240e-01    1.0240000000e+04    3.7878957391e+00    5.3988281250e-01
        29   -1.2431628500e+01    1.5475638298e+02   -2.2093643281e+01    9.6620147808e+00    1.8081439336e+01    1.3050036718e+01   -5.4170572493e+01    9.4545315810e-01    1.0240000000e+04    3.7880728245e+00    5.4072265625e-01
        30   -1.2436075947e+01    1.5485684449e+02   -2.2049057916e+01    9.6129819681e+00    1.8041189775e+01    1.3050036718e+01   -5.4088066891e+01    9.4778248211e-01    1.0240000000e+04    3.7985650301e+00    5.4031250000e-01
        31   -1.2431332439e+01    1.5472793948e+02   -2.2079981568e+01    9.6486491299e+00    1.8076440658e+01    1.3050036718e+01   -5.4140527786e+01    9.3406884151e-01    1.0240000000e+04    3.7930573821e+00    5.4089355469e-01
        32   -1.2436039003e+01    1.5486151868e+02   -2.2049755472e+01    9.6137164695e+00    1.8034087785e+01    1.3050036718e+01   -5.4067054854e+01    9.3317487902e-01    1.0240000000e+04    3.7778942585e+00    5.3887695312e-01
        33   -1.2436100787e+01    1.5488547074e+02   -2.1973236720e+01    9.5371359332e+00    1.8052068652e+01    1.3050036718e+01   -5.4030058742e+01    9.5471665286e-01    1.0240000000e+04    3.7816727757e+00    5.4044433594e-01
        34   -1.2423781236e+01    1.5455129502e+02   -2.2065355801e+01    9.6415745656e+00    1.8044519941e+01    1.3050036718e+01   -5.3972199596e+01    8.1228713547e-01    1.0240000000e+04    3.7860417962e+00    5.3932617187e-01
        35   -1.2433189557e+01    1.5479555328e+02   -2.2004806823e+01    9.5716172659e+00    1.8017927659e+01    1.3050036718e+01   -5.3996219824e+01    9.2344862407e-01    1.0240000000e+04    3.7764477134e+00    5.4123535156e-01
        36   -1.2430463478e+01    1.5473396169e+02   -2.2077090519e+01    9.6466270406e+00    1.8073790882e+01    1.3050036718e+01   -5.4114759115e+01    9.1384099603e-01    1.0240000000e+04    3.7873317003e+00    5.3909179687e-01
        37   -1.2435374189e+01    1.5486715550e+02   -2.1976838825e+01    9.5414646358e+00    1.8068303221e+01    1.3050036718e+01   -5.4011620050e+01    9.1644128610e-01    1.0240000000e+04    3.7818417549e+00    5.3984375000e-01
        38   -1.2436415297e+01    1.5486328756e+02   -2.2124817078e+01    9.6884017807e+00    1.8072390879e+01    1.3050036718e+01   -5.4188876359e+01    9.4163168507e-01    1.0240000000e+04    3.8056029081e+00    5.3997070313e-01
        39   -1.2424713986e+01    1.5456853754e+02   -2.1931200397e+01    9.5064864106e+00    1.8072263830e+01    1.3050036718e+01   -5.3962721809e+01    9.0922086420e-01    1.0240000000e+04    3.7894482017e+00    5.4279296875e-01
        40   -1.2438883425e+01    1.5492469560e+02   -2.2134429695e+01    9.6955462707e+00    1.8035079402e+01    1.3050036718e+01   -5.4135032806e+01    9.1548699096e-01    1.0240000000e+04    3.7861515284e+00    5.3903808594e-01
        41   -1.2435262786e+01    1.5485441255e+02   -2.1863785300e+01    9.4285225131e+00    1.8057417477e+01    1.3050036718e+01   -5.3876167072e+01    9.0492757729e-01    1.0240000000e+04    3.7765217423e+00    5.4172363281e-01
        42   -1.2420608765e+01    1.5448968934e+02   -2.2001363029e+01    9.5807542644e+00    1.8127633598e+01    1.3050036718e+01   -5.4091429311e+01    9.1239596495e-01    1.0240000000e+04    3.7880860567e+00    5.3907714844e-01
        43   -1.2432443885e+01    1.5480552361e+02   -2.2094927318e+01    9.6624834329e+00    1.8088182854e+01    1.3050036718e+01   -5.4172501664e+01    9.3935477446e-01    1.0240000000e+04    3.7907514572e+00    5.3967773437e-01
        44   -1.2440759144e+01    1.5498102008e+02   -2.2031273369e+01    9.5905142247e+00    1.8066239409e+01    1.3050036718e+01   -5.4072679491e+01    9.2512999500e-01    1.0240000000e+04    3.7864941955e+00    5.4080078125e-01
        45   -1.2427774000e+01    1.5466190721e+02   -2.2011747666e+01    9.5839736658e+00    1.8061153545e+01    1.3050036718e+01   -5.4043795996e+01    9.2085806645e-01    1.0240000000e+04    3.7865120173e+00    5.4051757813e-01
        46   -1.2433686055e+01    1.5482430718e+02   -2.2073323509e+01    9.6396374544e+00    1.8027400171e+01    1.3050036718e+01   -5.4055461626e+01    9.0470122844e-01    1.0240000000e+04    3.7990040183e+00    5.4197265625e-01
        47   -1.2429224364e+01    1.5470461387e+02   -2.2035697107e+01    9.6064727434e+00    1.8006258406e+01    1.3050036718e+01   -5.4064865729e+01    9.7287349854e-01    1.0240000000e+04    3.7781857848e+00    5.3982910156e-01
        48   -1.2433896944e+01    1.5479726070e+02   -2.2039346357e+01    9.6054494132e+00    1.8075329945e+01    1.3050036718e+01   -5.4126000637e+01    9.6128761750e-01    1.0240000000e+04    3.7932218313e+00    5.4249023437e-01
        49   -1.2426880406e+01    1.5463692648e+02   -2.1992314466e+01    9.5654340601e+00    1.8046907870e+01    1.3050036718e+01   -5.4020277321e+01    9.3101826730e-01    1.0240000000e+04    3.7868424654e+00    5.4269042969e-01
        50   -1.2438558882e+01    1.5494191896e+02   -2.1994369796e+01    9.5558109144e+00    1.8063972640e+01    1.3050036718e+01   -5.4019376103e+01    9.1099694923e-01    1.0240000000e+04    3.7884401679e+00    5.4040527344e-01
        51   -1.2427462945e+01    1.5467371797e+02   -2.1946365168e+01    9.5189022239e+00    1.8055322592e+01    1.3050036718e+01   -5.3944046141e+01    8.9232166297e-01    1.0240000000e+04    3.7786954641e+00    5.4165527344e-01
        52   -1.2432275383e+01    1.5477664025e+02   -2.2039355665e+01    9.6070802818e+00    1.8022504656e+01    1.3050036718e+01   -5.4032129136e+01    9.2023209717e-01    1.0240000000e+04    3.7788442969e+00    5.4024414063e-01
