# Index          LocalEnergy            Variance              Weight        NumOfWalkers      AvgSentWalkers         TrialEnergy             DiffEff      LivingFraction
         0   -1.2417025362e+01    1.6721871018e-01    4.1040000000e+03    4.0960000000e+03    0.0000000000e+00   -1.2421869017e+01    9.8825088437e-01    9.9804687500e-01
         1   -1.2422617770e+01    1.7969667755e-01    4.0881500165e+03    4.0960000000e+03    0.0000000000e+00   -1.2514586368e+01    9.8815842960e-01    9.9438476562e-01
         2   -1.2422204117e+01    1.7727819360e-01    4.0959647092e+03    4.0930000000e+03    7.5000000000e-01   -1.2385983259e+01    9.8743592977e-01    9.9828976301e-01
         3   -1.2428108334e+01    1.8734617567e-01    4.0962443507e+03    4.0960000000e+03    2.5000000000e-01   -1.2422204117e+01    9.8701011536e-01    9.9682617188e-01
         4   -1.2421945244e+01    2.1021327214e-01    4.0957489106e+03    4.0970000000e+03    5.0000000000e-01   -1.2440313875e+01    9.8900742344e-01    9.9536246034e-01
         5   -1.2430218566e+01    2.3639157791e-01    4.0962418990e+03    4.0870000000e+03    1.0000000000e+00   -1.2311961086e+01    9.8669541285e-01    9.9804257402e-01
         6   -1.2430374029e+01    2.0871577540e-01    4.0961996460e+03    4.0960000000e+03    1.0000000000e+00   -1.2430218566e+01    9.8716742081e-01    9.9707031250e-01
         7   -1.2440336085e+01    2.0649102695e-01    4.0963823075e+03    4.0970000000e+03    7.5000000000e-01   -1.2442579570e+01    9.8548446378e-01    9.9658286551e-01
         8   -1.2442003880e+01    1.9957128761e-01    4.0960505754e+03    4.0910000000e+03    1.2500000000e+00   -1.2379263646e+01    9.8741765304e-01    9.9902224395e-01
         9   -1.2441835223e+01    2.0629452416e-01    4.0960454019e+03    4.1010000000e+03    7.5000000000e-01   -1.2503001814e+01    9.8658943864e-01    9.9609851256e-01
        10   -1.2436326653e+01    1.9874627139e-01    4.0956259431e+03    4.0870000000e+03    0.0000000000e+00   -1.2331851065e+01    9.8663194775e-01    9.9877660876e-01
        11   -1.2449433963e+01    2.0425436901e-01    4.0965063606e+03    4.0970000000e+03    7.5000000000e-01   -1.2448532194e+01    9.8693536069e-01    9.9707102758e-01
        12   -1.2445584532e+01    2.2212713623e-01    4.0959060241e+03    4.1020000000e+03    5.0000000000e-01   -1.2522622559e+01    9.8707935316e-01    9.9658703072e-01
        13   -1.2455714472e+01    2.1526180572e-01    4.0963309352e+03    4.0930000000e+03    5.0000000000e-01   -1.2408950021e+01    9.8609674822e-01    9.9609088688e-01
        14   -1.2450782392e+01    2.1288293704e-01    4.0959223839e+03    4.0990000000e+03    7.5000000000e-01   -1.2492322161e+01    9.8751530573e-01    9.9682849475e-01
