#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            IonIon              LocalECP            NonLocalECP         BlockWeight         BlockCPU            AcceptRatio         
         0   -1.2431002427e+01    1.5473998767e+02   -2.2023262143e+01    9.5922597157e+00    1.8032714932e+01    1.3050036718e+01   -5.4054609900e+01    9.4859610717e-01    2.0480000000e+04    7.5630674958e+00    5.4158935547e-01
         1   -1.2426717850e+01    1.5463476257e+02   -2.2036349285e+01    9.6096314349e+00    1.8021905893e+01    1.3050036718e+01   -5.4030387812e+01    9.2209591572e-01    2.0480000000e+04    7.5529003143e+00    5.4188720703e-01
         2   -1.2425813592e+01    1.5462740266e+02   -2.2000505284e+01    9.5746916915e+00    1.8000642299e+01    1.3050036718e+01   -5.3946228121e+01    8.9504381997e-01    2.0480000000e+04    7.5417990088e+00    5.4112304688e-01
         3   -1.2440245541e+01    1.5498662886e+02   -2.1965652090e+01    9.5254065488e+00    1.7973753002e+01    1.3050036718e+01   -5.3922956952e+01    9.3351514177e-01    2.0480000000e+04    7.5344117880e+00    5.4095458984e-01
         4   -1.2430636980e+01    1.5473221621e+02   -2.2015011647e+01    9.5843746667e+00    1.8008590019e+01    1.3050036718e+01   -5.4008282124e+01    9.3464373954e-01    2.0480000000e+04    7.5621973276e+00    5.4190917969e-01
         5   -1.2427934744e+01    1.5466830780e+02   -2.1984899824e+01    9.5569650806e+00    1.8001022244e+01    1.3050036718e+01   -5.3994832781e+01    9.5887399488e-01    2.0480000000e+04    7.5572019815e+00    5.4096679688e-01
         6   -1.2434749931e+01    1.5496457639e+02   -2.2017879523e+01    9.5831295914e+00    1.8022678284e+01    1.3050036718e+01   -5.4016027046e+01    9.2543252156e-01    2.0480000000e+04    7.5596587062e+00    5.4110107422e-01
         7   -1.2436642589e+01    1.5487847943e+02   -2.1979587475e+01    9.5429448856e+00    1.7975590288e+01    1.3050036718e+01   -5.3919600012e+01    9.1438553129e-01    2.0480000000e+04    7.5429034829e+00    5.4218994141e-01
         8   -1.2433174807e+01    1.5480290138e+02   -2.2084558700e+01    9.6513838932e+00    1.8010366635e+01    1.3050036718e+01   -5.4056327650e+01    9.1136559728e-01    2.0480000000e+04    7.5465357304e+00    5.4066162109e-01
         9   -1.2423852572e+01    1.5456609016e+02   -2.2026513130e+01    9.6026605582e+00    1.8022997928e+01    1.3050036718e+01   -5.4057598690e+01    9.5805091433e-01    2.0480000000e+04    7.5515729785e+00    5.3948730469e-01
        10   -1.2425273911e+01    1.5461498827e+02   -2.1998307694e+01    9.5730337830e+00    1.7970538126e+01    1.3050036718e+01   -5.3937251821e+01    9.1836928215e-01    2.0480000000e+04    7.5415789485e+00    5.4082763672e-01
        11   -1.2428572069e+01    1.5470433853e+02   -2.1952437192e+01    9.5238651233e+00    1.8028560799e+01    1.3050036718e+01   -5.3976479166e+01    9.4544445701e-01    2.0480000000e+04    7.5527679920e+00    5.4189208984e-01
        12   -1.2432009323e+01    1.5475689567e+02   -2.2039185321e+01    9.6071759982e+00    1.8022315175e+01    1.3050036718e+01   -5.4035248064e+01    9.2371084985e-01    2.0480000000e+04    7.5614426732e+00    5.4060546875e-01
        13   -1.2436754494e+01    1.5487346889e+02   -2.2061110567e+01    9.6243560730e+00    1.8029274756e+01    1.3050036718e+01   -5.4059993102e+01    9.1957106112e-01    2.0480000000e+04    7.5536235571e+00    5.4013916016e-01
