#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            IonIon              LocalECP            NonLocalECP         BlockWeight         BlockCPU            AcceptRatio         
         0   -1.2376781987e+01    1.5341645443e+02   -2.1215354505e+01    8.8385725181e+00    1.8162168367e+01    1.3050036718e+01   -5.4043385582e+01    1.6158259921e+00    8.0000000000e+01    2.1843850613e-02    4.1125000000e-01
         1   -1.2437141567e+01    1.5488570971e+02   -2.1526778440e+01    9.0896368731e+00    1.7869360347e+01    1.3050036718e+01   -5.3576863975e+01    1.1306884692e+00    8.0000000000e+01    2.1354675293e-02    4.2500000000e-01
         2   -1.2561849732e+01    1.5816043769e+02   -2.2960359408e+01    1.0398509676e+01    1.8106146510e+01    1.3050036718e+01   -5.5261719390e+01    1.1451767542e+00    8.0000000000e+01    2.1318256855e-02    4.2875000000e-01
         3   -1.2446454097e+01    1.5503078965e+02   -2.1768654047e+01    9.3221999500e+00    1.8395500561e+01    1.3050036718e+01   -5.4106089642e+01    8.9189831547e-01    8.0000000000e+01    2.1356284618e-02    3.7125000000e-01
         4   -1.2362148876e+01    1.5296140553e+02   -2.0966389895e+01    8.6042410189e+00    1.8353928015e+01    1.3050036718e+01   -5.3344196386e+01    9.7384175721e-01    8.0000000000e+01    2.2085607052e-02    4.4125000000e-01
         5   -1.2463947225e+01    1.5553584791e+02   -2.0115102754e+01    7.6511555288e+00    1.7297950780e+01    1.3050036718e+01   -5.1841421774e+01    1.3783315214e+00    8.0000000000e+01    2.0435035229e-02    4.3000000000e-01
         6   -1.2176759848e+01    1.4900604952e+02   -2.1414941546e+01    9.2381816978e+00    1.7824856999e+01    1.3050036718e+01   -5.3858210675e+01    1.5683754120e+00    8.0000000000e+01    2.0504772663e-02    4.2000000000e-01
         7   -1.2389287834e+01    1.5367009204e+02   -2.3030600750e+01    1.0641312916e+01    1.7758268487e+01    1.3050036718e+01   -5.5166579951e+01    1.3276739965e+00    8.0000000000e+01    2.0781159401e-02    4.1187500000e-01
         8   -1.2317577970e+01    1.5198567274e+02   -2.2889659438e+01    1.0572081468e+01    1.7958189794e+01    1.3050036718e+01   -5.4338035988e+01    4.4015003839e-01    8.0000000000e+01    2.1093070507e-02    4.4375000000e-01
         9   -1.2428785883e+01    1.5463613600e+02   -2.1015034899e+01    8.5862490162e+00    1.8018804909e+01    1.3050036718e+01   -5.2794719886e+01    7.1084336005e-01    8.0000000000e+01    2.1229267120e-02    4.5312500000e-01
        10   -1.2544336138e+01    1.5867095517e+02   -2.2377459996e+01    9.8331238583e+00    1.7876119509e+01    1.3050036718e+01   -5.4147555004e+01    8.4393878074e-01    8.0000000000e+01    2.1102130413e-02    4.3062500000e-01
        11   -1.2377313273e+01    1.5334475529e+02   -2.1486031911e+01    9.1087186380e+00    1.7343319008e+01    1.3050036718e+01   -5.2735170478e+01    8.5578284132e-01    8.0000000000e+01    2.0839214325e-02    4.3687500000e-01
        12   -1.2385895280e+01    1.5369782739e+02   -2.1774662607e+01    9.3887673275e+00    1.7924718129e+01    1.3050036718e+01   -5.3148737908e+01    3.9932045449e-01    8.0000000000e+01    2.1470546722e-02    4.2375000000e-01
        13   -1.2464020679e+01    1.5555469341e+02   -2.2373949317e+01    9.9099286381e+00    1.8126391726e+01    1.3050036718e+01   -5.4446621253e+01    8.9624349178e-01    8.0000000000e+01    2.1422028542e-02    4.1187500000e-01
        14   -1.2447369476e+01    1.5509264697e+02   -2.2330263051e+01    9.8828935750e+00    1.8080356097e+01    1.3050036718e+01   -5.4194833407e+01    7.3417754095e-01    8.0000000000e+01    2.2024691105e-02    4.3312500000e-01
        15   -1.2445278002e+01    1.5507910751e+02   -2.0001916242e+01    7.5566382394e+00    1.6864094047e+01    1.3050036718e+01   -5.0158246981e+01    2.4219997483e-01    8.0000000000e+01    2.0621776581e-02    4.5437500000e-01
        16   -1.2441950255e+01    1.5496032402e+02   -2.0953945930e+01    8.5119956756e+00    1.7422845199e+01    1.3050036718e+01   -5.2381505330e+01    9.5467748316e-01    8.0000000000e+01    2.0685434341e-02    4.2312500000e-01
        17   -1.2387171437e+01    1.5356157076e+02   -2.2120085541e+01    9.7329141040e+00    1.8222448314e+01    1.3050036718e+01   -5.4658813467e+01    1.2662428942e+00    8.0000000000e+01    2.0928740501e-02    4.3750000000e-01
        18   -1.2407059656e+01    1.5411662501e+02   -2.1093185762e+01    8.6861261063e+00    1.7807549906e+01    1.3050036718e+01   -5.2648538158e+01    6.9776577155e-01    8.0000000000e+01    2.0738780499e-02    4.2625000000e-01
        19   -1.2457771740e+01    1.5530465884e+02   -2.1824463440e+01    9.3666916999e+00    1.7806351502e+01    1.3050036718e+01   -5.3370825416e+01    6.8997375593e-01    8.0000000000e+01    2.1194219589e-02    4.1500000000e-01
        20   -1.2535229195e+01    1.5742038621e+02   -2.3107101578e+01    1.0571872382e+01    1.8226591426e+01    1.3050036718e+01   -5.4978224888e+01    5.9449516600e-01    8.0000000000e+01    2.1005570889e-02    4.1375000000e-01
        21   -1.2418103600e+01    1.5449063074e+02   -2.1670043247e+01    9.2519396472e+00    1.7591163076e+01    1.3050036718e+01   -5.3743435270e+01    1.4321922289e+00    8.0000000000e+01    2.0675063133e-02    4.2375000000e-01
        22   -1.2421076084e+01    1.5455005985e+02   -2.1057026230e+01    8.6359501458e+00    1.8154467058e+01    1.3050036718e+01   -5.3331520370e+01    1.0699903631e+00    8.0000000000e+01    2.0630240440e-02    4.1375000000e-01
        23   -1.2456064325e+01    1.5530827446e+02   -2.1772589486e+01    9.3165251604e+00    1.8253832170e+01    1.3050036718e+01   -5.4215356764e+01    1.1388983899e+00    8.0000000000e+01    2.1142482758e-02    4.1437500000e-01
        24   -1.2481680680e+01    1.5601661148e+02   -2.1778509740e+01    9.2968290601e+00    1.7851423504e+01    1.3050036718e+01   -5.3326118365e+01    6.4614840320e-01    8.0000000000e+01    2.0835042000e-02    4.6125000000e-01
        25   -1.2433845906e+01    1.5480587726e+02   -2.1480553142e+01    9.0467072359e+00    1.8432527002e+01    1.3050036718e+01   -5.4429664766e+01    1.4665479045e+00    8.0000000000e+01    2.1464169025e-02    4.2312500000e-01
