#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            IonIon              LocalECP            NonLocalECP         BlockWeight         BlockCPU            AcceptRatio         
         0   -1.2427172572e+01    1.5466657099e+02   -2.2046279783e+01    9.6191072107e+00    1.8045382269e+01    1.3050036718e+01   -5.4139503073e+01    9.9780430346e-01    1.0240000000e+04    3.7964712381e+00    5.4020507812e-01
         1   -1.2435532210e+01    1.5489265740e+02   -2.1948582822e+01    9.5130506118e+00    1.8037913111e+01    1.3050036718e+01   -5.3967832280e+01    9.3129962844e-01    1.0240000000e+04    3.7893784642e+00    5.4215332031e-01
         2   -1.2421766627e+01    1.5455021607e+02   -2.1989857120e+01    9.5680904929e+00    1.8010892643e+01    1.3050036718e+01   -5.3994665793e+01    9.4387931196e-01    1.0240000000e+04    3.7819811702e+00    5.4234863281e-01
         3   -1.2432216843e+01    1.5478884696e+02   -2.2149430775e+01    9.7172139317e+00    1.8050195410e+01    1.3050036718e+01   -5.4177568068e+01    9.2790516580e-01    1.0240000000e+04    3.7895397544e+00    5.4009277344e-01
         4   -1.2424935598e+01    1.5458850419e+02   -2.1903806642e+01    9.4788710437e+00    1.8038797672e+01    1.3050036718e+01   -5.3955880667e+01    9.6323963445e-01    1.0240000000e+04    3.7905924320e+00    5.4205566406e-01
         5   -1.2430617760e+01    1.5473838576e+02   -2.2107828583e+01    9.6772108226e+00    1.8046387272e+01    1.3050036718e+01   -5.4077954314e+01    8.7370174127e-01    1.0240000000e+04    3.7885137796e+00    5.4093750000e-01
         6   -1.2432441431e+01    1.5481260306e+02   -2.2021745675e+01    9.5893042438e+00    1.8072901904e+01    1.3050036718e+01   -5.4093005610e+01    9.4832131295e-01    1.0240000000e+04    3.7909352183e+00    5.3867187500e-01
         7   -1.2434425332e+01    1.5485230363e+02   -2.2019539367e+01    9.5851140349e+00    1.8078403642e+01    1.3050036718e+01   -5.4088811376e+01    9.4083164903e-01    1.0240000000e+04    3.7982479930e+00    5.4128906250e-01
         8   -1.2423008129e+01    1.5457977351e+02   -2.1988579430e+01    9.5655713016e+00    1.8011942070e+01    1.3050036718e+01   -5.3942867625e+01    8.9230940655e-01    1.0240000000e+04    3.7830806971e+00    5.4299316406e-01
         9   -1.2428987366e+01    1.5469676019e+02   -2.1988151454e+01    9.5591640887e+00    1.8034871508e+01    1.3050036718e+01   -5.3997250167e+01    9.2419048638e-01    1.0240000000e+04    3.7827953100e+00    5.4074218750e-01
        10   -1.2437190038e+01    1.5498709374e+02   -2.1860433164e+01    9.4232431260e+00    1.7989022694e+01    1.3050036718e+01   -5.3788803944e+01    8.8931136807e-01    1.0240000000e+04    3.7751860023e+00    5.4376953125e-01
        11   -1.2425153809e+01    1.5460269227e+02   -2.1923962735e+01    9.4988089260e+00    1.7998051107e+01    1.3050036718e+01   -5.3884020671e+01    9.1197011121e-01    1.0240000000e+04    3.7866532803e+00    5.4130371094e-01
        12   -1.2438359540e+01    1.5496649090e+02   -2.2009629900e+01    9.5712703605e+00    1.8009588246e+01    1.3050036718e+01   -5.3977319981e+01    9.0806511644e-01    1.0240000000e+04    3.7857298851e+00    5.4154296875e-01
