#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            IonIon              LocalECP            NonLocalECP         BlockWeight         BlockCPU            AcceptRatio         
         0   -2.2424686226e+00    5.0641687764e+00   -4.0490417208e+00    1.8065730982e+00    1.9579307481e+00    1.7953086932e+00   -8.0002201833e+00    1.9793902117e-01    5.1200000000e+03    6.1108595133e-01    6.9792480469e-01
         1   -2.2378167320e+00    5.0891703042e+00   -4.0766575115e+00    1.8388407795e+00    1.9758850989e+00    1.7953086932e+00   -8.0386874698e+00    1.9083616617e-01    5.1200000000e+03    6.1185574532e-01    6.9987792969e-01
         2   -2.2301503830e+00    5.0012076656e+00   -4.0658839486e+00    1.8357335655e+00    1.9658666308e+00    1.7953086932e+00   -8.0250671155e+00    1.9800784293e-01    5.1200000000e+03    6.1170345545e-01    6.9323730469e-01
         3   -2.2404492935e+00    5.0441803034e+00   -4.0055339820e+00    1.7650846885e+00    1.9424210376e+00    1.7953086932e+00   -7.9114381792e+00    1.6817446628e-01    5.1200000000e+03    6.0959994793e-01    6.9987792969e-01
         4   -2.2428184116e+00    5.0968559590e+00   -4.0972722337e+00    1.8544538221e+00    1.9603038060e+00    1.7953086932e+00   -8.0368606763e+00    1.8397594337e-01    5.1200000000e+03    6.0544025898e-01    6.9741210938e-01
         5   -2.2454373711e+00    5.1133844543e+00   -4.0449866739e+00    1.7995493027e+00    1.9516210660e+00    1.7953086932e+00   -7.9682885979e+00    1.7637216483e-01    5.1200000000e+03    6.1008399725e-01    6.9458007812e-01
         6   -2.2398130779e+00    5.0490145189e+00   -4.0486966557e+00    1.8088835778e+00    1.9368253873e+00    1.7953086932e+00   -7.9469840258e+00    1.6615328962e-01    5.1200000000e+03    6.0855025053e-01    6.9951171875e-01
         7   -2.2423473764e+00    5.0679667106e+00   -4.0996183334e+00    1.8572709570e+00    1.9399832183e+00    1.7953086932e+00   -8.0217412850e+00    1.8683104012e-01    5.1200000000e+03    6.0827100277e-01    6.9826660156e-01
         8   -2.2418927660e+00    5.0647245480e+00   -4.1255747458e+00    1.8836819798e+00    1.9645971451e+00    1.7953086932e+00   -8.0674988009e+00    1.8201821676e-01    5.1200000000e+03    6.0954755545e-01    6.9699707031e-01
         9   -2.2349961223e+00    5.0215115960e+00   -4.1180935938e+00    1.8830974715e+00    1.9556695626e+00    1.7953086932e+00   -8.0611709827e+00    1.9209913306e-01    5.1200000000e+03    6.0784679651e-01    6.9284667969e-01
        10   -2.2387752151e+00    5.0575177241e+00   -4.0751103984e+00    1.8363351833e+00    1.9427367447e+00    1.7953086932e+00   -7.9881057448e+00    1.7494990849e-01    5.1200000000e+03    6.0607975721e-01    6.9750976562e-01
