# Index          LocalEnergy            Variance              Weight        NumOfWalkers      AvgSentWalkers         TrialEnergy             DiffEff      LivingFraction
         0   -1.9824156822e+01    1.1884653686e+02    2.5900000000e+03    2.5910000000e+03    0.0000000000e+00   -2.0478882190e+01    9.7546674575e-01    9.6063296025e-01
         1   -1.9841485117e+01    1.1706460581e+02    2.0645747197e+03    2.5910000000e+03    1.5000000000e+00   -6.6782990529e+01    9.8012162712e-01    8.0509455809e-01
         2   -1.9949568934e+01    1.2209345200e+02    2.0498016935e+03    2.0950000000e+03    2.5000000000e+00   -2.4379454356e+01    9.7982218379e-01    9.6420047733e-01
         3   -1.9959377939e+01    1.0852586625e+02    2.0492143625e+03    2.0550000000e+03    7.5000000000e-01   -2.0631997088e+01    9.7841935863e-01    9.8199513382e-01
         4   -1.9925475411e+01    1.1911636640e+02    2.0479130923e+03    2.0590000000e+03    1.0000000000e+00   -2.1030722112e+01    9.7853840359e-01    9.7863040311e-01
         5   -1.9774701446e+01    1.1790366014e+02    2.0466363921e+03    2.0430000000e+03    7.5000000000e-01   -1.9436597142e+01    9.8125033114e-01    9.8042094958e-01
         6   -1.9913799568e+01    1.1093087905e+02    2.0484246190e+03    2.0390000000e+03    1.0000000000e+00   -1.8893858329e+01    9.8142561916e-01    9.8283472290e-01
         7   -1.9911210892e+01    1.1438430766e+02    2.0476594899e+03    2.0450000000e+03    7.5000000000e-01   -1.9620616031e+01    9.7779414460e-01    9.7555012225e-01
         8   -1.9914755281e+01    1.1859980852e+02    2.0477141943e+03    2.0330000000e+03    7.5000000000e-01   -1.8440976386e+01    9.8345455138e-01    9.8130841121e-01
         9   -1.9972683146e+01    1.2522888932e+02    2.0481246372e+03    2.0390000000e+03    2.5000000000e-01   -1.9033912164e+01    9.7907251258e-01    9.8822952428e-01
        10   -2.0149283158e+01    1.2484204274e+02    2.0496920301e+03    2.0760000000e+03    1.0000000000e+00   -2.2688534771e+01    9.7992308288e-01    9.7109826590e-01
        11   -2.0118848450e+01    1.2356681586e+02    2.0474928673e+03    2.0450000000e+03    5.0000000000e-01   -1.9856099622e+01    9.7622581954e-01    9.7603911980e-01
        12   -1.9979738908e+01    1.2077619464e+02    2.0467955316e+03    2.0320000000e+03    1.2500000000e+00   -1.8550212958e+01    9.8040881419e-01    9.8375984252e-01
        13   -1.9883994182e+01    1.2054341079e+02    2.0471707755e+03    2.0460000000e+03    1.0000000000e+00   -1.9784330978e+01    9.7799705546e-01    9.7653958944e-01
        14   -1.9912008319e+01    1.2200874292e+02    2.0480754562e+03    2.0420000000e+03    1.2500000000e+00   -1.9297196695e+01    9.8142567370e-01    9.8188050930e-01
        15   -2.0091613649e+01    1.2871014251e+02    2.0495006055e+03    2.0600000000e+03    5.0000000000e-01   -2.1080463444e+01    9.7837753111e-01    9.7524271845e-01
        16   -2.0214362637e+01    1.2774419918e+02    2.0484959621e+03    2.0470000000e+03    7.5000000000e-01   -1.9993933549e+01    9.8165091725e-01    9.7801660967e-01
        17   -2.0198934732e+01    1.3173430996e+02    2.0471988758e+03    2.0340000000e+03    1.0000000000e+00   -1.8842480727e+01    9.7550247958e-01    9.8623402163e-01
        18   -2.0189094893e+01    1.3621316451e+02    2.0481047100e+03    2.0610000000e+03    1.0000000000e+00   -2.1464453678e+01    9.8464848489e-01    9.7379912664e-01
        19   -2.0255333436e+01    1.2757284993e+02    2.0472542953e+03    2.0300000000e+03    7.5000000000e-01   -1.8423512068e+01    9.7940853847e-01    9.8423645320e-01
        20   -2.0197345075e+01    1.2817974301e+02    2.0472169788e+03    2.0410000000e+03    1.7500000000e+00   -1.9570568766e+01    9.7064987472e-01    9.7599216071e-01
        21   -2.0312566206e+01    1.2697146679e+02    2.0483730513e+03    2.0400000000e+03    5.0000000000e-01   -1.9414565211e+01    9.7848186417e-01    9.8431372549e-01
