#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            IonIon              LocalECP            NonLocalECP         BlockWeight         BlockCPU            AcceptRatio         
         0   -2.2474295659e+00    5.0712938740e+00   -4.1387523482e+00    1.8913227824e+00    2.0065453219e+00    1.7953086932e+00   -8.1702106987e+00    2.2960433534e-01    3.2000000000e+02    3.8377761841e-02    5.8203125000e-01
         1   -2.2393711914e+00    5.0301128892e+00   -3.9048588422e+00    1.6654876507e+00    1.9149127996e+00    1.7953086932e+00   -7.7845926291e+00    1.6951229404e-01    3.2000000000e+02    3.7319302559e-02    5.9062500000e-01
         2   -2.2378892538e+00    5.0288079666e+00   -3.9984603306e+00    1.7605710767e+00    1.9770466454e+00    1.7953086932e+00   -7.9758389410e+00    2.0502327183e-01    3.2000000000e+02    3.7125766277e-02    5.6562500000e-01
         3   -2.2435848697e+00    5.0597593716e+00   -3.8763132834e+00    1.6327284137e+00    1.9601295097e+00    1.7953086932e+00   -7.8558790279e+00    2.2412754157e-01    3.2000000000e+02    3.7657558918e-02    6.0000000000e-01
         4   -2.2328512660e+00    5.0074931051e+00   -3.8741354873e+00    1.6412842212e+00    1.9355832231e+00    1.7953086932e+00   -7.7173945973e+00    1.1236719366e-01    3.2000000000e+02    3.6564767361e-02    6.1406250000e-01
         5   -2.2497588735e+00    5.0778650434e+00   -4.2444382145e+00    1.9946793411e+00    1.9781220420e+00    1.7953086932e+00   -8.2043441142e+00    1.8647516452e-01    3.2000000000e+02    3.7233173847e-02    5.7031250000e-01
         6   -2.2479733024e+00    5.0785753305e+00   -3.9032934253e+00    1.6553201229e+00    1.9883711829e+00    1.7953086932e+00   -7.8962344783e+00    2.0926117678e-01    3.2000000000e+02    3.7181973457e-02    5.9257812500e-01
         7   -2.2399804056e+00    5.0347970532e+00   -4.2074242477e+00    1.9674438421e+00    1.9114759868e+00    1.7953086932e+00   -8.1118548637e+00    1.9764593596e-01    3.2000000000e+02    3.7660241127e-02    5.7851562500e-01
         8   -2.2428577032e+00    5.0500088464e+00   -4.1680490197e+00    1.9251913164e+00    1.9604770608e+00    1.7953086932e+00   -8.1919894086e+00    2.6815463490e-01    3.2000000000e+02    3.7061989307e-02    5.7851562500e-01
         9   -2.2334042967e+00    5.0126059984e+00   -4.2463350437e+00    2.0129307470e+00    2.0084965450e+00    1.7953086932e+00   -8.1542986222e+00    1.0415834024e-01    3.2000000000e+02    3.6981046200e-02    5.9453125000e-01
        10   -2.2414606095e+00    5.0387787305e+00   -4.1953980940e+00    1.9539374845e+00    1.9279095649e+00    1.7953086932e+00   -8.1533659530e+00    2.3474960092e-01    3.2000000000e+02    3.6993503571e-02    5.9296875000e-01
