#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            IonIon              LocalECP            NonLocalECP         BlockWeight         BlockCPU            AcceptRatio         
         0   -2.2488653467e+00    5.1161067361e+00   -4.0682648419e+00    1.8193994952e+00    1.9528573063e+00    1.7953086932e+00   -7.9943842945e+00    1.7795345307e-01    4.1019700000e+05    3.5636745751e+01    9.9899311891e-01
         1   -2.2446331118e+00    5.0785457048e+00   -4.0736918290e+00    1.8290587172e+00    1.9616603652e+00    1.7953086932e+00   -8.0162205874e+00    1.8555970009e-01    4.0907100000e+05    3.5510126233e+01    9.9894707335e-01
         2   -2.2453751711e+00    5.0904654543e+00   -4.0880350334e+00    1.8426598623e+00    1.9531125674e+00    1.7953086932e+00   -8.0188025981e+00    1.8234630410e-01    4.0812600000e+05    3.5501319528e+01    9.9905357858e-01
         3   -2.2448641646e+00    5.0853990752e+00   -4.0468075422e+00    1.8019433776e+00    1.9432363025e+00    1.7953086932e+00   -7.9565478098e+00    1.7119527194e-01    4.0810400000e+05    3.5473409534e+01    9.9903949254e-01
         4   -2.2422860954e+00    5.0764223612e+00   -4.0380688948e+00    1.7957827994e+00    1.9576378513e+00    1.7953086932e+00   -7.9608766559e+00    1.6986121666e-01    4.0671600000e+05    3.5218559802e+01    9.9905955724e-01
         5   -2.2424343551e+00    5.0724198353e+00   -4.0445775941e+00    1.8021432390e+00    1.9518541649e+00    1.7953086932e+00   -7.9693763836e+00    1.7763593136e-01    4.0755100000e+05    3.5250794768e+01    9.9907860017e-01
         6   -2.2473844507e+00    5.1112052204e+00   -4.0688545781e+00    1.8214701273e+00    1.9511898138e+00    1.7953086932e+00   -7.9992730139e+00    1.8391992875e-01    4.0951500000e+05    3.5514066994e+01    9.9902620326e-01
         7   -2.2447844590e+00    5.0919209584e+00   -4.0412551911e+00    1.7964707321e+00    1.9522533740e+00    1.7953086932e+00   -7.9677036751e+00    1.7888641677e-01    4.1229200000e+05    3.5760117829e+01    9.9903225684e-01
         8   -2.2468784302e+00    5.1011382834e+00   -4.0606144496e+00    1.8137360194e+00    1.9546566012e+00    1.7953086932e+00   -7.9947997612e+00    1.8422001716e-01    4.1079800000e+05    3.5507216275e+01    9.9904150869e-01
         9   -2.2472169506e+00    5.1088656170e+00   -4.0587262798e+00    1.8115093292e+00    1.9525013299e+00    1.7953086932e+00   -7.9815862182e+00    1.7504991535e-01    4.1093000000e+05    3.5571914673e+01    9.9900167549e-01
        10   -2.2468766800e+00    5.1022133391e+00   -4.0579049992e+00    1.8110283191e+00    1.9439891194e+00    1.7953086932e+00   -7.9723832205e+00    1.7518040878e-01    4.1120900000e+05    3.5495182514e+01    9.9903757881e-01
        11   -2.2464061784e+00    5.1201316957e+00   -4.0602085961e+00    1.8138024176e+00    1.9460259622e+00    1.7953086932e+00   -7.9846248469e+00    1.8308159543e-01    4.1086500000e+05    3.5511738300e+01    9.9900632546e-01
        12   -2.2439517769e+00    5.0806935363e+00   -4.0612614484e+00    1.8173096715e+00    1.9493799756e+00    1.7953086932e+00   -7.9919910621e+00    1.8604094484e-01    4.0905200000e+05    3.5534885764e+01    9.9902892300e-01
        13   -2.2436230862e+00    5.0703000685e+00   -4.0507768908e+00    1.8071538046e+00    1.9518858102e+00    1.7953086932e+00   -7.9799292640e+00    1.8195786982e-01    4.0903600000e+05    3.5786634743e+01    9.9906425175e-01
        14   -2.2454087525e+00    5.0899057734e+00   -4.0610494306e+00    1.8156406781e+00    1.9568244993e+00    1.7953086932e+00   -8.0009683151e+00    1.8778569197e-01    4.0913000000e+05    3.5840183318e+01    9.9899849800e-01
        15   -2.2460541715e+00    5.0860956865e+00   -4.0818663149e+00    1.8358121434e+00    1.9536763226e+00    1.7953086932e+00   -8.0115200193e+00    1.8066868864e-01    4.0936700000e+05    3.5876985729e+01    9.9903083335e-01
        16   -2.2464760562e+00    5.0935810945e+00   -4.0520808271e+00    1.8056047709e+00    1.9526677937e+00    1.7953086932e+00   -7.9822832517e+00    1.8222593771e-01    4.0796500000e+05    3.5575403750e+01    9.9907226031e-01
        17   -2.2426776921e+00    5.0757226230e+00   -4.0572199559e+00    1.8145422638e+00    1.9555446946e+00    1.7953086932e+00   -7.9931145536e+00    1.8504120985e-01    4.0796100000e+05    3.5785775781e+01    9.9899987911e-01
        18   -2.2470153754e+00    5.0959258801e+00   -4.0465252929e+00    1.7995099175e+00    1.9581382765e+00    1.7953086932e+00   -7.9706373336e+00    1.7066507095e-01    4.1005200000e+05    3.5768409193e+01    9.9901532928e-01
        19   -2.2414570293e+00    5.0638087344e+00   -4.0373692828e+00    1.7959122535e+00    1.9575174024e+00    1.7953086932e+00   -7.9729986768e+00    1.8280329844e-01    4.0875100000e+05    3.5308956504e+01    9.9905813981e-01
