# Index          LocalEnergy            Variance              Weight        NumOfWalkers      AvgSentWalkers         TrialEnergy             DiffEff      LivingFraction
         0   -2.2475411110e+00    5.1134791569e-02    4.0860000000e+03    4.0870000000e+03    0.0000000000e+00   -2.2429864956e+00    1.0000000000e+00    9.9951064350e-01
         1   -2.2481071494e+00    5.1804260163e-02    4.0969994526e+03    4.0870000000e+03    0.0000000000e+00    1.9685023080e-01    1.0000000000e+00    1.0000000000e+00
         2   -2.2476495237e+00    4.2540369366e-02    4.0959983758e+03    4.0950000000e+03    2.5000000000e-01   -2.0039367172e+00    1.0000000000e+00    1.0000000000e+00
         3   -2.2478559655e+00    3.4417949094e-02    4.0960003388e+03    4.0950000000e+03    0.0000000000e+00   -2.0034790915e+00    1.0000000000e+00    1.0000000000e+00
         4   -2.2478493981e+00    3.2607936637e-02    4.0959999801e+03    4.0980000000e+03    2.5000000000e-01   -2.7360180450e+00    9.9974293536e-01    1.0000000000e+00
         5   -2.2491188948e+00    3.9660742440e-02    4.0960026343e+03    4.0980000000e+03    0.0000000000e+00   -2.7360114776e+00    1.0000000000e+00    9.9951195705e-01
         6   -2.2486665372e+00    3.7665046203e-02    4.0959991755e+03    4.0960000000e+03    5.0000000000e-01   -2.2491188948e+00    9.9985145154e-01    1.0000000000e+00
         7   -2.2481494927e+00    3.5002849901e-02    4.0959988653e+03    4.0960000000e+03    0.0000000000e+00   -2.2486665372e+00    9.9987907812e-01    1.0000000000e+00
         8   -2.2482353231e+00    3.3716010278e-02    4.0960001043e+03    4.0960000000e+03    0.0000000000e+00   -2.2481494927e+00    1.0000000000e+00    1.0000000000e+00
         9   -2.2478121126e+00    3.2613969589e-02    4.0959990663e+03    4.0960000000e+03    0.0000000000e+00   -2.2482353231e+00    1.0000000000e+00    1.0000000000e+00
        10   -2.2495488059e+00    3.7250319202e-02    4.0960034884e+03    4.0960000000e+03    0.0000000000e+00   -2.2478121126e+00    1.0000000000e+00    9.9975585938e-01
        11   -2.2486002066e+00    3.1349208122e-02    4.0959981291e+03    4.0960000000e+03    0.0000000000e+00   -2.2495488059e+00    1.0000000000e+00    1.0000000000e+00
        12   -2.2487674446e+00    3.3869717191e-02    4.0960002758e+03    4.0960000000e+03    0.0000000000e+00   -2.2486002066e+00    9.9979090069e-01    1.0000000000e+00
        13   -2.2486696355e+00    3.3766313722e-02    4.0959997330e+03    4.0960000000e+03    0.0000000000e+00   -2.2487674446e+00    1.0000000000e+00    1.0000000000e+00
        14   -2.2483263520e+00    3.2849838981e-02    4.0959992292e+03    4.0960000000e+03    0.0000000000e+00   -2.2486696355e+00    1.0000000000e+00    1.0000000000e+00
        15   -2.2494089248e+00    3.8724832586e-02    4.0960021469e+03    4.0960000000e+03    0.0000000000e+00   -2.2483263520e+00    9.9995781984e-01    1.0000000000e+00
        16   -2.2493352075e+00    4.5015689052e-02    4.0959999459e+03    4.0970000000e+03    2.5000000000e-01   -2.4935197523e+00    1.0000000000e+00    9.9975591897e-01
        17   -2.2494214860e+00    4.0485971028e-02    4.0960000854e+03    4.0960000000e+03    2.5000000000e-01   -2.2493352075e+00    1.0000000000e+00    1.0000000000e+00
        18   -2.2499549135e+00    5.3575964575e-02    4.0959994119e+03    4.0960000000e+03    0.0000000000e+00   -2.2494214860e+00    1.0000000000e+00    1.0000000000e+00
        19   -2.2511048180e+00    5.4146759131e-02    4.0960007838e+03    4.0970000000e+03    2.5000000000e-01   -2.4940657410e+00    1.0000000000e+00    9.9951183793e-01
        20   -2.2514894942e+00    5.1334233942e-02    4.0959996046e+03    4.0950000000e+03    2.5000000000e-01   -2.0069343858e+00    1.0000000000e+00    1.0000000000e+00
        21   -2.2512023149e+00    4.2382878863e-02    4.0959994608e+03    4.0970000000e+03    2.5000000000e-01   -2.4956003217e+00    1.0000000000e+00    9.9975591897e-01
        22   -2.2526829540e+00    4.8371685983e-02    4.0960031072e+03    4.0960000000e+03    2.5000000000e-01   -2.2512023149e+00    9.9983756314e-01    1.0000000000e+00
        23   -2.2524068823e+00    4.6144710642e-02    4.0959993412e+03    4.0960000000e+03    0.0000000000e+00   -2.2526829540e+00    9.9985946029e-01    1.0000000000e+00
        24   -2.2517874041e+00    4.2854994562e-02    4.0959986391e+03    4.0960000000e+03    0.0000000000e+00   -2.2524068823e+00    9.9998787081e-01    9.9975585938e-01
        25   -2.2522816516e+00    4.3029749029e-02    4.0960009959e+03    4.0950000000e+03    2.5000000000e-01   -2.0076169720e+00    9.9985234511e-01    1.0000000000e+00
        26   -2.2520900364e+00    4.4346407872e-02    4.0959994722e+03    4.0950000000e+03    0.0000000000e+00   -2.0081112194e+00    9.9997685995e-01    1.0000000000e+00
        27   -2.2512482547e+00    4.3916251797e-02    4.0959981570e+03    4.0960000000e+03    2.5000000000e-01   -2.2520900364e+00    1.0000000000e+00    9.9975585938e-01
        28   -2.2507736743e+00    4.3646081448e-02    4.0959990869e+03    4.0960000000e+03    2.5000000000e-01   -2.2512482547e+00    9.9979052055e-01    1.0000000000e+00
        29   -2.2497936983e+00    4.1569635576e-02    4.0959979056e+03    4.0960000000e+03    0.0000000000e+00   -2.2507736743e+00    1.0000000000e+00    1.0000000000e+00
        30   -2.2487781172e+00    3.6811224502e-02    4.0959978380e+03    4.0960000000e+03    0.0000000000e+00   -2.2497936983e+00    1.0000000000e+00    1.0000000000e+00
        31   -2.2488035204e+00    3.9630617153e-02    4.0959999745e+03    4.0960000000e+03    0.0000000000e+00   -2.2487781172e+00    9.9983701718e-01    1.0000000000e+00
