#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            IonIon              LocalECP            NonLocalECP         BlockWeight         BlockCPU            AcceptRatio         
         0   -2.1501811314e+00    4.8459731601e+00   -3.5203154863e+00    1.3701343550e+00    2.0821321051e+00    1.7953086932e+00   -7.6048275956e+00    2.0707131092e-01    8.0000000000e+01    8.0872774124e-03    6.3125000000e-01
         1   -2.2300421850e+00    5.1837646229e+00   -3.9904879172e+00    1.7604457322e+00    2.1062510103e+00    1.7953086932e+00   -8.0313116466e+00    1.3926402580e-01    8.0000000000e+01    7.4788928032e-03    5.7031250000e-01
         2   -2.0684955068e+00    4.6094856800e+00   -3.8006484849e+00    1.7321529781e+00    2.2551986938e+00    1.7953086932e+00   -7.9803798400e+00    1.2922396808e-01    8.0000000000e+01    7.2700381279e-03    5.5156250000e-01
         3   -2.1389876628e+00    4.9437062192e+00   -3.8819194182e+00    1.7429317554e+00    2.1566832783e+00    1.7953086932e+00   -8.0943511247e+00    2.6043973498e-01    8.0000000000e+01    7.3475241661e-03    5.8906250000e-01
         4   -2.1802056057e+00    5.0742489478e+00   -3.5855708265e+00    1.4053652208e+00    1.9982507759e+00    1.7953086932e+00   -7.4164327763e+00    3.7302480628e-02    8.0000000000e+01    7.1562528610e-03    6.0312500000e-01
         5   -2.2098524445e+00    5.0447081441e+00   -4.0042162749e+00    1.7943638304e+00    1.9299554335e+00    1.7953086932e+00   -7.8263507580e+00    9.6870356364e-02    8.0000000000e+01    6.9948434830e-03    5.8906250000e-01
         6   -2.1385917395e+00    4.7515390964e+00   -3.4863475874e+00    1.3477558479e+00    2.0059480469e+00    1.7953086932e+00   -7.3752131236e+00    8.7608796055e-02    8.0000000000e+01    7.2141885757e-03    5.7187500000e-01
         7   -2.1806597772e+00    5.0349816287e+00   -3.4705929695e+00    1.2899331923e+00    1.9356704678e+00    1.7953086932e+00   -7.5102886783e+00    3.0871654782e-01    8.0000000000e+01    6.9569945335e-03    6.3437500000e-01
         8   -2.1544207162e+00    4.8353595490e+00   -3.7219553277e+00    1.5675346114e+00    1.9897896071e+00    1.7953086932e+00   -7.6169464755e+00    1.0989284756e-01    8.0000000000e+01    7.0525407791e-03    6.0937500000e-01
         9   -2.0942439614e+00    4.7575985207e+00   -4.5080914561e+00    2.4138474947e+00    2.2587946194e+00    1.7953086932e+00   -8.6197892651e+00    5.7594496364e-02    8.0000000000e+01    7.2804689407e-03    5.6406250000e-01
        10   -2.1309917365e+00    4.8082860257e+00   -4.0054965389e+00    1.8745048023e+00    2.1970043297e+00    1.7953086932e+00   -8.1440972758e+00    1.4628771399e-01    8.0000000000e+01    7.3829889297e-03    5.7343750000e-01
        11   -2.2298769653e+00    5.0495063727e+00   -3.3231062910e+00    1.0932293257e+00    1.9060942463e+00    1.7953086932e+00   -7.2900150755e+00    2.6550584495e-01    8.0000000000e+01    7.3476433754e-03    6.2656250000e-01
        12   -2.1696926882e+00    5.1727776557e+00   -4.3403713665e+00    2.1706786783e+00    2.2279664955e+00    1.7953086932e+00   -8.5221524619e+00    1.5850590663e-01    8.0000000000e+01    7.1635246277e-03    5.8281250000e-01
        13   -2.3400725606e+00    5.5515705524e+00   -4.1432959243e+00    1.8032233637e+00    1.9237884633e+00    1.7953086932e+00   -8.2274988211e+00    3.6510574024e-01    8.0000000000e+01    7.3848366737e-03    5.8750000000e-01
        14   -2.1046377093e+00    4.7793989278e+00   -3.4342630369e+00    1.3296253276e+00    2.0228740520e+00    1.7953086932e+00   -7.4590844781e+00    2.0663869598e-01    8.0000000000e+01    7.1502327919e-03    6.3906250000e-01
        15   -2.1181127344e+00    4.6488815689e+00   -3.6251529504e+00    1.5070402160e+00    2.1504640400e+00    1.7953086932e+00   -7.7140549831e+00    1.4312929939e-01    8.0000000000e+01    7.5369477272e-03    5.9687500000e-01
