#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            IonIon              LocalECP            NonLocalECP         BlockWeight         BlockCPU            AcceptRatio         
         0   -2.2397256227e+00    5.0535560003e+00   -4.0488803978e+00    1.8091547751e+00    1.8668534930e+00    1.7953088221e+00   -7.8354801993e+00    1.2443748643e-01    8.0000000000e+02    3.0226369659e-01    5.5537500000e-01
         1   -2.2425895129e+00    5.0412325809e+00   -4.0144055682e+00    1.7718160553e+00    1.9582763246e+00    1.7953088221e+00   -7.9100819716e+00    1.4209125677e-01    8.0000000000e+02    3.6414998121e-01    5.5531250000e-01
         2   -2.2375911666e+00    5.0175772987e+00   -4.1479587604e+00    1.9103675938e+00    1.9403407183e+00    1.7953088221e+00   -8.0849877131e+00    2.0137941232e-01    8.0000000000e+02    3.4765184890e-01    5.5450000000e-01
         3   -2.2434606874e+00    5.0452255307e+00   -4.2453841490e+00    2.0019234615e+00    2.0025984612e+00    1.7953088221e+00   -8.1707480214e+00    1.2745658914e-01    8.0000000000e+02    3.1716321057e-01    5.4950000000e-01
         4   -2.2448198803e+00    5.0517949344e+00   -3.9855085869e+00    1.7406887066e+00    1.9390896147e+00    1.7953088221e+00   -7.9011072772e+00    1.8120025358e-01    8.0000000000e+02    3.6771970563e-01    5.5568750000e-01
         5   -2.2425275371e+00    5.0423144690e+00   -4.0300642110e+00    1.7875366740e+00    1.9040720211e+00    1.7953088221e+00   -7.9077134132e+00    1.7826835894e-01    8.0000000000e+02    3.8010483147e-01    5.5412500000e-01
         6   -2.2431460168e+00    5.0528340870e+00   -4.0898651636e+00    1.8467191468e+00    1.9852525972e+00    1.7953088221e+00   -8.0903503349e+00    2.1992375207e-01    8.0000000000e+02    3.5409856603e-01    5.5387500000e-01
         7   -2.2413256966e+00    5.0343811168e+00   -4.0528696700e+00    1.8115439734e+00    1.9486057180e+00    1.7953088221e+00   -7.9791537912e+00    1.8236958116e-01    8.0000000000e+02    3.1343760849e-01    5.5618750000e-01
         8   -2.2444574201e+00    5.0480456308e+00   -4.1342972711e+00    1.8898398510e+00    1.9486191428e+00    1.7953088221e+00   -8.0689916482e+00    1.9076641223e-01    8.0000000000e+02    3.2178634736e-01    5.5468750000e-01
         9   -2.2410424595e+00    5.0417171276e+00   -4.1051162518e+00    1.8640737923e+00    1.9470016761e+00    1.7953088221e+00   -8.0152592285e+00    1.6783247860e-01    8.0000000000e+02    3.3016883782e-01    5.6912500000e-01
        10   -2.2368638832e+00    5.0143484915e+00   -4.0994198701e+00    1.8625559869e+00    1.9680469666e+00    1.7953088221e+00   -8.0342770712e+00    1.7150141248e-01    8.0000000000e+02    3.1806916912e-01    5.5212500000e-01
        11   -2.2471723506e+00    5.0581616260e+00   -4.0955977434e+00    1.8484253929e+00    1.9077831257e+00    1.7953088221e+00   -7.9489170825e+00    1.5022739131e-01    8.0000000000e+02    3.0745264979e-01    5.5868750000e-01
        12   -2.2430814957e+00    5.0408082497e+00   -4.0088483347e+00    1.7657668390e+00    1.9272476921e+00    1.7953088221e+00   -7.9063640194e+00    1.7495917053e-01    8.0000000000e+02    3.4377163361e-01    5.6043750000e-01
        13   -2.2447159629e+00    5.0513546138e+00   -4.1452773508e+00    1.9005613879e+00    1.9424387200e+00    1.7953088221e+00   -8.0616664829e+00    1.7864159004e-01    8.0000000000e+02    3.0653800850e-01    5.4937500000e-01
        14   -2.2413304693e+00    5.0386255851e+00   -4.0663259442e+00    1.8249954750e+00    1.9393046029e+00    1.7953088221e+00   -7.9460930832e+00    1.4515371400e-01    8.0000000000e+02    3.4536570663e-01    5.5325000000e-01
        15   -2.2327398868e+00    4.9966822886e+00   -4.0401277380e+00    1.8073878512e+00    1.9426826993e+00    1.7953088221e+00   -7.9656337459e+00    1.8751448654e-01    8.0000000000e+02    3.9761515943e-01    5.5500000000e-01
        16   -2.2344911224e+00    5.0185518808e+00   -4.0766801225e+00    1.8421890001e+00    1.9539527771e+00    1.7953088221e+00   -7.9680776592e+00    1.4213593747e-01    8.0000000000e+02    3.3194893022e-01    5.5543750000e-01
        17   -2.2408886078e+00    5.0392732849e+00   -4.1303524772e+00    1.8894638693e+00    1.9594465326e+00    1.7953088221e+00   -8.0327923925e+00    1.4768456067e-01    8.0000000000e+02    3.3010975392e-01    5.5200000000e-01
        18   -2.2392514672e+00    5.0261849478e+00   -4.0242147825e+00    1.7849633152e+00    1.9867537660e+00    1.7953088221e+00   -8.0158124285e+00    2.0953505801e-01    8.0000000000e+02    3.0899169690e-01    5.5506250000e-01
        19   -2.2441539183e+00    5.0461311347e+00   -4.0933842035e+00    1.8492302852e+00    1.9957987874e+00    1.7953088221e+00   -8.0808078396e+00    1.9631602662e-01    8.0000000000e+02    3.5745203511e-01    5.5225000000e-01
