#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            IonIon              LocalECP            NonLocalECP         BlockWeight         BlockCPU            AcceptRatio         
         0   -2.2037138253e+00    5.0946066293e+00   -3.9346869037e+00    1.7309730784e+00    1.9968818159e+00    1.7953088221e+00   -7.9087365917e+00    1.8185905007e-01    2.5600000000e+04    5.5569103919e-01    5.7791381836e-01
         1   -2.2070012096e+00    5.0712574284e+00   -3.9562580500e+00    1.7492568403e+00    1.9945620636e+00    1.7953088221e+00   -7.9255273460e+00    1.7939841032e-01    2.5600000000e+04    5.5536112562e-01    5.7661987305e-01
         2   -2.2020384167e+00    5.0573331909e+00   -3.9515239678e+00    1.7494855511e+00    1.9989898461e+00    1.7953088221e+00   -7.9256182825e+00    1.7979564644e-01    2.5600000000e+04    5.5531315226e-01    5.7744873047e-01
         3   -2.1995420542e+00    5.0732535060e+00   -3.9429888649e+00    1.7434468107e+00    1.9977041684e+00    1.7953088221e+00   -7.9110261586e+00    1.7502430328e-01    2.5600000000e+04    5.5461359955e-01    5.7809570313e-01
         4   -2.2047981749e+00    5.0635333255e+00   -3.9511222535e+00    1.7463240786e+00    1.9975498281e+00    1.7953088221e+00   -7.9217216637e+00    1.7774076001e-01    2.5600000000e+04    5.5443290062e-01    5.7740356445e-01
         5   -2.2068055755e+00    5.0867958758e+00   -3.9558876945e+00    1.7490821190e+00    1.9958854873e+00    1.7953088221e+00   -7.9314084683e+00    1.8432646448e-01    2.5600000000e+04    5.5425934959e-01    5.7685668945e-01
         6   -2.2080227983e+00    5.0791640145e+00   -3.9528232552e+00    1.7448004570e+00    1.9942869477e+00    1.7953088221e+00   -7.9208584136e+00    1.7843938858e-01    2.5600000000e+04    5.5413605087e-01    5.7677856445e-01
         7   -2.2045349758e+00    5.0733371084e+00   -3.9418908739e+00    1.7373558981e+00    1.9941300576e+00    1.7953088221e+00   -7.9188267498e+00    1.8749699617e-01    2.5600000000e+04    5.5405019503e-01    5.7866699219e-01
         8   -2.2057382511e+00    5.0873007664e+00   -3.9208874886e+00    1.7151492375e+00    1.9895378887e+00    1.7953088221e+00   -7.8814893374e+00    1.7575513806e-01    2.5600000000e+04    5.5443838798e-01    5.7741821289e-01
         9   -2.2038847288e+00    5.0633136363e+00   -3.9410269373e+00    1.7371422085e+00    1.9983340029e+00    1.7953088221e+00   -7.9196583785e+00    1.8498861620e-01    2.5600000000e+04    5.5474689696e-01    5.7747802734e-01
        10   -2.2090619057e+00    5.1449327335e+00   -3.9544894847e+00    1.7454275791e+00    1.9905940357e+00    1.7953088221e+00   -7.9152598511e+00    1.7486750862e-01    2.5600000000e+04    5.5386055820e-01    5.7666625977e-01
        11   -2.1990944146e+00    5.1021887298e+00   -3.9542133024e+00    1.7551188879e+00    2.0048536182e+00    1.7953088221e+00   -7.9306762116e+00    1.7630046896e-01    2.5600000000e+04    5.5393175036e-01    5.7706542969e-01
        12   -2.2025652270e+00    5.1068117024e+00   -3.9411158053e+00    1.7385505783e+00    1.9964843291e+00    1.7953088221e+00   -7.9110658892e+00    1.7815693277e-01    2.5600000000e+04    5.5367092136e-01    5.7658569336e-01
