#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            LocalECP            NonLocalECP         IonIon              BlockWeight         BlockCPU            AcceptRatio         
         0   -2.2452440531e+00    5.0664533408e+00   -4.0375566970e+00    1.7923126438e+00    1.9357945106e+00   -7.9512300242e+00    1.8256999454e-01    1.7953088221e+00    3.2000000000e+02    1.9513145089e-02    6.9960937500e-01
         1   -2.2381328865e+00    5.0238626906e+00   -3.9891203598e+00    1.7509874734e+00    1.9898796001e+00   -7.9618644797e+00    1.8755569769e-01    1.7953088221e+00    3.2000000000e+02    2.0061686635e-02    6.9921875000e-01
         2   -2.2350063413e+00    5.0194771670e+00   -3.8211182492e+00    1.5861119080e+00    1.9467940805e+00   -7.7343021079e+00    1.7108095611e-01    1.7953088221e+00    3.2000000000e+02    1.9573926926e-02    7.1171875000e-01
         3   -2.2360551565e+00    5.0117737113e+00   -4.1477618052e+00    1.9117066487e+00    1.9026429040e+00   -7.9812581268e+00    1.3554459554e-01    1.7953088221e+00    3.2000000000e+02    1.9542932510e-02    6.8906250000e-01
         4   -2.2488736840e+00    5.0766446289e+00   -3.9886709720e+00    1.7397972880e+00    1.9301431749e+00   -7.9017517511e+00    1.8762878216e-01    1.7953088221e+00    3.2000000000e+02    1.9803375006e-02    7.0351562500e-01
         5   -2.2281137670e+00    4.9862168769e+00   -4.1548380656e+00    1.9267242986e+00    1.9242222267e+00   -8.0893892064e+00    2.1502009192e-01    1.7953088221e+00    3.2000000000e+02    1.9955977798e-02    6.9843750000e-01
         6   -2.2480477854e+00    5.0704992500e+00   -3.9966930589e+00    1.7486452734e+00    1.8608940643e+00   -7.8540897920e+00    2.0119384675e-01    1.7953088221e+00    3.2000000000e+02    1.9402906299e-02    6.8867187500e-01
         7   -2.2465784447e+00    5.0664793354e+00   -4.0820698313e+00    1.8354913866e+00    1.9282779025e+00   -8.0101210265e+00    2.0446447065e-01    1.7953088221e+00    3.2000000000e+02    1.9224375486e-02    6.8867187500e-01
         8   -2.2438893671e+00    5.0511119653e+00   -4.2060745857e+00    1.9621852186e+00    1.9653060840e+00   -8.1534945680e+00    1.8680507626e-01    1.7953088221e+00    3.2000000000e+02    1.9640475512e-02    6.8671875000e-01
         9   -2.2304166305e+00    4.9995666516e+00   -4.3790593998e+00    2.1486427693e+00    1.9853599034e+00   -8.2704741294e+00    1.1074600413e-01    1.7953088221e+00    3.2000000000e+02    1.9780606031e-02    6.8945312500e-01
        10   -2.2364825685e+00    5.0183588075e+00   -4.0783564209e+00    1.8418738524e+00    1.8951577687e+00   -7.9319224651e+00    1.6309945350e-01    1.7953088221e+00    3.2000000000e+02    1.9685134292e-02    6.8984375000e-01
        11   -2.2359065411e+00    5.0202648418e+00   -4.0822094058e+00    1.8463028647e+00    1.9860740851e+00   -8.0808498789e+00    2.1725756592e-01    1.7953088221e+00    3.2000000000e+02    2.0119130611e-02    6.8554687500e-01
        12   -2.2391246192e+00    5.0254642456e+00   -3.9132640335e+00    1.6741394143e+00    1.9080671557e+00   -7.7896585345e+00    1.7301852325e-01    1.7953088221e+00    3.2000000000e+02    1.9543960690e-02    7.0117187500e-01
        13   -2.2376427742e+00    5.0285670858e+00   -3.9841415163e+00    1.7464987421e+00    1.9189938151e+00   -7.8582174599e+00    1.5977330640e-01    1.7953088221e+00    3.2000000000e+02    1.9995883107e-02    7.0859375000e-01
        14   -2.2459551641e+00    5.0596894530e+00   -3.9165677674e+00    1.6706126033e+00    1.8664384474e+00   -7.7415954575e+00    1.6328042061e-01    1.7953088221e+00    3.2000000000e+02    1.9125238061e-02    7.0937500000e-01
        15   -2.2303421442e+00    4.9870144506e+00   -4.3447121374e+00    2.1143699932e+00    1.8778073056e+00   -8.1803023395e+00    1.6247407445e-01    1.7953088221e+00    3.2000000000e+02    1.9823551178e-02    6.9375000000e-01
        16   -2.2496275814e+00    5.0792963494e+00   -3.9239996548e+00    1.6743720734e+00    1.8992208361e+00   -7.8065387267e+00    1.8800941369e-01    1.7953088221e+00    3.2000000000e+02    1.9899412990e-02    7.0351562500e-01
        17   -2.2412018266e+00    5.0396981386e+00   -4.0938163151e+00    1.8526144885e+00    1.9420417451e+00   -7.9992065139e+00    1.6803963159e-01    1.7953088221e+00    3.2000000000e+02    1.9731417298e-02    6.9414062500e-01
        18   -2.2443479704e+00    5.0560237263e+00   -3.9312103159e+00    1.6868623456e+00    1.9128271370e+00   -7.8298398191e+00    1.9049354414e-01    1.7953088221e+00    3.2000000000e+02    1.9659832120e-02    7.0820312500e-01
        19   -2.2318631719e+00    5.0382850832e+00   -4.0986330776e+00    1.8667699057e+00    1.9245379906e+00   -8.0080556296e+00    1.8957573940e-01    1.7953088221e+00    3.2000000000e+02    1.9459590316e-02    6.8906250000e-01
        20   -2.2313671792e+00    4.9954647541e+00   -4.1841975970e+00    1.9528304178e+00    1.9469717748e+00   -8.1401945559e+00    2.1371636200e-01    1.7953088221e+00    3.2000000000e+02    1.9899636507e-02    6.9140625000e-01
        21   -2.2565147767e+00    5.1102930727e+00   -4.5181498763e+00    2.2616350996e+00    1.9650297193e+00   -8.4275498811e+00    1.4906146345e-01    1.7953088221e+00    3.2000000000e+02    1.9653514028e-02    6.7890625000e-01
        22   -2.2408519830e+00    5.0384602297e+00   -3.9517518313e+00    1.7108998483e+00    1.9364273265e+00   -7.8855056641e+00    2.0201768419e-01    1.7953088221e+00    3.2000000000e+02    1.9587516785e-02    7.0117187500e-01
        23   -2.2362796107e+00    5.0130155079e+00   -4.0994514700e+00    1.8631718592e+00    1.9420494265e+00   -7.9503141166e+00    1.1350439809e-01    1.7953088221e+00    3.2000000000e+02    1.9624307752e-02    6.9375000000e-01
        24   -2.2343262895e+00    5.0199756501e+00   -3.9082336728e+00    1.6739073833e+00    1.9309249290e+00   -7.8182420922e+00    1.8377466826e-01    1.7953088221e+00    3.2000000000e+02    1.9531130791e-02    6.9843750000e-01
