# Index          LocalEnergy            Variance              Weight        NumOfWalkers      AvgSentWalkers         TrialEnergy             DiffEff      LivingFraction
         0   -2.2821663796e+00    1.1960694958e-01    1.3320000000e+04    1.3308000000e+04    0.0000000000e+00   -2.2711976077e+00    9.9715037056e-01    9.9872257289e-01
         1   -2.2843190279e+00    1.4098360486e-01    1.3046048923e+04    1.3308000000e+04    3.1250000000e-01   -4.2840530687e+00    9.9793912835e-01    9.7993688007e-01
         2   -2.2834312372e+00    1.5154651245e-01    1.3055798550e+04    1.3052000000e+04    1.1250000000e+00   -2.2536770788e+00    9.9754333551e-01    9.9938706712e-01
         3   -2.2807010245e+00    1.3059901329e-01    1.3055646804e+04    1.3055000000e+04    3.7500000000e-01   -2.2757716302e+00    9.9791931365e-01    9.9915741095e-01
         4   -2.2821616189e+00    1.2845677868e-01    1.3056052827e+04    1.3053000000e+04    3.7500000000e-01   -2.2577204430e+00    9.9680010346e-01    9.9961694630e-01
         5   -2.2797014949e+00    1.1899302986e-01    1.3055841057e+04    1.3059000000e+04    3.7500000000e-01   -2.3051369205e+00    9.9707187216e-01    9.9915766904e-01
         6   -2.2804797111e+00    1.1998616763e-01    1.3056000745e+04    1.3055000000e+04    3.1250000000e-01   -2.2720418878e+00    9.9724210631e-01    9.9908081195e-01
         7   -2.2824576596e+00    1.1954071296e-01    1.3056095716e+04    1.3051000000e+04    5.0000000000e-01   -2.2421758075e+00    9.9768610861e-01    9.9915715271e-01
         8   -2.2829178370e+00    1.2539314969e-01    1.3055992594e+04    1.3049000000e+04    3.1250000000e-01   -2.2288280854e+00    9.9736203257e-01    9.9977009733e-01
         9   -2.2836800200e+00    1.2801459529e-01    1.3056013791e+04    1.3055000000e+04    3.7500000000e-01   -2.2752582299e+00    9.9704282801e-01    9.9946380697e-01
        10   -2.2870210955e+00    2.5062284139e-01    1.3055910595e+04    1.3054000000e+04    2.5000000000e-01   -2.2683602191e+00    9.9727584554e-01    9.9915734641e-01
        11   -2.2855851353e+00    1.5680014215e-01    1.3055445999e+04    1.3054000000e+04    4.3750000000e-01   -2.2717012946e+00    9.9727014991e-01    9.9900413666e-01
        12   -2.2852852986e+00    1.4547589006e-01    1.3055720555e+04    1.3046000000e+04    3.1250000000e-01   -2.2089626505e+00    9.9668633270e-01    9.9954008892e-01
        13   -2.2834584688e+00    1.2206585651e-01    1.3055903782e+04    1.3054000000e+04    3.7500000000e-01   -2.2699654977e+00    9.9664255458e-01    9.9877432205e-01
        14   -2.2845366463e+00    1.4134085019e-01    1.3055934155e+04    1.3047000000e+04    2.5000000000e-01   -2.2145008750e+00    9.9731148153e-01    9.9984670806e-01
        15   -2.2836912286e+00    1.2208790312e-01    1.3055826625e+04    1.3056000000e+04    3.7500000000e-01   -2.2845366463e+00    9.9647742717e-01    9.9923406863e-01
        16   -2.2845306120e+00    1.3304932686e-01    1.3056045251e+04    1.3054000000e+04    3.7500000000e-01   -2.2683714277e+00    9.9661357734e-01    9.9954037077e-01
        17   -2.2873675931e+00    2.6337241387e-01    1.3056000568e+04    1.3063000000e+04    3.1250000000e-01   -2.3381314402e+00    9.9733140980e-01    9.9908137488e-01
        18   -2.2849726709e+00    1.7427839090e-01    1.3055319784e+04    1.3055000000e+04    3.1250000000e-01   -2.2797079861e+00    9.9760435069e-01    9.9931060896e-01
        19   -2.2820131526e+00    1.2695746454e-01    1.3055504754e+04    1.3056000000e+04    4.3750000000e-01   -2.2849726709e+00    9.9695040283e-01    9.9915747549e-01
        20   -2.2821955451e+00    1.3263584511e-01    1.3055981045e+04    1.3054000000e+04    2.5000000000e-01   -2.2666933518e+00    9.9582695016e-01    9.9908074154e-01
        21   -2.2833541296e+00    1.2562002626e-01    1.3056062641e+04    1.3054000000e+04    4.3750000000e-01   -2.2668757442e+00    9.9707033109e-01    9.9915734641e-01
        22   -2.2808159062e+00    1.3766858456e-01    1.3055678396e+04    1.3058000000e+04    3.7500000000e-01   -2.2986715839e+00    9.9649548569e-01    9.9946393016e-01
        23   -2.2861780376e+00    3.3868079717e-01    1.3055931634e+04    1.3064000000e+04    5.0000000000e-01   -2.3420716509e+00    9.9709458990e-01    9.9885180649e-01
        24   -2.2821817181e+00    1.1947701815e-01    1.3055311393e+04    1.3054000000e+04    2.5000000000e-01   -2.2708582367e+00    9.9746487902e-01    9.9946376590e-01
        25   -2.2834530352e+00    1.5488262878e-01    1.3056001075e+04    1.3062000000e+04    3.7500000000e-01   -2.3281270440e+00    9.9682853796e-01    9.9892818864e-01
        26   -2.2828829438e+00    1.3940391324e-01    1.3055760013e+04    1.3060000000e+04    5.6250000000e-01   -2.3140855979e+00    9.9679244569e-01    9.9908116386e-01
        27   -2.2834398295e+00    1.5310493841e-01    1.3055882882e+04    1.3062000000e+04    4.3750000000e-01   -2.3288282696e+00    9.9718763629e-01    9.9908130455e-01
        28   -2.2854012375e+00    1.7560776888e-01    1.3055797278e+04    1.3061000000e+04    3.7500000000e-01   -2.3217290669e+00    9.9650845185e-01    9.9908123421e-01
        29   -2.2821386431e+00    1.1707595609e-01    1.3055562822e+04    1.3057000000e+04    3.7500000000e-01   -2.2930602579e+00    9.9698580064e-01    9.9938730183e-01
        30   -2.2815540540e+00    1.1276044292e-01    1.3056020279e+04    1.3060000000e+04    3.1250000000e-01   -2.3127712057e+00    9.9714319148e-01    9.9931087289e-01
        31   -2.2826973438e+00    1.2566146127e-01    1.3056083569e+04    1.3060000000e+04    3.7500000000e-01   -2.3121866166e+00    9.9674232448e-01    9.9908116386e-01
        32   -2.2831495973e+00    1.2570944753e-01    1.3056011017e+04    1.3057000000e+04    5.0000000000e-01   -2.2903563642e+00    9.9680557480e-01    9.9938730183e-01
        33   -2.2853598970e+00    1.2497520164e-01    1.3056162798e+04    1.3064000000e+04    3.7500000000e-01   -2.3444053419e+00    9.9726093327e-01    9.9900489896e-01
