#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            LocalECP            NonLocalECP         IonIon              BlockWeight         BlockCPU            AcceptRatio         
         0   -2.2480036751e+00    5.0703135005e+00   -4.2748794400e+00    2.0268757649e+00    1.9195113591e+00   -8.1221017608e+00    1.3240213954e-01    1.7953088221e+00    3.2000000000e+02    1.9847631454e-02    6.9843750000e-01
         1   -2.2404518073e+00    5.0410720136e+00   -3.9743694867e+00    1.7339176794e+00    1.8470908695e+00   -7.7845087721e+00    1.6773959376e-01    1.7953088221e+00    3.2000000000e+02    1.9755974412e-02    6.9257812500e-01
         2   -2.2351820158e+00    5.0121960469e+00   -4.1182076673e+00    1.8830256516e+00    1.9124662865e+00   -8.0304898002e+00    2.0450702438e-01    1.7953088221e+00    3.2000000000e+02    2.0111918449e-02    6.8437500000e-01
         3   -2.2558310630e+00    5.1062060924e+00   -4.0669822931e+00    1.8111512302e+00    1.8842734735e+00   -7.9230981566e+00    1.7653356789e-01    1.7953088221e+00    3.2000000000e+02    2.0252242684e-02    6.8984375000e-01
         4   -2.2342395272e+00    5.0076469540e+00   -4.1813298943e+00    1.9470903671e+00    1.9495337936e+00   -8.0751200225e+00    1.4894751249e-01    1.7953088221e+00    3.2000000000e+02    2.0067706704e-02    6.8554687500e-01
         5   -2.2432137507e+00    5.0455565782e+00   -4.2148477752e+00    1.9716340245e+00    1.9084307884e+00   -8.1170293375e+00    1.9844195176e-01    1.7953088221e+00    3.2000000000e+02    1.9350588322e-02    6.8750000000e-01
         6   -2.2398327654e+00    5.0329921364e+00   -3.8462925623e+00    1.6064597969e+00    1.9930479303e+00   -7.8338098069e+00    1.9916049214e-01    1.7953088221e+00    3.2000000000e+02    2.0108908415e-02    6.8828125000e-01
         7   -2.2320511419e+00    4.9979899873e+00   -4.1076334389e+00    1.8755822970e+00    1.9318815712e+00   -8.0309955325e+00    1.9617170032e-01    1.7953088221e+00    3.2000000000e+02    1.9582226872e-02    6.8242187500e-01
         8   -2.2312573910e+00    4.9950278518e+00   -4.3010651950e+00    2.0698078040e+00    2.0273661882e+00   -8.3267511817e+00    2.0301097638e-01    1.7953088221e+00    3.2000000000e+02    1.9898340106e-02    6.7070312500e-01
         9   -2.2458765154e+00    5.0634442323e+00   -4.1632645648e+00    1.9173880494e+00    1.9336678700e+00   -8.0387390825e+00    1.4649782568e-01    1.7953088221e+00    3.2000000000e+02    1.9840970635e-02    6.8632812500e-01
