# Index          LocalEnergy            Variance              Weight        NumOfWalkers      AvgSentWalkers         TrialEnergy             DiffEff      LivingFraction
         0   -2.2469500399e+00    1.4255413154e-02    4.0950000000e+03    4.0960000000e+03    0.0000000000e+00   -2.2671248405e+00    9.9617266458e-01    9.9902343750e-01
         1   -2.2405775687e+00    1.4842868692e-02    4.0959049401e+03    4.0960000000e+03    0.0000000000e+00   -2.2347415183e+00    9.9511751703e-01    9.9853515625e-01
         2   -2.2382879923e+00    1.4880723890e-02    4.0958997178e+03    4.0950000000e+03    3.7500000000e-01   -2.2283690471e+00    9.9624764586e-01    9.9902319902e-01
         3   -2.2372202936e+00    1.4528652654e-02    4.0959585101e+03    4.0960000000e+03    3.1250000000e-01   -2.2382879923e+00    9.9700331296e-01    9.9853515625e-01
         4   -2.2370190565e+00    1.5323221087e-02    4.0959986660e+03    4.0970000000e+03    3.1250000000e-01   -2.2494258349e+00    9.9296251796e-01    9.9926775690e-01
         5   -2.2368084764e+00    1.4819833365e-02    4.0960021085e+03    4.0970000000e+03    1.8750000000e-01   -2.2492245979e+00    9.9595462387e-01    9.9926775690e-01
         6   -2.2358742932e+00    1.5224360293e-02    4.0959529070e+03    4.0950000000e+03    1.2500000000e-01   -2.2245999548e+00    9.9461347840e-01    9.9975579976e-01
         7   -2.2344551875e+00    1.5141365671e-02    4.0959344036e+03    4.0960000000e+03    6.2500000000e-02   -2.2358742932e+00    9.9539848910e-01    9.9829101562e-01
         8   -2.2357168325e+00    1.5332487429e-02    4.0960451368e+03    4.0930000000e+03    4.3750000000e-01   -2.1978206761e+00    9.9518107874e-01    9.9828976301e-01
         9   -2.2357838993e+00    1.5891790057e-02    4.0959994360e+03    4.0940000000e+03    4.3750000000e-01   -2.2112968076e+00    9.9439469942e-01    9.9951148021e-01
        10   -2.2352030764e+00    1.6022765262e-02    4.0959937977e+03    4.0980000000e+03    2.5000000000e-01   -2.2601920033e+00    9.9519255615e-01    9.9902391410e-01
        11   -2.2367806874e+00    1.5130195397e-02    4.0960627461e+03    4.0960000000e+03    1.8750000000e-01   -2.2352030764e+00    9.9384404499e-01    9.9902343750e-01
        12   -2.2362504533e+00    1.5199998560e-02    4.0959804004e+03    4.0970000000e+03    2.5000000000e-01   -2.2489862288e+00    9.9404446605e-01    9.9902367586e-01
        13   -2.2337593609e+00    1.5829900290e-02    4.0959129902e+03    4.0980000000e+03    1.8750000000e-01   -2.2606585573e+00    9.9660763435e-01    9.9780380673e-01
        14   -2.2362698722e+00    1.6350887789e-02    4.0960706462e+03    4.0900000000e+03    2.5000000000e-01   -2.1604634767e+00    9.9482403575e-01    9.9902200489e-01
        15   -2.2350462547e+00    1.6747006596e-02    4.0959322486e+03    4.0910000000e+03    1.8750000000e-01   -2.1751974327e+00    9.9424945603e-01    9.9926668296e-01
        16   -2.2368559582e+00    1.9346202144e-02    4.0960618772e+03    4.0930000000e+03    1.2500000000e-01   -2.1984117434e+00    9.9507683241e-01    9.9975568043e-01
        17   -2.2369876654e+00    2.0365278530e-02    4.0959954867e+03    4.0960000000e+03    1.8750000000e-01   -2.2368559582e+00    9.9638583520e-01    9.9829101562e-01
        18   -2.2366898655e+00    1.9098732786e-02    4.0959761203e+03    4.0930000000e+03    2.5000000000e-01   -2.2003531541e+00    9.9342195873e-01    9.9853408258e-01
        19   -2.2381602578e+00    1.8597727901e-02    4.0960579817e+03    4.0920000000e+03    3.1250000000e-01   -2.1878378831e+00    9.9492748416e-01    9.9951124145e-01
        20   -2.2393140469e+00    1.8062675809e-02    4.0960316642e+03    4.0940000000e+03    1.8750000000e-01   -2.2137402329e+00    9.9637063154e-01    9.9926722032e-01
        21   -2.2379773734e+00    1.5584234110e-02    4.0959298015e+03    4.0940000000e+03    1.8750000000e-01   -2.2148940220e+00    9.9566684536e-01    9.9951148021e-01
        22   -2.2377569400e+00    1.5493763878e-02    4.0960122183e+03    4.0990000000e+03    1.8750000000e-01   -2.2745850627e+00    9.9426942169e-01    9.9951207612e-01
        23   -2.2365819862e+00    1.5220781049e-02    4.0959542994e+03    4.0980000000e+03    1.2500000000e-01   -2.2621650439e+00    9.9473082566e-01    9.9926793558e-01
        24   -2.2388881032e+00    1.6417829078e-02    4.0961005122e+03    4.0980000000e+03    1.2500000000e-01   -2.2609900902e+00    9.9532370276e-01    9.9853587116e-01
        25   -2.2392426740e+00    1.5808563594e-02    4.0960118406e+03    4.0960000000e+03    3.1250000000e-01   -2.2388881032e+00    9.9589991772e-01    9.9975585938e-01
        26   -2.2395915172e+00    1.5400267880e-02    4.0960172083e+03    4.0980000000e+03    1.8750000000e-01   -2.2636507780e+00    9.9387731676e-01    9.9853587116e-01
        27   -2.2379838586e+00    1.5210732747e-02    4.0959194276e+03    4.0940000000e+03    1.8750000000e-01   -2.2151714923e+00    9.9419350420e-01    9.9926722032e-01
        28   -2.2375750384e+00    1.6333029161e-02    4.0959826015e+03    4.0960000000e+03    2.5000000000e-01   -2.2379838586e+00    9.9673581871e-01    9.9975585938e-01
        29   -2.2388974369e+00    1.6320722750e-02    4.0960746567e+03    4.1000000000e+03    2.5000000000e-01   -2.2863793370e+00    9.9598767413e-01    9.9829268293e-01
        30   -2.2393166469e+00    1.6819385866e-02    4.0959948319e+03    4.0930000000e+03    3.7500000000e-01   -2.2022629256e+00    9.9431316459e-01    9.9975568043e-01
        31   -2.2378069067e+00    1.6022308671e-02    4.0959375859e+03    4.0970000000e+03    2.5000000000e-01   -2.2515221882e+00    9.9502731745e-01    9.9926775690e-01
        32   -2.2393875020e+00    1.6362192310e-02    4.0960685223e+03    4.0970000000e+03    1.2500000000e-01   -2.2500124481e+00    9.9514067503e-01    9.9902367586e-01
        33   -2.2376721558e+00    1.7709324443e-02    4.0959218848e+03    4.0950000000e+03    1.8750000000e-01   -2.2271789803e+00    9.9345017692e-01    9.9951159951e-01
        34   -2.2397511496e+00    1.9496266764e-02    4.0960706139e+03    4.0950000000e+03    1.2500000000e-01   -2.2254636342e+00    9.9599234531e-01    9.9902319902e-01
        35   -2.2407537118e+00    1.7599465491e-02    4.0960369795e+03    4.0950000000e+03    2.5000000000e-01   -2.2275426280e+00    9.9646542165e-01    9.9975579976e-01
        36   -2.2403421473e+00    1.6969678514e-02    4.0960019000e+03    4.0990000000e+03    2.5000000000e-01   -2.2773614011e+00    9.9675579277e-01    9.9902415223e-01
        37   -2.2410917884e+00    1.6243315712e-02    4.0960171515e+03    4.0950000000e+03    1.8750000000e-01   -2.2281336257e+00    9.9571217946e-01    9.9951159951e-01
        38   -2.2415849196e+00    1.7143333090e-02    4.0960126542e+03    4.0960000000e+03    1.2500000000e-01   -2.2410917884e+00    9.9478353131e-01    9.9951171875e-01
        39   -2.2402781920e+00    1.8385311017e-02    4.0959401427e+03    4.0960000000e+03    1.2500000000e-01   -2.2415849196e+00    9.9440314709e-01    9.9951171875e-01
        40   -2.2405205244e+00    1.7697649193e-02    4.0960273521e+03    4.1000000000e+03    3.1250000000e-01   -2.2890824906e+00    9.9425929690e-01    9.9853658537e-01
        41   -2.2386049923e+00    1.7811708573e-02    4.0959269644e+03    4.0970000000e+03    2.5000000000e-01   -2.2527260658e+00    9.9384310172e-01    9.9926775690e-01
