#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            LocalECP            NonLocalECP         IonIon              BlockWeight         BlockCPU            AcceptRatio         
         0   -2.2403783688e+00    5.0326277980e+00   -3.8605435143e+00    1.6201651455e+00    1.9240054474e+00   -7.7341039584e+00    1.5424617465e-01    1.7953088221e+00    3.2000000000e+02    1.9565850496e-02    6.9335937500e-01
         1   -2.2423490324e+00    5.0432287460e+00   -3.9476506867e+00    1.7053016543e+00    1.9561850176e+00   -7.8249220210e+00    1.2577749458e-01    1.7953088221e+00    3.2000000000e+02    1.9958734512e-02    6.8984375000e-01
         2   -2.2098951007e+00    4.9571336828e+00   -4.0078424797e+00    1.7979473790e+00    1.9114590290e+00   -7.8108252631e+00    9.6214932418e-02    1.7953088221e+00    3.2000000000e+02    1.9584029913e-02    6.9882812500e-01
         3   -2.2331505242e+00    4.9993977773e+00   -3.8950418717e+00    1.6618913475e+00    1.8817387162e+00   -7.7104307773e+00    1.3834136734e-01    1.7953088221e+00    3.2000000000e+02    1.9466951489e-02    7.1054687500e-01
         4   -2.2472870303e+00    5.0725059342e+00   -4.2227376900e+00    1.9754506597e+00    1.9148976848e+00   -8.1061352458e+00    1.7319104901e-01    1.7953088221e+00    3.2000000000e+02    1.9820332527e-02    7.0156250000e-01
         5   -2.2406079350e+00    5.0407336808e+00   -4.1470923848e+00    1.9064844498e+00    1.8890846371e+00   -8.0289837154e+00    1.9749787144e-01    1.7953088221e+00    3.2000000000e+02    1.9551858306e-02    6.9257812500e-01
         6   -2.2389075691e+00    5.0359556802e+00   -4.2145187698e+00    1.9756112007e+00    1.9211502337e+00   -8.0181251632e+00    8.7147337575e-02    1.7953088221e+00    3.2000000000e+02    1.9689306617e-02    6.9570312500e-01
         7   -2.2321880647e+00    5.0228863394e+00   -3.9109830518e+00    1.6787949871e+00    1.9477756495e+00   -7.8607910096e+00    2.0672348618e-01    1.7953088221e+00    3.2000000000e+02    1.9496425986e-02    7.0039062500e-01
         8   -2.2483441328e+00    5.0827345315e+00   -4.0702903441e+00    1.8219462113e+00    1.9386700441e+00   -7.9753583149e+00    1.7108910470e-01    1.7953088221e+00    3.2000000000e+02    1.9670292735e-02    6.9492187500e-01
         9   -2.2483719556e+00    5.0744951756e+00   -3.8337363777e+00    1.5853644221e+00    1.9893762263e+00   -7.7658070038e+00    1.4738557773e-01    1.7953088221e+00    3.2000000000e+02    1.9663974643e-02    7.0273437500e-01
        10   -2.2398352772e+00    5.0322535474e+00   -4.1345292528e+00    1.8946939755e+00    1.9137479948e+00   -7.9988053560e+00    1.5521928635e-01    1.7953088221e+00    3.2000000000e+02    1.9730716944e-02    7.0078125000e-01
        11   -2.2458391106e+00    5.0644101826e+00   -4.2033435298e+00    1.9575044192e+00    1.9929617168e+00   -8.0574874923e+00    6.5873423552e-02    1.7953088221e+00    3.2000000000e+02    1.9911244512e-02    6.7929687500e-01
        12   -2.2362321931e+00    5.0149927996e+00   -4.0052002033e+00    1.7689680101e+00    1.9159587243e+00   -7.8919460820e+00    1.7547833233e-01    1.7953088221e+00    3.2000000000e+02    1.9522696733e-02    6.9257812500e-01
        13   -2.2458439145e+00    5.0586059310e+00   -3.9176861189e+00    1.6718422044e+00    1.9738404161e+00   -7.9014496382e+00    2.1461428118e-01    1.7953088221e+00    3.2000000000e+02    1.9758597016e-02    6.8789062500e-01
        14   -2.2391219512e+00    5.0274536361e+00   -4.4464690218e+00    2.2073470706e+00    1.9692489536e+00   -8.3797972074e+00    1.6877040991e-01    1.7953088221e+00    3.2000000000e+02    1.9852042198e-02    6.8984375000e-01
        15   -2.2396211977e+00    5.0323123179e+00   -3.9533523075e+00    1.7137311098e+00    1.9986202994e+00   -7.9488333941e+00    2.0155196516e-01    1.7953088221e+00    3.2000000000e+02    1.9795998931e-02    6.9179687500e-01
        16   -2.2302485008e+00    4.9905683739e+00   -3.9032651281e+00    1.6730166273e+00    1.8992404018e+00   -7.8285525987e+00    2.3073824677e-01    1.7953088221e+00    3.2000000000e+02    1.9544318318e-02    6.9843750000e-01
        17   -2.2323571192e+00    5.0021705522e+00   -4.2082672013e+00    1.9759100820e+00    2.0471957860e+00   -8.1913809727e+00    1.4060916337e-01    1.7953088221e+00    3.2000000000e+02    1.9731059670e-02    6.6562500000e-01
        18   -2.2403295163e+00    5.0386733765e+00   -3.9201716436e+00    1.6798421274e+00    1.9443996748e+00   -7.8491853823e+00    1.8930524184e-01    1.7953088221e+00    3.2000000000e+02    2.0107388496e-02    6.9843750000e-01
        19   -2.2309899015e+00    4.9932688029e+00   -4.2388819369e+00    2.0078920354e+00    1.8939537209e+00   -8.1213655321e+00    1.9322105219e-01    1.7953088221e+00    3.2000000000e+02    1.9733145833e-02    7.0312500000e-01
        20   -2.2432524802e+00    5.0474914623e+00   -4.0677301670e+00    1.8244776869e+00    1.9737464592e+00   -8.0027006889e+00    1.6591524055e-01    1.7953088221e+00    3.2000000000e+02    2.0056396723e-02    7.1757812500e-01
