# Index          LocalEnergy            Variance              Weight        NumOfWalkers      AvgSentWalkers         TrialEnergy             DiffEff      LivingFraction
         0   -2.2445840148e+00    2.4780793696e-02    1.3078000000e+04    1.3078000000e+04    0.0000000000e+00   -2.2463613591e+00    9.9946646170e-01    9.9969414284e-01
         1   -2.2445501744e+00    2.6601281742e-02    1.3056077332e+04    1.3078000000e+04    3.1250000000e-01   -2.5813101983e+00    9.9958143366e-01    9.9847071418e-01
         2   -2.2450178565e+00    2.3119023268e-02    1.3056026255e+04    1.3061000000e+04    4.3750000000e-01   -2.3211286492e+00    9.9952373278e-01    9.9946405329e-01
         3   -2.2448026533e+00    2.4726566193e-02    1.3055987995e+04    1.3055000000e+04    3.1250000000e-01   -2.2296986424e+00    9.9910990404e-01    9.9954040597e-01
         4   -2.2455022135e+00    2.9042831941e-02    1.3056023388e+04    1.3055000000e+04    3.1250000000e-01   -2.2294834392e+00    9.9954310937e-01    9.9992340100e-01
         5   -2.2451711765e+00    2.6382156823e-02    1.3055991770e+04    1.3057000000e+04    1.2500000000e-01   -2.2608202543e+00    9.9955971987e-01    9.9977023819e-01
         6   -2.2450175711e+00    2.8549124244e-02    1.3055992904e+04    1.3056000000e+04    1.8750000000e-01   -2.2451711765e+00    9.9958295368e-01    9.9977022059e-01
         7   -2.2458801099e+00    2.2631918090e-02    1.3056026223e+04    1.3056000000e+04    1.8750000000e-01   -2.2450175711e+00    9.9946097666e-01    9.9954044118e-01
         8   -2.2454973261e+00    2.3021146875e-02    1.3055977771e+04    1.3053000000e+04    3.1250000000e-01   -2.1999189469e+00    9.9927036545e-01    9.9992338926e-01
         9   -2.2456638367e+00    2.2756435452e-02    1.3056003366e+04    1.3056000000e+04    1.8750000000e-01   -2.2454973261e+00    9.9935202134e-01    9.9984681373e-01
        10   -2.2451963915e+00    2.1549816064e-02    1.3055979211e+04    1.3055000000e+04    6.2500000000e-02   -2.2303446225e+00    9.9945267264e-01    9.9977020299e-01
        11   -2.2455234463e+00    2.1414984447e-02    1.3055998813e+04    1.3053000000e+04    1.8750000000e-01   -2.1992352285e+00    9.9930527029e-01    9.9984677852e-01
        12   -2.2455748506e+00    2.2004136359e-02    1.3056001884e+04    1.3056000000e+04    2.5000000000e-01   -2.2455234463e+00    9.9956344121e-01    9.9977022059e-01
