#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            LocalECP            NonLocalECP         IonIon              BlockWeight         BlockCPU            AcceptRatio         
         0   -2.2362556206e+00    5.0249371983e+00   -4.0402882753e+00    1.8040326547e+00    1.9365967199e+00   -7.9615533650e+00    1.8935954779e-01    1.7953088221e+00    2.1760000000e+04    2.2047688198e-02    5.8017003676e-01
         1   -2.2366693732e+00    5.0220710147e+00   -4.0545390831e+00    1.8178697100e+00    1.9364360385e+00   -7.9758201379e+00    1.8953619427e-01    1.7953088221e+00    2.1760000000e+04    2.1140304339e-02    5.8228400735e-01
         2   -2.2393326961e+00    5.0370240848e+00   -4.0502562325e+00    1.8109235364e+00    1.9356619974e+00   -7.9612031197e+00    1.7997606774e-01    1.7953088221e+00    2.1760000000e+04    2.0884350380e-02    5.8393267463e-01
         3   -2.2365943500e+00    5.0250138843e+00   -4.0918631821e+00    1.8552688321e+00    1.9407059672e+00   -8.0051330638e+00    1.7725509243e-01    1.7953088221e+00    2.1760000000e+04    2.0931710653e-02    5.7913602941e-01
         4   -2.2373574711e+00    5.0261270954e+00   -4.0562305171e+00    1.8188730460e+00    1.9409481161e+00   -7.9758733778e+00    1.8338592252e-01    1.7953088221e+00    2.1760000000e+04    2.0843748880e-02    5.8018152574e-01
         5   -2.2390344977e+00    5.0342611606e+00   -4.0872497761e+00    1.8482152784e+00    1.9459752047e+00   -8.0137405674e+00    1.8520676460e-01    1.7953088221e+00    2.1760000000e+04    2.0847543417e-02    5.8117532169e-01
         6   -2.2373574708e+00    5.0308772028e+00   -4.0651284994e+00    1.8277710286e+00    1.9362254894e+00   -7.9789027577e+00    1.8223994693e-01    1.7953088221e+00    2.1760000000e+04    2.0832709968e-02    5.8024471507e-01
         7   -2.2373134424e+00    5.0265407045e+00   -4.0785800185e+00    1.8412665762e+00    1.9499842553e+00   -8.0100624720e+00    1.8618937610e-01    1.7953088221e+00    2.1760000000e+04    2.0851296756e-02    5.8120404412e-01
         8   -2.2372875070e+00    5.0284879109e+00   -4.0577584017e+00    1.8204708947e+00    1.9436121158e+00   -7.9783607538e+00    1.8168141422e-01    1.7953088221e+00    2.1760000000e+04    2.0870468634e-02    5.8215188419e-01
         9   -2.2379420833e+00    5.0302010615e+00   -4.0879830848e+00    1.8500410015e+00    1.9357285491e+00   -8.0135385396e+00    1.9451808363e-01    1.7953088221e+00    2.1760000000e+04    2.0816600060e-02    5.8066980699e-01
        10   -2.2378204829e+00    5.0295358141e+00   -4.0640262410e+00    1.8262057580e+00    1.9419550084e+00   -7.9855789173e+00    1.8428884582e-01    1.7953088221e+00    2.1760000000e+04    2.0853226237e-02    5.7904411765e-01
        11   -2.2372306733e+00    5.0256441627e+00   -4.0377568865e+00    1.8005262132e+00    1.9441789585e+00   -7.9647886241e+00    1.8754395694e-01    1.7953088221e+00    2.1760000000e+04    2.0788474995e-02    5.8064682904e-01
