#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            IonIon              LocalECP            NonLocalECP         BlockWeight         BlockCPU            AcceptRatio         
         0   -2.1665126029e+00    5.0146384835e+00   -3.9046197547e+00    1.7381071518e+00    2.0770680989e+00    1.7953088221e+00   -7.9459767116e+00    1.6898003593e-01    2.5600000000e+04    1.5578404348e-01    8.5102905273e-01
         1   -2.1666267708e+00    5.0072140697e+00   -3.9083722073e+00    1.7417454365e+00    2.0744621576e+00    1.7953088221e+00   -7.9386188376e+00    1.6047565065e-01    2.5600000000e+04    1.5634437557e-01    8.5183959961e-01
         2   -2.1683102582e+00    5.0007256735e+00   -3.9270419682e+00    1.7587317100e+00    2.0786650661e+00    1.7953088221e+00   -7.9678717395e+00    1.6685588312e-01    2.5600000000e+04    1.5578704420e-01    8.5073730469e-01
         3   -2.1647968973e+00    4.9950262878e+00   -3.8902724954e+00    1.7254755981e+00    2.0723618347e+00    1.7953088221e+00   -7.9292234243e+00    1.7128027216e-01    2.5600000000e+04    1.5583099611e-01    8.5297363281e-01
         4   -2.1657237396e+00    5.1405980639e+00   -3.8960383659e+00    1.7303146263e+00    2.0757536660e+00    1.7953088221e+00   -7.9397492201e+00    1.7264836610e-01    2.5600000000e+04    1.5585521422e-01    8.5193847656e-01
         5   -2.1582087491e+00    5.0457332811e+00   -3.8800533266e+00    1.7218445775e+00    2.0847390899e+00    1.7953088221e+00   -7.9315009133e+00    1.7139967480e-01    2.5600000000e+04    1.5592534188e-01    8.5264892578e-01
         6   -2.1639573828e+00    5.0377490897e+00   -3.9119715657e+00    1.7480141829e+00    2.0874136475e+00    1.7953088221e+00   -7.9716830909e+00    1.7698905564e-01    2.5600000000e+04    1.5578734037e-01    8.5096557617e-01
         7   -2.1690617042e+00    5.0362854866e+00   -3.8903377881e+00    1.7212760839e+00    2.0710579944e+00    1.7953088221e+00   -7.9330506145e+00    1.7634600994e-01    2.5600000000e+04    1.5618061274e-01    8.5314453125e-01
         8   -2.1620249518e+00    4.9867542532e+00   -3.8824881293e+00    1.7204631775e+00    2.0788002016e+00    1.7953088221e+00   -7.9209513357e+00    1.6435418272e-01    2.5600000000e+04    1.5574873332e-01    8.5268554687e-01
         9   -2.1631194983e+00    5.0027276696e+00   -3.9106556630e+00    1.7475361647e+00    2.0864480163e+00    1.7953088221e+00   -7.9688922772e+00    1.7647977586e-01    2.5600000000e+04    1.5806778986e-01    8.5112792969e-01
        10   -2.1639089100e+00    4.9944433652e+00   -3.8809887072e+00    1.7170797973e+00    2.0703832823e+00    1.7953088221e+00   -7.9162699533e+00    1.6958914174e-01    2.5600000000e+04    1.5525943600e-01    8.5217773437e-01
        11   -2.1639285319e+00    5.0038332385e+00   -3.8931281480e+00    1.7291996161e+00    2.0774849560e+00    1.7953088221e+00   -7.9340537708e+00    1.6813184469e-01    2.5600000000e+04    1.5550701320e-01    8.5219726563e-01
        12   -2.1660527182e+00    5.0382327223e+00   -3.8996300061e+00    1.7335772879e+00    2.0750544632e+00    1.7953088221e+00   -7.9445137006e+00    1.7452040925e-01    2.5600000000e+04    1.5551408194e-01    8.5221801758e-01
        13   -2.1678606848e+00    4.9963663062e+00   -3.8972972932e+00    1.7294366084e+00    2.0754107582e+00    1.7953088221e+00   -7.9380726977e+00    1.7005582425e-01    2.5600000000e+04    1.5598258842e-01    8.5238037109e-01
        14   -2.1693398158e+00    5.0327990005e+00   -3.9133456395e+00    1.7440058237e+00    2.0739944098e+00    1.7953088221e+00   -7.9514895302e+00    1.6884065874e-01    2.5600000000e+04    1.5552228224e-01    8.5186157227e-01
        15   -2.1668675374e+00    4.9844433992e+00   -3.9097513443e+00    1.7428838069e+00    2.0760400158e+00    1.7953088221e+00   -7.9480552374e+00    1.6695505521e-01    2.5600000000e+04    1.5580840502e-01    8.5216430664e-01
        16   -2.1659403243e+00    4.9982512648e+00   -3.9049727167e+00    1.7390323924e+00    2.0763640774e+00    1.7953088221e+00   -7.9422311246e+00    1.6558550842e-01    2.5600000000e+04    1.5576363076e-01    8.5240844727e-01
        17   -2.1602477130e+00    5.0110448076e+00   -3.8756539112e+00    1.7154061982e+00    2.0791208806e+00    1.7953088221e+00   -7.9279975420e+00    1.7791392805e-01    2.5600000000e+04    1.5578931198e-01    8.5244384766e-01
        18   -2.1692897420e+00    5.0294813590e+00   -3.8900021621e+00    1.7207124201e+00    2.0674902087e+00    1.7953088221e+00   -7.9195902566e+00    1.6678906374e-01    2.5600000000e+04    1.5562166739e-01    8.5264160156e-01
        19   -2.1687933559e+00    4.9940530736e+00   -3.8951374909e+00    1.7263441350e+00    2.0708407652e+00    1.7953088221e+00   -7.9276402615e+00    1.6635318336e-01    2.5600000000e+04    1.5599214751e-01    8.5267944336e-01
        20   -2.1690810555e+00    5.0036567926e+00   -3.8987739531e+00    1.7296928976e+00    2.0699836207e+00    1.7953088221e+00   -7.9379228514e+00    1.7385645543e-01    2.5600000000e+04    1.5545110218e-01    8.5116577148e-01
        21   -2.1703232041e+00    5.0224725702e+00   -3.9018616870e+00    1.7315384829e+00    2.0705769120e+00    1.7953088221e+00   -7.9391319013e+00    1.7138448024e-01    2.5600000000e+04    1.5566409752e-01    8.5271484375e-01
        22   -2.1700106459e+00    5.0415484284e+00   -3.9334413383e+00    1.7634306924e+00    2.0738392494e+00    1.7953088221e+00   -7.9661785523e+00    1.6358914253e-01    2.5600000000e+04    1.5551986080e-01    8.5213256836e-01
        23   -2.1632285606e+00    5.0034292136e+00   -3.9052606797e+00    1.7420321190e+00    2.0789232255e+00    1.7953088221e+00   -7.9447272902e+00    1.6523456299e-01    2.5600000000e+04    1.5579944476e-01    8.5203491211e-01
        24   -2.1695901856e+00    5.0246480272e+00   -3.9082094136e+00    1.7386192280e+00    2.0694617643e+00    1.7953088221e+00   -7.9384014159e+00    1.6542141600e-01    2.5600000000e+04    1.5569679067e-01    8.5141601562e-01
        25   -2.1624089742e+00    5.0730881342e+00   -3.8913127589e+00    1.7289037847e+00    2.0788515286e+00    1.7953088221e+00   -7.9408428905e+00    1.7536978101e-01    2.5600000000e+04    1.5588996001e-01    8.5222900391e-01
        26   -2.1692857003e+00    5.0297712565e+00   -3.9156926628e+00    1.7464069626e+00    2.0738882048e+00    1.7953088221e+00   -7.9508922415e+00    1.6600255171e-01    2.5600000000e+04    1.5571231302e-01    8.5160766602e-01
        27   -2.1632591589e+00    5.1682662446e+00   -3.9069905365e+00    1.7437313776e+00    2.0811243489e+00    1.7953088221e+00   -7.9553049462e+00    1.7188123870e-01    2.5600000000e+04    1.5572925657e-01    8.5232666016e-01
        28   -2.1669161373e+00    5.0113588209e+00   -3.9230583684e+00    1.7561422311e+00    2.0790622041e+00    1.7953088221e+00   -7.9678227269e+00    1.7039333234e-01    2.5600000000e+04    1.5592718218e-01    8.5178100586e-01
        29   -2.1676923213e+00    5.0151429919e+00   -3.9019878058e+00    1.7342954845e+00    2.0766124651e+00    1.7953088221e+00   -7.9475263016e+00    1.7361720857e-01    2.5600000000e+04    1.5593331214e-01    8.5231079102e-01
        30   -2.1654001446e+00    5.1171894054e+00   -3.9075624285e+00    1.7421622839e+00    2.0781235777e+00    1.7953088221e+00   -7.9563812740e+00    1.7538644577e-01    2.5600000000e+04    1.5625483356e-01    8.5192749023e-01
        31   -2.1602789449e+00    5.0308305355e+00   -3.8883978391e+00    1.7281188942e+00    2.0777268401e+00    1.7953088221e+00   -7.9314520077e+00    1.7001850641e-01    2.5600000000e+04    1.5603672992e-01    8.5218750000e-01
        32   -2.1657525456e+00    4.9807758853e+00   -3.8988302449e+00    1.7330776993e+00    2.0781568196e+00    1.7953088221e+00   -7.9469617190e+00    1.7466583237e-01    2.5600000000e+04    1.5620917361e-01    8.5191284180e-01
        33   -2.1620760075e+00    5.0353595250e+00   -3.8944487920e+00    1.7323727845e+00    2.0767474245e+00    1.7953088221e+00   -7.9306095868e+00    1.6410454819e-01    2.5600000000e+04    1.5607460309e-01    8.5250732422e-01
        34   -2.1574154590e+00    5.2358019369e+00   -3.8909210510e+00    1.7335055920e+00    2.0830587259e+00    1.7953088221e+00   -7.9432073712e+00    1.7391877221e-01    2.5600000000e+04    1.5607026778e-01    8.5245605469e-01
        35   -2.1587224417e+00    5.0596641848e+00   -3.8993083637e+00    1.7405859220e+00    2.0845385998e+00    1.7953088221e+00   -7.9521036324e+00    1.7294784688e-01    2.5600000000e+04    1.5610973351e-01    8.5150512695e-01
        36   -2.1657265667e+00    4.9914880891e+00   -3.9007651264e+00    1.7350385598e+00    2.0803361875e+00    1.7953088221e+00   -7.9553174114e+00    1.7890727540e-01    2.5600000000e+04    1.5637335368e-01    8.5109130859e-01
        37   -2.1655001155e+00    5.1977863487e+00   -3.9011639920e+00    1.7356638764e+00    2.0792785500e+00    1.7953088221e+00   -7.9472124252e+00    1.7146106115e-01    2.5600000000e+04    1.5606010519e-01    8.5181030273e-01
        38   -2.1715785669e+00    5.0408652108e+00   -3.8942577584e+00    1.7226791914e+00    2.0659182736e+00    1.7953088221e+00   -7.9253865425e+00    1.6990168849e-01    2.5600000000e+04    1.5581786074e-01    8.5261962891e-01
        39   -2.1638325707e+00    5.0282122205e+00   -3.8938548225e+00    1.7300222518e+00    2.0772222812e+00    1.7953088221e+00   -7.9370202254e+00    1.7063429965e-01    2.5600000000e+04    1.5583396610e-01    8.5260864258e-01
        40   -2.1610621117e+00    5.0005324793e+00   -3.8916285734e+00    1.7305664617e+00    2.0789893026e+00    1.7953088221e+00   -7.9401948728e+00    1.7426817478e-01    2.5600000000e+04    1.5576125123e-01    8.5217163086e-01
        41   -2.1644036717e+00    4.9954316237e+00   -3.9173767587e+00    1.7529730870e+00    2.0893278763e+00    1.7953088221e+00   -7.9816868038e+00    1.7967334678e-01    2.5600000000e+04    1.5608827490e-01    8.5131347656e-01
