# Index          LocalEnergy            Variance              Weight        NumOfWalkers      AvgSentWalkers         TrialEnergy             DiffEff      LivingFraction
         0   -2.2185684992e+00    1.3728543247e-02    1.3060000000e+04    1.3056000000e+04    0.0000000000e+00   -2.2217592984e+00    9.9627077749e-01    9.9961703431e-01
         1   -2.2164028679e+00    1.6610278184e-02    1.3051359336e+04    1.3056000000e+04    0.0000000000e+00   -2.2338847805e+00    9.9602491961e-01    9.9816176471e-01
         2   -2.2160071035e+00    1.8437195535e-02    1.3055922513e+04    1.3049000000e+04    9.3750000000e-01   -2.1895880808e+00    9.9513570956e-01    9.9946356043e-01
         3   -2.2178370537e+00    1.8649789037e-02    1.3056265530e+04    1.3063000000e+04    6.2500000000e-01   -2.2428075177e+00    9.9470984690e-01    9.9900482278e-01
         4   -2.2210835083e+00    2.7928876425e-02    1.3056420022e+04    1.3059000000e+04    4.3750000000e-01   -2.2293247045e+00    9.9510911555e-01    9.9931082012e-01
         5   -2.2207689682e+00    2.0279675594e-02    1.3055956154e+04    1.3059000000e+04    4.3750000000e-01   -2.2325711592e+00    9.9502491632e-01    9.9885136687e-01
         6   -2.2219410730e+00    1.9714358284e-02    1.3056111090e+04    1.3048000000e+04    4.3750000000e-01   -2.1901223230e+00    9.9521249006e-01    9.9938687922e-01
         7   -2.2248438279e+00    2.2100936875e-02    1.3056345852e+04    1.3053000000e+04    3.1250000000e-01   -2.2104507822e+00    9.9519162974e-01    9.9900406037e-01
         8   -2.2274521562e+00    2.8910158541e-02    1.3056298789e+04    1.3050000000e+04    5.6250000000e-01   -2.2018606052e+00    9.9511157881e-01    9.9938697318e-01
         9   -2.2275909060e+00    2.4723079978e-02    1.3056044970e+04    1.3052000000e+04    3.7500000000e-01   -2.2121311817e+00    9.9510224113e-01    9.9931045051e-01
        10   -2.2284867122e+00    2.0236066535e-02    1.3056108829e+04    1.3055000000e+04    5.0000000000e-01   -2.2237611025e+00    9.9492261312e-01    9.9900421295e-01
        11   -2.2293914194e+00    1.8130037037e-02    1.3056132109e+04    1.3055000000e+04    5.0000000000e-01   -2.2246569086e+00    9.9492636472e-01    9.9915741095e-01
        12   -2.2305354579e+00    1.8050930726e-02    1.3056126133e+04    1.3053000000e+04    3.1250000000e-01   -2.2179011286e+00    9.9572368005e-01    9.9931050333e-01
        13   -2.2299140612e+00    2.0045905136e-02    1.3055925555e+04    1.3056000000e+04    5.6250000000e-01   -2.2305354579e+00    9.9509033715e-01    9.9931066176e-01
        14   -2.2309440019e+00    1.7758696309e-02    1.3056119015e+04    1.3057000000e+04    3.7500000000e-01   -2.2337435714e+00    9.9549108705e-01    9.9885119093e-01
        15   -2.2324073296e+00    1.8326987281e-02    1.3056200274e+04    1.3054000000e+04    6.8750000000e-01   -2.2232841014e+00    9.9551981193e-01    9.9931055615e-01
        16   -2.2315351797e+00    1.8781724603e-02    1.3055854614e+04    1.3053000000e+04    3.1250000000e-01   -2.2209170389e+00    9.9596990969e-01    9.9900406037e-01
        17   -2.2319237868e+00    1.7666850387e-02    1.3056066052e+04    1.3056000000e+04    5.6250000000e-01   -2.2315351797e+00    9.9546627526e-01    9.9900428922e-01
        18   -2.2335226377e+00    1.9079599939e-02    1.3056234298e+04    1.3059000000e+04    3.7500000000e-01   -2.2434114376e+00    9.9565940963e-01    9.9915766904e-01
        19   -2.2344331588e+00    1.8202740292e-02    1.3056130345e+04    1.3061000000e+04    5.0000000000e-01   -2.2526672564e+00    9.9534723257e-01    9.9892810658e-01
        20   -2.2352239498e+00    1.8866049222e-02    1.3056112366e+04    1.3058000000e+04    5.0000000000e-01   -2.2420918859e+00    9.9541420720e-01    9.9885127891e-01
        21   -2.2361315820e+00    1.6887753410e-02    1.3056128935e+04    1.3058000000e+04    6.8750000000e-01   -2.2428826769e+00    9.9488073970e-01    9.9915760453e-01
        22   -2.2378824937e+00    1.7914744856e-02    1.3056246748e+04    1.3058000000e+04    3.1250000000e-01   -2.2437903092e+00    9.9527481778e-01    9.9877469750e-01
        23   -2.2373945964e+00    1.8278563705e-02    1.3055928991e+04    1.3051000000e+04    5.0000000000e-01   -2.2187305419e+00    9.9618416462e-01    9.9984675504e-01
        24   -2.2364350672e+00    1.9873767126e-02    1.3055908550e+04    1.3066000000e+04    3.1250000000e-01   -2.2756765062e+00    9.9576487953e-01    9.9877544773e-01
        25   -2.2383389483e+00    1.8766486503e-02    1.3056253954e+04    1.3061000000e+04    4.3750000000e-01   -2.2555796859e+00    9.9620831432e-01    9.9877497894e-01
        26   -2.2389706040e+00    1.8515595188e-02    1.3056084509e+04    1.3054000000e+04    4.3750000000e-01   -2.2306790478e+00    9.9567211932e-01    9.9938716102e-01
        27   -2.2378751407e+00    1.6933799792e-02    1.3055861218e+04    1.3059000000e+04    3.1250000000e-01   -2.2504582548e+00    9.9531260406e-01    9.9885136687e-01
        28   -2.2372159627e+00    2.0277760689e-02    1.3055908318e+04    1.3055000000e+04    5.0000000000e-01   -2.2340453372e+00    9.9628564274e-01    9.9908081195e-01
        29   -2.2379957450e+00    1.7269653983e-02    1.3056117513e+04    1.3056000000e+04    3.7500000000e-01   -2.2372159627e+00    9.9588227149e-01    9.9931066176e-01
        30   -2.2374685392e+00    1.7993255303e-02    1.3055903293e+04    1.3052000000e+04    3.7500000000e-01   -2.2226747705e+00    9.9594022920e-01    9.9961691695e-01
        31   -2.2383288448e+00    2.2295234817e-02    1.3056128266e+04    1.3063000000e+04    3.7500000000e-01   -2.2642689534e+00    9.9533846799e-01    9.9915792697e-01
        32   -2.2380488094e+00    2.0656488749e-02    1.3055995194e+04    1.3062000000e+04    3.1250000000e-01   -2.2613015077e+00    9.9581528474e-01    9.9923442046e-01
        33   -2.2396247439e+00    2.0064255734e-02    1.3056206711e+04    1.3060000000e+04    2.5000000000e-01   -2.2533650907e+00    9.9567326521e-01    9.9862174579e-01
        34   -2.2401238208e+00    2.7842590752e-02    1.3056090621e+04    1.3054000000e+04    5.0000000000e-01   -2.2319648435e+00    9.9504311104e-01    9.9923395128e-01
        35   -2.2395621199e+00    2.1060585432e-02    1.3055921012e+04    1.3058000000e+04    5.0000000000e-01   -2.2477825479e+00    9.9501659772e-01    9.9877469750e-01
        36   -2.2404874287e+00    1.7445773092e-02    1.3056142992e+04    1.3055000000e+04    4.3750000000e-01   -2.2357323164e+00    9.9579762250e-01    9.9923400996e-01
        37   -2.2402033040e+00    1.8437474254e-02    1.3055941905e+04    1.3053000000e+04    5.0000000000e-01   -2.2289971379e+00    9.9556153585e-01    9.9908067111e-01
        38   -2.2393924584e+00    1.7752935923e-02    1.3055894381e+04    1.3054000000e+04    5.0000000000e-01   -2.2325434036e+00    9.9561778724e-01    9.9931055615e-01
        39   -2.2407676758e+00    1.8777811479e-02    1.3056167676e+04    1.3057000000e+04    5.6250000000e-01   -2.2432219686e+00    9.9576281393e-01    9.9892777820e-01
        40   -2.2412685129e+00    1.9692439793e-02    1.3056045983e+04    1.3054000000e+04    4.3750000000e-01   -2.2331077753e+00    9.9557458190e-01    9.9938716102e-01
        41   -2.2405540990e+00    2.4060247545e-02    1.3055898781e+04    1.3059000000e+04    5.0000000000e-01   -2.2527561637e+00    9.9606171431e-01    9.9862164025e-01
        42   -2.2417076490e+00    2.7465066489e-02    1.3056126479e+04    1.3050000000e+04    5.0000000000e-01   -2.2175708763e+00    9.9540499758e-01    9.9938697318e-01
        43   -2.2420073579e+00    2.1156295950e-02    1.3056031838e+04    1.3058000000e+04    5.0000000000e-01   -2.2493663761e+00    9.9649467186e-01    9.9900444172e-01
