#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            LocalECP            NonLocalECP         IonIon              BlockWeight         BlockCPU            AcceptRatio         
         0   -1.2102294848e+01    1.7965891276e+02   -3.2442591421e+01    2.0340296573e+01    4.6719555694e+00   -1.2525979262e+01   -2.6383876551e+01    1.7953088221e+00    1.3144760000e+06    3.1375018120e+01    9.7714988408e-01
         1   -1.3080407472e+01    2.0438938553e+02   -3.4187927379e+01    2.1107519907e+01    4.8461549338e+00   -1.2814689217e+01   -2.8014701917e+01    1.7953088221e+00    1.3013050000e+06    3.0658902153e+01    9.7613841828e-01
         2   -1.3371557066e+01    2.1322330420e+02   -3.4508314736e+01    2.1136757670e+01    4.8993174516e+00   -1.2825313225e+01   -2.8377627785e+01    1.7953088221e+00    1.3240680000e+06    3.1278257936e+01    9.7605574993e-01
         3   -1.3718075841e+01    2.2467289377e+02   -3.4982664826e+01    2.1264588984e+01    4.9599207324e+00   -1.2870567168e+01   -2.8867327212e+01    1.7953088221e+00    1.4206980000e+06    3.3729843140e+01    9.7583432685e-01
         4   -1.3797753292e+01    2.2693632835e+02   -3.5043503546e+01    2.1245750254e+01    4.9832308118e+00   -1.2875361392e+01   -2.8946681788e+01    1.7953088221e+00    1.4095140000e+06    3.3527961761e+01    9.7582581573e-01
         5   -1.3729182212e+01    2.2496532472e+02   -3.4999501677e+01    2.1270319466e+01    4.9762726083e+00   -1.2883646900e+01   -2.8887436208e+01    1.7953088221e+00    1.3914730000e+06    3.3222639903e+01    9.7581307844e-01
         6   -1.3772825324e+01    2.2619914123e+02   -3.5116294457e+01    2.1343469133e+01    4.9620604278e+00   -1.2875553413e+01   -2.8998110294e+01    1.7953088221e+00    1.3626650000e+06    3.2428675056e+01    9.7571825829e-01
         7   -1.3793558910e+01    2.2669614010e+02   -3.5156036800e+01    2.1362477891e+01    4.9633573993e+00   -1.2887577619e+01   -2.9027125402e+01    1.7953088221e+00    1.3703540000e+06    3.2440770507e+01    9.7573883526e-01
         8   -1.3743349421e+01    2.2522904236e+02   -3.5031015448e+01    2.1287666027e+01    4.9581111285e+00   -1.2869607831e+01   -2.8914827568e+01    1.7953088221e+00    1.3573650000e+06    3.2119376421e+01    9.7576198525e-01
         9   -1.3798685828e+01    2.2695938569e+02   -3.5143049709e+01    2.1344363881e+01    4.9710058168e+00   -1.2881095015e+01   -2.9028269333e+01    1.7953088221e+00    1.3574690000e+06    3.2132255003e+01    9.7563807161e-01
        10   -1.3732321241e+01    2.2487818370e+02   -3.5099442217e+01    2.1367120976e+01    4.9373500552e+00   -1.2861035868e+01   -2.8971065226e+01    1.7953088221e+00    1.3527140000e+06    3.1955528617e+01    9.7577361613e-01
        11   -1.3726865547e+01    2.2498951251e+02   -3.4986182568e+01    2.1259317021e+01    4.9549372005e+00   -1.2847916258e+01   -2.8888512333e+01    1.7953088221e+00    1.2953600000e+06    3.0703813940e+01    9.7582154380e-01
        12   -1.3765994659e+01    2.2601372055e+02   -3.5055723230e+01    2.1289728571e+01    4.9666654942e+00   -1.2864141127e+01   -2.8953556419e+01    1.7953088221e+00    1.2915110000e+06    3.0672896311e+01    9.7583410780e-01
        13   -1.3797537531e+01    2.2705699417e+02   -3.5121269361e+01    2.1323731829e+01    4.9675690626e+00   -1.2875883115e+01   -2.9008264130e+01    1.7953088221e+00    1.3304850000e+06    3.1541539490e+01    9.7573193719e-01
        14   -1.3820933674e+01    2.2769993522e+02   -3.5114830131e+01    2.1293896457e+01    4.9522502142e+00   -1.2849420537e+01   -2.9012968631e+01    1.7953088221e+00    1.3600110000e+06    3.2149761096e+01    9.7582679194e-01
        15   -1.3811705951e+01    2.2752495695e+02   -3.5066761143e+01    2.1255055191e+01    4.9524114669e+00   -1.2848195205e+01   -2.8966286226e+01    1.7953088221e+00    1.3519780000e+06    3.2003289461e+01    9.7578625707e-01
        16   -1.3789025500e+01    2.2662415687e+02   -3.5101815493e+01    2.1312789993e+01    4.9733691690e+00   -1.2879790127e+01   -2.8990703357e+01    1.7953088221e+00    1.3674980000e+06    3.2533111751e+01    9.7576402387e-01
        17   -1.3727644000e+01    2.2519248257e+02   -3.5011392684e+01    2.1283748683e+01    4.9705200500e+00   -1.2860413762e+01   -2.8916807794e+01    1.7953088221e+00    1.2974650000e+06    3.0923454121e+01    9.7579413849e-01
        18   -1.3775765898e+01    2.2601263268e+02   -3.5066535237e+01    2.1290769339e+01    4.9797499044e+00   -1.2893877113e+01   -2.8947716851e+01    1.7953088221e+00    1.3015120000e+06    3.0977770120e+01    9.7581490000e-01
        19   -1.3789140612e+01    2.2700559806e+02   -3.5068981735e+01    2.1279841123e+01    4.9648822277e+00   -1.2861452239e+01   -2.8967720546e+01    1.7953088221e+00    1.3466170000e+06    3.1983329624e+01    9.7571494187e-01
