#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            LocalECP            NonLocalECP         IonIon              BlockWeight         BlockCPU            AcceptRatio         
         0   -2.2417145108e+00    5.0384025356e+00   -3.9409844754e+00    1.6992699647e+00    1.9498978337e+00   -7.8172061467e+00    1.3101501548e-01    1.7953088221e+00    3.2000000000e+02    8.1565380096e-03    7.0078125000e-01
         1   -2.2396131439e+00    5.0441197017e+00   -4.0165159904e+00    1.7769028465e+00    1.9895245850e+00   -8.0155312034e+00    2.1418180595e-01    1.7953088221e+00    3.2000000000e+02    8.1406831741e-03    7.0039062500e-01
         2   -2.2540262851e+00    5.1011595142e+00   -4.2332196449e+00    1.9791933598e+00    1.8923999430e+00   -8.1200706658e+00    1.9914225588e-01    1.7953088221e+00    3.2000000000e+02    7.8628361225e-03    6.9023437500e-01
         3   -2.2444497058e+00    5.0656166741e+00   -3.7715522421e+00    1.5271025363e+00    1.9136399641e+00   -7.6580083509e+00    1.7750732273e-01    1.7953088221e+00    3.2000000000e+02    8.1255584955e-03    7.1171875000e-01
         4   -2.2385125795e+00    5.0256462623e+00   -3.8256319325e+00    1.5871193530e+00    1.9545986881e+00   -7.7620263803e+00    1.8648693758e-01    1.7953088221e+00    3.2000000000e+02    8.1208944321e-03    7.1093750000e-01
         5   -2.2493825775e+00    5.0811559204e+00   -4.2257963953e+00    1.9764138178e+00    1.9562325544e+00   -8.1589708687e+00    1.8163309689e-01    1.7953088221e+00    3.2000000000e+02    8.0085098743e-03    6.9804687500e-01
         6   -2.2417473201e+00    5.0556870398e+00   -4.1833688002e+00    1.9416214801e+00    1.9783269435e+00   -8.1613267994e+00    2.0432223364e-01    1.7953088221e+00    3.2000000000e+02    8.0076158047e-03    6.8984375000e-01
         7   -2.2349772591e+00    5.0067010335e+00   -4.2415589954e+00    2.0065817363e+00    1.9860563205e+00   -8.1982038720e+00    1.7527973405e-01    1.7953088221e+00    3.2000000000e+02    8.1724524498e-03    6.8632812500e-01
         8   -2.2139877690e+00    4.9154869381e+00   -3.8434773033e+00    1.6294895343e+00    1.8831036452e+00   -7.7454279464e+00    2.2353817581e-01    1.7953088221e+00    3.2000000000e+02    7.8353732824e-03    7.2304687500e-01
         9   -2.2384231785e+00    5.0252696146e+00   -4.3728176206e+00    2.1343944421e+00    1.9759356282e+00   -8.3123744250e+00    1.6831235421e-01    1.7953088221e+00    3.2000000000e+02    7.9662948847e-03    6.9335937500e-01
        10   -2.2247108676e+00    4.9678718604e+00   -4.0120867323e+00    1.7873758647e+00    1.9413561545e+00   -7.9672411813e+00    2.1848947235e-01    1.7953088221e+00    3.2000000000e+02    8.0514550209e-03    7.0234375000e-01
        11   -2.2201543896e+00    4.9624939756e+00   -4.0224690215e+00    1.8023146319e+00    1.9643163800e+00   -8.0282150244e+00    2.4612080087e-01    1.7953088221e+00    3.2000000000e+02    8.0326199532e-03    7.0546875000e-01
        12   -2.2403392212e+00    5.0517943070e+00   -4.2290530828e+00    1.9887138616e+00    2.0066391500e+00   -8.2431945377e+00    2.1219348284e-01    1.7953088221e+00    3.2000000000e+02    8.1623494625e-03    6.7617187500e-01
