# Index          LocalEnergy            Variance              Weight        NumOfWalkers      AvgSentWalkers         TrialEnergy             DiffEff      LivingFraction
         0   -2.1994423372e+00    3.1345340124e-02    1.3058000000e+04    1.3056000000e+04    0.0000000000e+00   -2.1782646443e+00    9.9439817171e-01    9.9946384804e-01
         1   -2.2111642421e+00    3.4250709008e-02    1.3058332031e+04    1.3056000000e+04    0.0000000000e+00   -2.2071010643e+00    9.9467041883e-01    9.9839154412e-01
         2   -2.2157285451e+00    3.5605483327e-02    1.3056544953e+04    1.3055000000e+04    7.5000000000e-01   -2.2073344386e+00    9.9435548861e-01    9.9938720797e-01
         3   -2.2204027595e+00    3.9456795832e-02    1.3056636654e+04    1.3067000000e+04    6.8750000000e-01   -2.2578370344e+00    9.9494396213e-01    9.9923471340e-01
         4   -2.2224167270e+00    2.8454508644e-02    1.3056265706e+04    1.3065000000e+04    4.3750000000e-01   -2.2548577970e+00    9.9479692225e-01    9.9908151550e-01
         5   -2.2267124725e+00    3.4674817170e-02    1.3056533173e+04    1.3059000000e+04    5.6250000000e-01   -2.2339043778e+00    9.9540030390e-01    9.9846848916e-01
         6   -2.2254791597e+00    3.0034123967e-02    1.3055818004e+04    1.3051000000e+04    6.8750000000e-01   -2.2075605206e+00    9.9552809048e-01    9.9938702015e-01
         7   -2.2263934268e+00    3.0479089106e-02    1.3056140300e+04    1.3059000000e+04    4.3750000000e-01   -2.2369668105e+00    9.9577359428e-01    9.9931082012e-01
         8   -2.2291694958e+00    3.3985838589e-02    1.3056413900e+04    1.3065000000e+04    6.2500000000e-01   -2.2608484644e+00    9.9508905624e-01    9.9877535400e-01
         9   -2.2318673195e+00    4.2689790394e-02    1.3056309806e+04    1.3055000000e+04    5.0000000000e-01   -2.2253396923e+00    9.9555659536e-01    9.9923400996e-01
        10   -2.2319840868e+00    2.5730375933e-02    1.3056077029e+04    1.3056000000e+04    3.7500000000e-01   -2.2318673195e+00    9.9496446407e-01    9.9931066176e-01
        11   -2.2312012348e+00    2.4375291811e-02    1.3055895615e+04    1.3058000000e+04    4.3750000000e-01   -2.2396428139e+00    9.9546603574e-01    9.9900444172e-01
        12   -2.2322674075e+00    2.7363528601e-02    1.3056124846e+04    1.3057000000e+04    5.0000000000e-01   -2.2350307450e+00    9.9485596661e-01    9.9923412729e-01
        13   -2.2304337388e+00    2.3541168504e-02    1.3055752278e+04    1.3056000000e+04    3.1250000000e-01   -2.2322674075e+00    9.9555142943e-01    9.9908088235e-01
        14   -2.2328613724e+00    3.1542714321e-02    1.3056265166e+04    1.3052000000e+04    4.3750000000e-01   -2.2151127643e+00    9.9520890572e-01    9.9961691695e-01
        15   -2.2336131951e+00    2.5213644242e-02    1.3056121996e+04    1.3058000000e+04    3.1250000000e-01   -2.2405200995e+00    9.9549646611e-01    9.9938734875e-01
        16   -2.2333389434e+00    3.2242279419e-02    1.3055956290e+04    1.3060000000e+04    3.7500000000e-01   -2.2489294765e+00    9.9451292634e-01    9.9931087289e-01
        17   -2.2325763502e+00    2.3621123013e-02    1.3055872100e+04    1.3059000000e+04    4.3750000000e-01   -2.2448265942e+00    9.9508421086e-01    9.9946397121e-01
        18   -2.2324253400e+00    2.2234042751e-02    1.3056064346e+04    1.3063000000e+04    3.1250000000e-01   -2.2593767644e+00    9.9448715642e-01    9.9938758325e-01
        19   -2.2317680566e+00    2.2196245895e-02    1.3055949353e+04    1.3065000000e+04    5.0000000000e-01   -2.2668803775e+00    9.9558212752e-01    9.9900497512e-01
        20   -2.2336951361e+00    2.1188623675e-02    1.3056276833e+04    1.3061000000e+04    3.7500000000e-01   -2.2509126753e+00    9.9523785069e-01    9.9954061710e-01
        21   -2.2327634703e+00    2.6926377091e-02    1.3055944535e+04    1.3066000000e+04    5.0000000000e-01   -2.2719770459e+00    9.9550555692e-01    9.9846930966e-01
        22   -2.2323662480e+00    2.5274016783e-02    1.3055908967e+04    1.3050000000e+04    4.3750000000e-01   -2.2097802476e+00    9.9509051816e-01    9.9946360153e-01
        23   -2.2337321245e+00    2.3708049256e-02    1.3056154541e+04    1.3053000000e+04    3.7500000000e-01   -2.2208759573e+00    9.9559252675e-01    9.9946372481e-01
        24   -2.2360740884e+00    2.6664319353e-02    1.3056297598e+04    1.3057000000e+04    4.3750000000e-01   -2.2375616347e+00    9.9574994549e-01    9.9892777820e-01
        25   -2.2358413055e+00    2.5967801026e-02    1.3055983205e+04    1.3052000000e+04    5.0000000000e-01   -2.2207531139e+00    9.9489627992e-01    9.9931045051e-01
        26   -2.2350694423e+00    2.5676344263e-02    1.3055912709e+04    1.3057000000e+04    3.7500000000e-01   -2.2396708157e+00    9.9499002964e-01    9.9923412729e-01
        27   -2.2369765702e+00    2.6423501426e-02    1.3056242365e+04    1.3057000000e+04    4.3750000000e-01   -2.2388989526e+00    9.9479598314e-01    9.9877460366e-01
        28   -2.2374523373e+00    2.9546012209e-02    1.3056080369e+04    1.3051000000e+04    2.5000000000e-01   -2.2178246184e+00    9.9560160665e-01    9.9938702015e-01
        29   -2.2359307920e+00    2.7488988560e-02    1.3055803884e+04    1.3056000000e+04    2.5000000000e-01   -2.2374523373e+00    9.9631726530e-01    9.9946384804e-01
        30   -2.2376320191e+00    3.2697783985e-02    1.3056216576e+04    1.3062000000e+04    3.1250000000e-01   -2.2589034549e+00    9.9484869291e-01    9.9915786250e-01
        31   -2.2399445754e+00    3.4533126787e-02    1.3056354965e+04    1.3061000000e+04    3.1250000000e-01   -2.2567766378e+00    9.9488133709e-01    9.9862185131e-01
        32   -2.2402171302e+00    3.7456243671e-02    1.3056099523e+04    1.3057000000e+04    3.7500000000e-01   -2.2437740856e+00    9.9506306748e-01    9.9869801639e-01
        33   -2.2418161055e+00    3.8529115706e-02    1.3056190967e+04    1.3052000000e+04    5.6250000000e-01   -2.2248961556e+00    9.9563178247e-01    9.9938706712e-01
        34   -2.2415953156e+00    3.9187377544e-02    1.3056059658e+04    1.3064000000e+04    4.3750000000e-01   -2.2724439779e+00    9.9484796037e-01    9.9823943662e-01
        35   -2.2425651311e+00    3.9927495970e-02    1.3056214814e+04    1.3048000000e+04    4.3750000000e-01   -2.2109486705e+00    9.9545641741e-01    9.9961679951e-01
        36   -2.2425965162e+00    4.0171729648e-02    1.3056077692e+04    1.3061000000e+04    5.0000000000e-01   -2.2617097498e+00    9.9490282293e-01    9.9908123421e-01
        37   -2.2401719684e+00    3.7329927110e-02    1.3055783148e+04    1.3057000000e+04    4.3750000000e-01   -2.2464260264e+00    9.9481264658e-01    9.9915754002e-01
        38   -2.2412288906e+00    3.1132215596e-02    1.3056108083e+04    1.3056000000e+04    3.7500000000e-01   -2.2401719684e+00    9.9547416770e-01    9.9877450980e-01
        39   -2.2401531348e+00    2.5785175859e-02    1.3055813872e+04    1.3052000000e+04    3.1250000000e-01   -2.2259079161e+00    9.9553323880e-01    9.9938706712e-01
        40   -2.2376767412e+00    2.9372649949e-02    1.3055592650e+04    1.3048000000e+04    3.7500000000e-01   -2.2095064897e+00    9.9600341937e-01    9.9938687922e-01
        41   -2.2369757119e+00    3.3081288985e-02    1.3055957860e+04    1.3061000000e+04    3.7500000000e-01   -2.2568213598e+00    9.9547562630e-01    9.9846872368e-01
        42   -2.2379820486e+00    2.5245161228e-02    1.3056101508e+04    1.3053000000e+04    5.6250000000e-01   -2.2254854211e+00    9.9441323029e-01    9.9954033556e-01
        43   -2.2383604480e+00    2.4391150485e-02    1.3056073778e+04    1.3060000000e+04    3.7500000000e-01   -2.2532983300e+00    9.9608407621e-01    9.9900459418e-01
        44   -2.2382904041e+00    2.4715604141e-02    1.3055973105e+04    1.3055000000e+04    5.0000000000e-01   -2.2345306444e+00    9.9513191502e-01    9.9969360398e-01
        45   -2.2388095171e+00    2.5738566508e-02    1.3056062193e+04    1.3058000000e+04    3.1250000000e-01   -2.2459491312e+00    9.9498692275e-01    9.9931076735e-01
        46   -2.2381972383e+00    2.5999193697e-02    1.3055974536e+04    1.3059000000e+04    3.7500000000e-01   -2.2502971679e+00    9.9506036843e-01    9.9846848916e-01
        47   -2.2410906061e+00    3.2130489177e-02    1.3056368806e+04    1.3047000000e+04    6.2500000000e-01   -2.2037184414e+00    9.9603216043e-01    9.9946347819e-01
        48   -2.2415163547e+00    2.9817322876e-02    1.3056052055e+04    1.3059000000e+04    6.2500000000e-01   -2.2525782569e+00    9.9534074293e-01    9.9938739567e-01
        49   -2.2404222489e+00    2.3677414352e-02    1.3055884770e+04    1.3062000000e+04    3.7500000000e-01   -2.2644890177e+00    9.9467080348e-01    9.9900474659e-01
        50   -2.2392136117e+00    2.2232873305e-02    1.3055816752e+04    1.3055000000e+04    3.7500000000e-01   -2.2365924453e+00    9.9464956645e-01    9.9931060896e-01
        51   -2.2398962714e+00    2.3294393615e-02    1.3056098955e+04    1.3056000000e+04    4.3750000000e-01   -2.2392136117e+00    9.9548912546e-01    9.9862132353e-01
        52   -2.2393105822e+00    2.1035370401e-02    1.3055875058e+04    1.3044000000e+04    4.3750000000e-01   -2.1939192566e+00    9.9599888130e-01    9.9961668200e-01
        53   -2.2397541239e+00    3.0550983850e-02    1.3056013385e+04    1.3052000000e+04    3.1250000000e-01   -2.2239896077e+00    9.9549577291e-01    9.9846766779e-01
        54   -2.2384228970e+00    2.6608995086e-02    1.3055758868e+04    1.3041000000e+04    5.0000000000e-01   -2.1822762466e+00    9.9600248268e-01    9.9930986888e-01
        55   -2.2413156166e+00    2.8876751270e-02    1.3056417276e+04    1.3062000000e+04    3.7500000000e-01   -2.2613955600e+00    9.9518195024e-01    9.9877507273e-01
