#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            LocalECP            NonLocalECP         IonIon              BlockWeight         BlockCPU            AcceptRatio         
         0   -2.2415297790e+00    5.0545622506e+00   -4.0646145233e+00    1.8230847443e+00    1.9532647389e+00   -7.9968556356e+00    1.8366755133e-01    1.7953088221e+00    2.1760000000e+04    8.8342386572e-03    5.7809053309e-01
         1   -2.2398096691e+00    5.0445011433e+00   -4.0795573894e+00    1.8397477203e+00    1.9478708685e+00   -8.0037655738e+00    1.8102849377e-01    1.7953088221e+00    2.1760000000e+04    8.1578758271e-03    5.8089958640e-01
         2   -2.2390114945e+00    5.0421745596e+00   -4.0457706239e+00    1.8067591295e+00    1.9481116304e+00   -7.9788286242e+00    1.8963754778e-01    1.7953088221e+00    2.1760000000e+04    8.0011909937e-03    5.8309397978e-01
         3   -2.2409676570e+00    5.0532156299e+00   -4.0791813741e+00    1.8382137171e+00    1.9522815574e+00   -8.0158734611e+00    1.8910170746e-01    1.7953088221e+00    2.1760000000e+04    7.9531842733e-03    5.7920496324e-01
         4   -2.2385938517e+00    5.0356025154e+00   -4.0708366072e+00    1.8322427554e+00    1.9542269487e+00   -8.0115476355e+00    1.9117525763e-01    1.7953088221e+00    2.1760000000e+04    7.9352476579e-03    5.8189912684e-01
         5   -2.2389073802e+00    5.0457308438e+00   -4.0515700691e+00    1.8126626889e+00    1.9437766996e+00   -7.9837911840e+00    1.9313559323e-01    1.7953088221e+00    2.1760000000e+04    7.8774272081e-03    5.8195657169e-01
         6   -2.2408705369e+00    5.0470898601e+00   -4.0388798698e+00    1.7980093329e+00    1.9474884228e+00   -7.9627198319e+00    1.8104271720e-01    1.7953088221e+00    2.1760000000e+04    7.8867779059e-03    5.8412224265e-01
         7   -2.2378018225e+00    5.0375307961e+00   -4.0977821696e+00    1.8599803471e+00    1.9481026138e+00   -8.0262314605e+00    1.8503785506e-01    1.7953088221e+00    2.1760000000e+04    7.8840433236e-03    5.8065831801e-01
         8   -2.2410251118e+00    5.0510195682e+00   -4.0621893403e+00    1.8211642286e+00    1.9471747427e+00   -7.9953258372e+00    1.9065293204e-01    1.7953088221e+00    2.1760000000e+04    7.8804030576e-03    5.8158318015e-01
         9   -2.2402913416e+00    5.0450489191e+00   -4.0964990506e+00    1.8562077090e+00    1.9434427488e+00   -8.0297607184e+00    1.9451009694e-01    1.7953088221e+00    2.1760000000e+04    7.8710543320e-03    5.8222656250e-01
        10   -2.2412086643e+00    5.0495263324e+00   -4.0312858901e+00    1.7900772258e+00    1.9399405233e+00   -7.9425122322e+00    1.7597699675e-01    1.7953088221e+00    2.1760000000e+04    7.8722133356e-03    5.8408777574e-01
        11   -2.2432483874e+00    5.0630103615e+00   -4.0407373460e+00    1.7974889587e+00    1.9476846477e+00   -7.9622531756e+00    1.7852235982e-01    1.7953088221e+00    2.1760000000e+04    7.8901554293e-03    5.8593175551e-01
        12   -2.2405381401e+00    5.0488451497e+00   -4.1094009582e+00    1.8688628181e+00    1.9487281202e+00   -8.0384318850e+00    1.8499398460e-01    1.7953088221e+00    2.1760000000e+04    7.8471973538e-03    5.7978515625e-01
        13   -2.2382585829e+00    5.0367150309e+00   -4.0320250928e+00    1.7937665099e+00    1.9428445048e+00   -7.9411550504e+00    1.7097663071e-01    1.7953088221e+00    2.1760000000e+04    7.8581586918e-03    5.8353056066e-01
        14   -2.2414497204e+00    5.0492880491e+00   -4.0456705711e+00    1.8042208507e+00    1.9360599275e+00   -7.9591566823e+00    1.8211736167e-01    1.7953088221e+00    2.1760000000e+04    7.8323238036e-03    5.8326631434e-01
        15   -2.2425096858e+00    5.1002236277e+00   -4.0853212654e+00    1.8428115795e+00    1.9476249200e+00   -8.0229495657e+00    1.9469455828e-01    1.7953088221e+00    2.1760000000e+04    7.8899454983e-03    5.8385225184e-01
        16   -2.2430971413e+00    5.0647360156e+00   -4.0368937318e+00    1.7937965904e+00    1.9477929566e+00   -7.9673595932e+00    1.8736408272e-01    1.7953088221e+00    2.1760000000e+04    7.8821662156e-03    5.8300206801e-01
        17   -2.2401733183e+00    5.0506249855e+00   -4.0501182364e+00    1.8099449181e+00    1.9502054924e+00   -7.9796797487e+00    1.8404719789e-01    1.7953088221e+00    2.1760000000e+04    7.8626496389e-03    5.8157169118e-01
        18   -2.2417194768e+00    5.0639339917e+00   -4.0456807668e+00    1.8039612900e+00    1.9462021831e+00   -7.9725239078e+00    1.8533213576e-01    1.7953088221e+00    2.1760000000e+04    7.8586151495e-03    5.8280675551e-01
        19   -2.2380004869e+00    5.0297861858e+00   -4.0501832657e+00    1.8121827787e+00    1.9544401346e+00   -7.9905884075e+00    1.9065618519e-01    1.7953088221e+00    2.1760000000e+04    7.8632568612e-03    5.8093979779e-01
        20   -2.2398940597e+00    5.0453209281e+00   -4.0386251527e+00    1.7987310930e+00    1.9482882728e+00   -7.9755114695e+00    1.9328922195e-01    1.7953088221e+00    2.1760000000e+04    7.8814461389e-03    5.8531135110e-01
        21   -2.2408686850e+00    5.0540356368e+00   -4.0487405265e+00    1.8078718415e+00    1.9402467734e+00   -7.9652010347e+00    1.8090491271e-01    1.7953088221e+00    2.1760000000e+04    7.8513648580e-03    5.8547794118e-01
        22   -2.2386669279e+00    5.0390254306e+00   -4.0313259544e+00    1.7926590265e+00    1.9560923209e+00   -7.9758797485e+00    1.9315265115e-01    1.7953088221e+00    2.1760000000e+04    7.8698767020e-03    5.8351907169e-01
        23   -2.2406215675e+00    5.0514598204e+00   -4.0407661385e+00    1.8001445710e+00    1.9404240210e+00   -7.9595673338e+00    1.8306835224e-01    1.7953088221e+00    2.1760000000e+04    7.8701444847e-03    5.8428883272e-01
        24   -2.2384454244e+00    5.0401406178e+00   -4.0746442140e+00    1.8361987896e+00    1.9493474045e+00   -8.0068831657e+00    1.8758272514e-01    1.7953088221e+00    2.1760000000e+04    7.8478488414e-03    5.8132467831e-01
        25   -2.2410137870e+00    5.0580986482e+00   -4.0582289709e+00    1.8172151839e+00    1.9436024789e+00   -7.9807447747e+00    1.8360450290e-01    1.7953088221e+00    2.1760000000e+04    7.8804034959e-03    5.8216337316e-01
        26   -2.2400489657e+00    5.0422637632e+00   -4.0840860728e+00    1.8440371071e+00    1.9532754475e+00   -8.0208194954e+00    1.8814915304e-01    1.7953088221e+00    2.1760000000e+04    7.8545359566e-03    5.8269186581e-01
        27   -2.2406554593e+00    5.0553591292e+00   -4.0488357849e+00    1.8081803257e+00    1.9442292830e+00   -7.9642737309e+00    1.7589984092e-01    1.7953088221e+00    2.1760000000e+04    7.9821896027e-03    5.8372012868e-01
        28   -2.2400598952e+00    5.0430394156e+00   -4.0349192853e+00    1.7948593901e+00    1.9471068497e+00   -7.9718501714e+00    1.9451521432e-01    1.7953088221e+00    2.1760000000e+04    8.0975208651e-03    5.8497817096e-01
        29   -2.2415149737e+00    5.0528795106e+00   -4.0772204834e+00    1.8357055098e+00    1.9501937801e+00   -7.9974851833e+00    1.7476209775e-01    1.7953088221e+00    2.1760000000e+04    7.9804904321e-03    5.8239889706e-01
        30   -2.2418941498e+00    5.0503355706e+00   -4.0797304768e+00    1.8378363270e+00    1.9464170101e+00   -8.0100172885e+00    1.8856097959e-01    1.7953088221e+00    2.1760000000e+04    7.8812256894e-03    5.8508157169e-01
        31   -2.2417301637e+00    5.0560080232e+00   -4.0614835391e+00    1.8197533754e+00    1.9497020985e+00   -7.9975549937e+00    1.9106053411e-01    1.7953088221e+00    2.1760000000e+04    7.8595414319e-03    5.8115808824e-01
        32   -2.2394761864e+00    5.0405751652e+00   -4.0646503855e+00    1.8251741992e+00    1.9437200979e+00   -7.9841347335e+00    1.8045542800e-01    1.7953088221e+00    2.1760000000e+04    7.8753506874e-03    5.8258846507e-01
        33   -2.2429548116e+00    5.0578058113e+00   -4.0657726513e+00    1.8228178397e+00    1.9486985257e+00   -7.9891078369e+00    1.7932783786e-01    1.7953088221e+00    2.1760000000e+04    7.8585608041e-03    5.8107192096e-01
        34   -2.2401312955e+00    5.0476950923e+00   -4.0450070985e+00    1.8048758030e+00    1.9458174234e+00   -7.9842669365e+00    1.9813359259e-01    1.7953088221e+00    2.1760000000e+04    7.8720417531e-03    5.8485753676e-01
        35   -2.2395524266e+00    5.0422783609e+00   -4.0525253186e+00    1.8129728920e+00    1.9451844257e+00   -7.9737002205e+00    1.8068165410e-01    1.7953088221e+00    2.1760000000e+04    7.8671684160e-03    5.8332950368e-01
        36   -2.2398868586e+00    5.0472075832e+00   -4.0360811810e+00    1.7961943224e+00    1.9424432059e+00   -7.9466499676e+00    1.7281675873e-01    1.7953088221e+00    2.1760000000e+04    7.8558450674e-03    5.8541475184e-01
        37   -2.2403422322e+00    5.0533404290e+00   -4.1022075371e+00    1.8618653049e+00    1.9495048697e+00   -8.0221772981e+00    1.7515606924e-01    1.7953088221e+00    2.1760000000e+04    7.8468097045e-03    5.8404181985e-01
        38   -2.2419836401e+00    5.0521484387e+00   -4.0524562458e+00    1.8104726058e+00    1.9473815045e+00   -7.9847988960e+00    1.8965232364e-01    1.7953088221e+00    2.1760000000e+04    7.8710937763e-03    5.8273207721e-01
        39   -2.2412854174e+00    5.0505315422e+00   -4.0809716349e+00    1.8396862175e+00    1.9541985828e+00   -8.0181434629e+00    1.8766442309e-01    1.7953088221e+00    2.1760000000e+04    7.8696691815e-03    5.8314568015e-01
        40   -2.2418333997e+00    5.0543931642e+00   -4.0607761094e+00    1.8189427097e+00    1.9448226767e+00   -7.9952117555e+00    1.9430414738e-01    1.7953088221e+00    2.1760000000e+04    7.8643413589e-03    5.8292738971e-01
        41   -2.2428949193e+00    5.0600997447e+00   -4.0522147102e+00    1.8093197909e+00    1.9517473110e+00   -7.9780221094e+00    1.7875126614e-01    1.7953088221e+00    2.1760000000e+04    7.8797758940e-03    5.8168083640e-01
        42   -2.2409501210e+00    5.0567100202e+00   -4.0421299723e+00    1.8011798512e+00    1.9460096166e+00   -7.9689671335e+00    1.8551872264e-01    1.7953088221e+00    2.1760000000e+04    7.8608135090e-03    5.8390395221e-01
        43   -2.2429927727e+00    5.0638694637e+00   -4.0556396649e+00    1.8126468922e+00    1.9530169995e+00   -7.9920556127e+00    1.8809012618e-01    1.7953088221e+00    2.1760000000e+04    7.8637352323e-03    5.8278952206e-01
        44   -2.2419518125e+00    5.0681455550e+00   -4.0942340587e+00    1.8522822462e+00    1.9433953510e+00   -8.0090046888e+00    1.7606645707e-01    1.7953088221e+00    2.1760000000e+04    7.8590150703e-03    5.8159466912e-01
        45   -2.2394455795e+00    5.0409710468e+00   -4.0535037582e+00    1.8140581786e+00    1.9513578366e+00   -7.9919604879e+00    1.9179007108e-01    1.7953088221e+00    2.1760000000e+04    7.8731873894e-03    5.8199678309e-01
        46   -2.2408119495e+00    5.0470220070e+00   -4.0398163523e+00    1.7990044028e+00    1.9464097067e+00   -7.9683912877e+00    1.8685640659e-01    1.7953088221e+00    2.1760000000e+04    7.8573816401e-03    5.8253102022e-01
        47   -2.2409134362e+00    5.0538237466e+00   -4.0728735522e+00    1.8319601159e+00    1.9486727289e+00   -8.0076858202e+00    1.9083071707e-01    1.7953088221e+00    2.1760000000e+04    7.8745436142e-03    5.8323759191e-01
        48   -2.2397017715e+00    5.0435842749e+00   -4.0445098313e+00    1.8048080598e+00    1.9536863080e+00   -7.9788902243e+00    1.8538526294e-01    1.7953088221e+00    2.1760000000e+04    7.8757672625e-03    5.8237017463e-01
        49   -2.2414918548e+00    5.0531009044e+00   -4.0665226236e+00    1.8250307688e+00    1.9454429311e+00   -7.9857038187e+00    1.7842944192e-01    1.7953088221e+00    2.1760000000e+04    7.8622784246e-03    5.8170381434e-01
        50   -2.2402559911e+00    5.0529517495e+00   -4.0631095608e+00    1.8228535697e+00    1.9389299146e+00   -7.9813690229e+00    1.8402072539e-01    1.7953088221e+00    2.1760000000e+04    7.8693884699e-03    5.8473690257e-01
        51   -2.2405548879e+00    5.0502483220e+00   -4.0324920609e+00    1.7919371731e+00    1.9382759844e+00   -7.9427972894e+00    1.7672042193e-01    1.7953088221e+00    2.1760000000e+04    7.8462737010e-03    5.8312270221e-01
        52   -2.2433124938e+00    5.0669270798e+00   -4.0809514315e+00    1.8376389377e+00    1.9419344683e+00   -8.0036939704e+00    1.8549924854e-01    1.7953088221e+00    2.1760000000e+04    7.8311466119e-03    5.8264016544e-01
        53   -2.2399528003e+00    5.0430075694e+00   -4.0258346224e+00    1.7858818221e+00    1.9460516538e+00   -7.9545213370e+00    1.8732623880e-01    1.7953088221e+00    2.1760000000e+04    7.8418526579e-03    5.8230124081e-01
        54   -2.2392662673e+00    5.0414796613e+00   -4.0741228472e+00    1.8348565800e+00    1.9412693794e+00   -8.0005241061e+00    1.8982305739e-01    1.7953088221e+00    2.1760000000e+04    7.8531562844e-03    5.8304802390e-01
        55   -2.2416676034e+00    5.0712067289e+00   -4.0592912974e+00    1.8176236940e+00    1.9491646141e+00   -7.9991140153e+00    1.9534928182e-01    1.7953088221e+00    2.1760000000e+04    7.8561108779e-03    5.8294462316e-01
        56   -2.2415708626e+00    5.0515898790e+00   -4.0596213517e+00    1.8180504892e+00    1.9456106685e+00   -7.9908890544e+00    1.9034821203e-01    1.7953088221e+00    2.1760000000e+04    7.8524107880e-03    5.8398437500e-01
        57   -2.2400223299e+00    5.0447924959e+00   -4.0580281902e+00    1.8180058604e+00    1.9405522408e+00   -7.9722019606e+00    1.7831270750e-01    1.7953088221e+00    2.1760000000e+04    7.8396963723e-03    5.8296760110e-01
        58   -2.2417413389e+00    5.0665549793e+00   -4.0568146052e+00    1.8150732663e+00    1.9383540820e+00   -7.9684740297e+00    1.7799652046e-01    1.7953088221e+00    2.1760000000e+04    7.8522326315e-03    5.8451286765e-01
        59   -2.2405433364e+00    5.0461336736e+00   -4.0384487796e+00    1.7979054432e+00    1.9477112312e+00   -7.9700733825e+00    1.8860454963e-01    1.7953088221e+00    2.1760000000e+04    7.8564737650e-03    5.8300781250e-01
        60   -2.2411635929e+00    5.0519344063e+00   -4.0663975661e+00    1.8252339733e+00    1.9539646664e+00   -8.0053813720e+00    1.8971031736e-01    1.7953088221e+00    2.1760000000e+04    7.8468200038e-03    5.8347311581e-01
        61   -2.2390858572e+00    5.0464325073e+00   -4.0287314004e+00    1.7896455432e+00    1.9433474482e+00   -7.9408191244e+00    1.7343145372e-01    1.7953088221e+00    2.1760000000e+04    7.7967974631e-03    5.8394416360e-01
        62   -2.2405946989e+00    5.0493228113e+00   -4.0235825566e+00    1.7829878577e+00    1.9465125373e+00   -7.9577462049e+00    1.9234228897e-01    1.7953088221e+00    2.1760000000e+04    7.7944474623e-03    5.8411075368e-01
        63   -2.2399561656e+00    5.0482303772e+00   -4.0596460888e+00    1.8196899233e+00    1.9440884981e+00   -7.9825797168e+00    1.8353630778e-01    1.7953088221e+00    2.1760000000e+04    7.7833254986e-03    5.8247357537e-01
        64   -2.2424757376e+00    5.0601770932e+00   -4.0924104909e+00    1.8499347534e+00    1.9467764512e+00   -8.0125189462e+00    1.7802318204e-01    1.7953088221e+00    2.1760000000e+04    7.7954692876e-03    5.8397863051e-01
        65   -2.2405304507e+00    5.0470955046e+00   -4.0596235979e+00    1.8190931472e+00    1.9497852476e+00   -7.9919143080e+00    1.8719664048e-01    1.7953088221e+00    2.1760000000e+04    7.8150388949e-03    5.8492072610e-01
