# Index          LocalEnergy            Variance              Weight        NumOfWalkers      AvgSentWalkers         TrialEnergy             DiffEff      LivingFraction
         0   -2.2411968518e+00    2.3394213912e-02    2.0330000000e+03    2.0330000000e+03    0.0000000000e+00   -2.2378036381e+00    9.9971075691e-01    9.9950811608e-01
         1   -2.2382242776e+00    2.3757893745e-02    2.0479928588e+03    2.0330000000e+03    0.0000000000e+00   -1.3223002855e+00    9.9908137015e-01    1.0000000000e+00
         2   -2.2405885178e+00    2.2746397319e-02    2.0480191071e+03    2.0470000000e+03    5.0000000000e-01   -2.1771742153e+00    9.9878429639e-01    1.0000000000e+00
         3   -2.2432837448e+00    2.9294834099e-02    2.0480208692e+03    2.0480000000e+03    0.0000000000e+00   -2.2405885178e+00    9.9805536061e-01    9.9951171875e-01
         4   -2.2462310569e+00    3.6141082036e-02    2.0480249905e+03    2.0480000000e+03    5.0000000000e-01   -2.2432837448e+00    9.9924007471e-01    9.9951171875e-01
         5   -2.2442458548e+00    3.4617381784e-02    2.0479883433e+03    2.0500000000e+03    0.0000000000e+00   -2.3682418035e+00    9.9864041813e-01    1.0000000000e+00
         6   -2.2447543648e+00    3.3755126779e-02    2.0480042703e+03    2.0500000000e+03    0.0000000000e+00   -2.3662566014e+00    9.9973681187e-01    9.9853658537e-01
         7   -2.2451831691e+00    2.5891604839e-02    2.0480053261e+03    2.0480000000e+03    0.0000000000e+00   -2.2447543648e+00    9.9954885038e-01    1.0000000000e+00
         8   -2.2426523819e+00    3.1384358116e-02    2.0479791756e+03    2.0490000000e+03    0.0000000000e+00   -2.3062034290e+00    9.9761988816e-01    9.9951195705e-01
         9   -2.2392849369e+00    3.5861098997e-02    2.0479714936e+03    2.0480000000e+03    0.0000000000e+00   -2.2426523819e+00    9.9907148364e-01    1.0000000000e+00
        10   -2.2403611146e+00    3.7090558643e-02    2.0480114915e+03    2.0510000000e+03    0.0000000000e+00   -2.4222564260e+00    9.9876983645e-01    9.9902486592e-01
        11   -2.2428645700e+00    3.3132093791e-02    2.0480240501e+03    2.0490000000e+03    5.0000000000e-01   -2.3013813745e+00    9.9803292951e-01    9.9853587116e-01
        12   -2.2424875310e+00    2.7463179312e-02    2.0479918542e+03    2.0460000000e+03    0.0000000000e+00   -2.1207346140e+00    9.9761247564e-01    1.0000000000e+00
        13   -2.2432632189e+00    2.8754489473e-02    2.0480034731e+03    2.0470000000e+03    5.0000000000e-01   -2.1814374688e+00    9.9918294032e-01    1.0000000000e+00
        14   -2.2453624314e+00    2.8225023785e-02    2.0480199965e+03    2.0490000000e+03    5.0000000000e-01   -2.3042834789e+00    9.9795285502e-01    9.9902391410e-01
        15   -2.2463809129e+00    2.6821968481e-02    2.0480065414e+03    2.0470000000e+03    0.0000000000e+00   -2.1843123692e+00    9.9955649777e-01    9.9951148021e-01
        16   -2.2473626680e+00    2.5878811068e-02    2.0480105984e+03    2.0480000000e+03    5.0000000000e-01   -2.2463809129e+00    9.9931481012e-01    9.9951171875e-01
        17   -2.2458716328e+00    2.7312111296e-02    2.0479911164e+03    2.0490000000e+03    5.0000000000e-01   -2.3083829280e+00    9.9946728966e-01    1.0000000000e+00
        18   -2.2463122474e+00    2.5267691791e-02    2.0480046019e+03    2.0500000000e+03    5.0000000000e-01   -2.3678823794e+00    9.9855178591e-01    9.9951219512e-01
        19   -2.2475376988e+00    2.4897877635e-02    2.0480101150e+03    2.0490000000e+03    0.0000000000e+00   -2.3073325073e+00    9.9928593586e-01    9.9951195705e-01
        20   -2.2492219643e+00    2.9255465690e-02    2.0480122792e+03    2.0480000000e+03    0.0000000000e+00   -2.2475376988e+00    9.9794857215e-01    1.0000000000e+00
        21   -2.2465036252e+00    3.3690913866e-02    2.0479793046e+03    2.0500000000e+03    0.0000000000e+00   -2.3712327110e+00    9.9835893173e-01    9.9756097561e-01
        22   -2.2458993001e+00    3.8799731771e-02    2.0479920828e+03    2.0450000000e+03    5.0000000000e-01   -2.0632639149e+00    9.9802513141e-01    1.0000000000e+00
        23   -2.2466940572e+00    3.2931854311e-02    2.0480042428e+03    2.0470000000e+03    0.0000000000e+00   -2.1848492379e+00    9.9909545638e-01    1.0000000000e+00
        24   -2.2443880984e+00    3.3126363871e-02    2.0479796957e+03    2.0480000000e+03    0.0000000000e+00   -2.2466940572e+00    9.9835025561e-01    1.0000000000e+00
        25   -2.2455244090e+00    3.2530633892e-02    2.0480072900e+03    2.0480000000e+03    0.0000000000e+00   -2.2443880984e+00    9.9973619210e-01    9.9951171875e-01
        26   -2.2450098726e+00    3.1386187006e-02    2.0479944880e+03    2.0480000000e+03    5.0000000000e-01   -2.2455244090e+00    9.9953853495e-01    1.0000000000e+00
        27   -2.2439290478e+00    3.4371349152e-02    2.0479892497e+03    2.0480000000e+03    0.0000000000e+00   -2.2450098726e+00    9.9796202325e-01    1.0000000000e+00
        28   -2.2413866746e+00    3.3572769074e-02    2.0479787188e+03    2.0490000000e+03    5.0000000000e-01   -2.3049493078e+00    9.9793416735e-01    1.0000000000e+00
        29   -2.2395202959e+00    3.2968225921e-02    2.0479839080e+03    2.0490000000e+03    0.0000000000e+00   -2.3024069346e+00    9.9902302812e-01    9.9902391410e-01
        30   -2.2406149885e+00    3.5502702419e-02    2.0480098586e+03    2.0470000000e+03    0.0000000000e+00   -2.1784702336e+00    9.9909084759e-01    1.0000000000e+00
        31   -2.2401883337e+00    2.9331595462e-02    2.0479951648e+03    2.0480000000e+03    0.0000000000e+00   -2.2406149885e+00    9.9845864751e-01    1.0000000000e+00
        32   -2.2429556860e+00    3.2328490397e-02    2.0480231133e+03    2.0490000000e+03    5.0000000000e-01   -2.3012085936e+00    9.9781228138e-01    9.9951195705e-01
        33   -2.2454082464e+00    3.0422661796e-02    2.0480192653e+03    2.0480000000e+03    0.0000000000e+00   -2.2429556860e+00    9.9894602287e-01    9.9951171875e-01
        34   -2.2459795589e+00    2.7986273048e-02    2.0480021862e+03    2.0470000000e+03    5.0000000000e-01   -2.1843581842e+00    9.9857242052e-01    9.9902296043e-01
        35   -2.2456106369e+00    2.7658318503e-02    2.0479991703e+03    2.0450000000e+03    5.0000000000e-01   -2.0627398486e+00    9.9844012851e-01    1.0000000000e+00
        36   -2.2457419215e+00    2.4764468342e-02    2.0480005815e+03    2.0480000000e+03    0.0000000000e+00   -2.2456106369e+00    9.9797485873e-01    1.0000000000e+00
        37   -2.2457960005e+00    2.4296496003e-02    2.0480029059e+03    2.0500000000e+03    5.0000000000e-01   -2.3677526681e+00    9.9767381318e-01    9.9951219512e-01
        38   -2.2464185140e+00    2.8297984416e-02    2.0480090950e+03    2.0500000000e+03    0.0000000000e+00   -2.3678067471e+00    9.9797399648e-01    9.9804878049e-01
        39   -2.2442745768e+00    2.6782739980e-02    2.0479791473e+03    2.0460000000e+03    5.0000000000e-01   -2.1242885580e+00    9.9858135123e-01    1.0000000000e+00
        40   -2.2439584174e+00    2.4837537158e-02    2.0479931231e+03    2.0460000000e+03    0.0000000000e+00   -2.1221446209e+00    9.9919755835e-01    1.0000000000e+00
        41   -2.2410858751e+00    3.6085272928e-02    2.0479734346e+03    2.0470000000e+03    5.0000000000e-01   -2.1829083551e+00    9.9842323196e-01    9.9902296043e-01
        42   -2.2397876142e+00    2.3720535756e-02    2.0479921319e+03    2.0470000000e+03    5.0000000000e-01   -2.1800358128e+00    9.9896386821e-01    1.0000000000e+00
        43   -2.2390054402e+00    2.3501655532e-02    2.0479907214e+03    2.0470000000e+03    0.0000000000e+00   -2.1787375520e+00    9.9876249178e-01    9.9951148021e-01
