#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            IonIon              LocalECP            NonLocalECP         BlockWeight         BlockCPU            AcceptRatio         
         0   -2.2447884327e+00    5.0704397207e+00   -4.0770708179e+00    1.8322823852e+00    1.9551826069e+00    1.7953086932e+00   -8.0042641763e+00    1.7670205821e-01    1.0240300000e+05    3.6935004451e+01    9.9730720498e-01
         1   -2.2446052321e+00    5.0798497509e+00   -4.0631484822e+00    1.8185432501e+00    1.9577601956e+00    1.7953086932e+00   -7.9884199847e+00    1.7220261380e-01    1.0263600000e+05    3.8632010517e+01    9.9734238218e-01
         2   -2.2448178929e+00    5.0867376783e+00   -4.0315591691e+00    1.7867412762e+00    1.9511509509e+00    1.7953086932e+00   -7.9461195426e+00    1.6810072942e-01    1.0177100000e+05    4.0656900913e+01    9.9734756493e-01
         3   -2.2458857627e+00    5.0900529031e+00   -4.0543771175e+00    1.8084913548e+00    1.9515661570e+00    1.7953086932e+00   -7.9696739653e+00    1.6842199754e-01    1.0229600000e+05    4.2010317037e+01    9.9735746746e-01
         4   -2.2470167581e+00    5.0996310356e+00   -4.0298505897e+00    1.7828338316e+00    1.9369927550e+00    1.7953086932e+00   -7.9443747801e+00    1.8222274219e-01    1.0246700000e+05    4.4503164589e+01    9.9730430515e-01
         5   -2.2419142090e+00    5.0699369365e+00   -4.0193785256e+00    1.7774643167e+00    1.9394342191e+00    1.7953086932e+00   -7.9260501449e+00    1.7192870697e-01    1.0235000000e+05    4.7398383602e+01    9.9724956852e-01
         6   -2.2451611028e+00    5.0956856072e+00   -4.0705275677e+00    1.8253664649e+00    1.9405864922e+00    1.7953086932e+00   -7.9759662298e+00    1.6954347666e-01    1.0229100000e+05    4.7532585523e+01    9.9739963196e-01
         7   -2.2433302585e+00    5.0684258348e+00   -4.0564069174e+00    1.8130766588e+00    1.9401357809e+00    1.7953086932e+00   -7.9674910609e+00    1.7563966946e-01    1.0208300000e+05    5.1336990542e+01    9.9749973190e-01
         8   -2.2462891918e+00    5.0874495360e+00   -4.0477251747e+00    1.8014359828e+00    1.9330713149e+00    1.7953086932e+00   -7.9541563221e+00    1.7805113927e-01    1.0224100000e+05    5.4106067202e+01    9.9749357808e-01
         9   -2.2434493884e+00    5.0662804539e+00   -4.0630982664e+00    1.8196488780e+00    1.9503555547e+00    1.7953086932e+00   -7.9881317218e+00    1.7936920748e-01    1.0220000000e+05    5.3689622082e+01    9.9748019532e-01
        10   -2.2471354466e+00    5.0787463529e+00   -4.0603844103e+00    1.8132489637e+00    1.9468180195e+00    1.7953086932e+00   -7.9718332819e+00    1.6932215889e-01    1.0270100000e+05    5.3786402529e+01    9.9743937940e-01
        11   -2.2490388147e+00    5.1025934709e+00   -4.0627319744e+00    1.8136931596e+00    1.9495323590e+00    1.7953086932e+00   -7.9816752523e+00    1.7410222569e-01    1.0307000000e+05    5.6063063989e+01    9.9741391936e-01
        12   -2.2454445619e+00    5.0845749720e+00   -4.0680262986e+00    1.8225817367e+00    1.9479181244e+00    1.7953086932e+00   -7.9874087710e+00    1.7615565471e-01    1.0285200000e+05    5.4012092081e+01    9.9733873472e-01
        13   -2.2443023207e+00    5.0755838899e+00   -4.0796316605e+00    1.8353293398e+00    1.9609758771e+00    1.7953086932e+00   -8.0094596937e+00    1.7354346294e-01    1.0266100000e+05    5.4536139312e+01    9.9744787619e-01
        14   -2.2471607187e+00    5.0991423728e+00   -4.0433966939e+00    1.7962359752e+00    1.9507435238e+00    1.7953086932e+00   -7.9701843802e+00    1.8073546933e-01    1.0270900000e+05    5.5023976667e+01    9.9742997123e-01
        15   -2.2472287038e+00    5.1072633409e+00   -4.0798780729e+00    1.8326493691e+00    1.9456287897e+00    1.7953086932e+00   -7.9933962875e+00    1.7258073165e-01    1.0225100000e+05    5.4055691267e+01    9.9734229005e-01
        16   -2.2473608229e+00    5.1103263234e+00   -4.0436954061e+00    1.7963345832e+00    1.9472390190e+00    1.7953086932e+00   -7.9687467451e+00    1.8250362673e-01    1.0275400000e+05    5.3071689243e+01    9.9743545829e-01
        17   -2.2469287970e+00    5.0926006611e+00   -4.0441827415e+00    1.7972539445e+00    1.9460141227e+00    1.7953086932e+00   -7.9720817702e+00    1.8657621282e-01    1.0255800000e+05    5.3044059832e+01    9.9728953544e-01
        18   -2.2448497118e+00    5.0786948456e+00   -4.0614405552e+00    1.8165908434e+00    1.9408351001e+00    1.7953086932e+00   -7.9736234005e+00    1.7603905204e-01    1.0158500000e+05    5.2217299559e+01    9.9728584993e-01
        19   -2.2501509238e+00    5.1088838930e+00   -4.0625393707e+00    1.8123884469e+00    1.9378060980e+00    1.7953086932e+00   -7.9598491076e+00    1.6419494570e-01    1.0206400000e+05    5.2048150492e+01    9.9741043587e-01
