#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            IonIon              LocalECP            NonLocalECP         BlockWeight         BlockCPU            AcceptRatio         
         0   -2.2280224487e+00    4.9816515479e+00   -4.0137400819e+00    1.7857176332e+00    1.9224313272e+00    1.7953086932e+00   -7.9058043245e+00    1.7432422225e-01    8.0000000000e+02    1.8130987513e-01    5.8875000000e-01
         1   -2.2271293338e+00    4.9995957268e+00   -4.0152501128e+00    1.7881207791e+00    1.9032771864e+00    1.7953086932e+00   -7.8512806625e+00    1.3744467004e-01    8.0000000000e+02    1.5980194468e-01    5.8437500000e-01
         2   -2.2331911298e+00    5.0040558859e+00   -4.0804672225e+00    1.8472760928e+00    1.9616533914e+00    1.7953086932e+00   -8.0400773729e+00    2.0264806571e-01    8.0000000000e+02    1.4250037342e-01    5.8718750000e-01
         3   -2.2316055800e+00    5.0230261449e+00   -3.9067733533e+00    1.6751677733e+00    1.9224024248e+00    1.7953086932e+00   -7.8054778676e+00    1.8099339622e-01    8.0000000000e+02    1.8404461539e-01    5.8468750000e-01
         4   -2.2427931248e+00    5.0479235627e+00   -4.2092136170e+00    1.9664204922e+00    1.9697808650e+00    1.7953086932e+00   -8.1429227838e+00    1.6861960864e-01    8.0000000000e+02    1.9654613486e-01    5.8312500000e-01
         5   -2.2503439690e+00    5.1064834062e+00   -4.0059008761e+00    1.7555569071e+00    1.9713561528e+00    1.7953086932e+00   -7.9654361626e+00    1.9287044043e-01    8.0000000000e+02    1.4833294775e-01    5.8859375000e-01
         6   -2.2359209549e+00    5.0155237815e+00   -4.0140430750e+00    1.7781221201e+00    1.9555483398e+00    1.7953086932e+00   -7.9649559194e+00    2.0005581134e-01    8.0000000000e+02    1.3702986477e-01    5.8750000000e-01
         7   -2.2321369388e+00    5.0011174740e+00   -3.9648642538e+00    1.7327273150e+00    1.9082499540e+00    1.7953086932e+00   -7.8585615799e+00    1.9013867893e-01    8.0000000000e+02    1.4717706898e-01    5.9031250000e-01
         8   -2.2396214425e+00    5.0395036383e+00   -3.9120295111e+00    1.6724080687e+00    1.9389077935e+00    1.7953086932e+00   -7.8102050372e+00    1.6395903936e-01    8.0000000000e+02    1.3965406665e-01    5.9390625000e-01
         9   -2.2332153173e+00    5.0117636361e+00   -4.0801403910e+00    1.8469250737e+00    1.9538263745e+00    1.7953086932e+00   -8.0259744619e+00    1.9669900328e-01    8.0000000000e+02    1.3972627508e-01    5.7812500000e-01
        10   -2.2338504145e+00    5.0077224686e+00   -3.8697487807e+00    1.6358983662e+00    1.9386396752e+00    1.7953086932e+00   -7.8003306672e+00    1.9663351803e-01    8.0000000000e+02    1.5669227616e-01    5.8968750000e-01
        11   -2.2426530413e+00    5.0447130600e+00   -4.0601326869e+00    1.8174796456e+00    1.9462788403e+00    1.7953086932e+00   -7.9679701179e+00    1.6624989742e-01    8.0000000000e+02    1.5183626604e-01    5.8203125000e-01
        12   -2.2396484935e+00    5.0325384540e+00   -4.1795197330e+00    1.9398712394e+00    1.9691001056e+00    1.7953086932e+00   -8.1112244441e+00    1.6729591225e-01    8.0000000000e+02    1.3575615562e-01    5.8687500000e-01
        13   -2.2503330961e+00    5.1160228284e+00   -4.2777833122e+00    2.0274502161e+00    1.9481314178e+00    1.7953086932e+00   -8.1446093002e+00    1.2338587699e-01    8.0000000000e+02    1.4935987623e-01    5.8359375000e-01
        14   -2.2342452381e+00    5.0103404773e+00   -3.9701779338e+00    1.7359326957e+00    1.9475701445e+00    1.7953086932e+00   -7.9040134751e+00    1.9095670359e-01    8.0000000000e+02    1.5116768100e-01    5.8015625000e-01
        15   -2.2401664202e+00    5.0325827879e+00   -3.8649518198e+00    1.6247853996e+00    1.9163491420e+00    1.7953086932e+00   -7.7631941915e+00    1.8658453646e-01    8.0000000000e+02    1.7512131695e-01    5.8796875000e-01
        16   -2.2359226662e+00    5.0281935794e+00   -4.1141265180e+00    1.8782038518e+00    1.9690001030e+00    1.7953086932e+00   -8.0896668922e+00    2.1123157800e-01    8.0000000000e+02    1.8971269985e-01    5.9250000000e-01
        17   -2.2310304251e+00    5.0097595609e+00   -3.9272253868e+00    1.6961949617e+00    1.9191052813e+00    1.7953086932e+00   -7.7891745064e+00    1.4753514502e-01    8.0000000000e+02    2.3159211510e-01    5.8843750000e-01
        18   -2.2491815781e+00    5.1104935543e+00   -4.0857188724e+00    1.8365372943e+00    1.9700781069e+00    1.7953086932e+00   -8.0165937325e+00    1.6548806001e-01    8.0000000000e+02    1.7753179074e-01    5.7953125000e-01
        19   -2.2363654834e+00    5.0197608337e+00   -3.9689988213e+00    1.7326333379e+00    1.9992716969e+00    1.7953086932e+00   -7.9601031800e+00    1.9652396861e-01    8.0000000000e+02    1.4021931912e-01    5.9562500000e-01
        20   -2.2471854195e+00    5.0713791610e+00   -4.2914428609e+00    2.0442574413e+00    1.9526326050e+00    1.7953086932e+00   -8.2436837727e+00    2.0429961364e-01    8.0000000000e+02    1.8670548737e-01    5.7890625000e-01
        21   -2.2379317857e+00    5.0324209326e+00   -3.8530793230e+00    1.6151475373e+00    1.9566381457e+00    1.7953086932e+00   -7.8288283467e+00    2.2380218485e-01    8.0000000000e+02    2.0637801988e-01    5.9703125000e-01
        22   -2.2595626798e+00    5.2930671337e+00   -4.0250567312e+00    1.7654940514e+00    1.9311882985e+00    1.7953086932e+00   -7.9095080580e+00    1.5795433507e-01    8.0000000000e+02    2.4339570213e-01    5.7812500000e-01
        23   -2.2377809353e+00    5.0257782679e+00   -4.0665974379e+00    1.8288165026e+00    1.9507541810e+00    1.7953086932e+00   -7.9988505648e+00    1.8619025273e-01    8.0000000000e+02    2.6170284374e-01    5.8046875000e-01
        24   -2.2304929082e+00    4.9942476530e+00   -4.0755605900e+00    1.8450676817e+00    1.9602579441e+00    1.7953086932e+00   -8.0302716509e+00    1.9914442369e-01    8.0000000000e+02    1.9252614939e-01    5.8234375000e-01
        25   -2.2404353631e+00    5.0431119227e+00   -4.2110939983e+00    1.9706586352e+00    1.9355076271e+00    1.7953086932e+00   -8.1250678498e+00    1.8315753120e-01    8.0000000000e+02    1.7193936667e-01    5.9046875000e-01
        26   -2.2531493202e+00    5.1236244270e+00   -4.1998688779e+00    1.9467195578e+00    1.9288759125e+00    1.7953086932e+00   -8.1161425769e+00    1.9208909319e-01    8.0000000000e+02    1.5250707386e-01    5.8500000000e-01
        27   -2.2360220366e+00    5.0264690426e+00   -4.0030300752e+00    1.7670080386e+00    1.9864163071e+00    1.7953086932e+00   -8.0147699093e+00    2.3001483382e-01    8.0000000000e+02    1.4739904576e-01    5.7765625000e-01
        28   -2.2358679630e+00    5.0286787198e+00   -3.8545526049e+00    1.6186846419e+00    1.9270786915e+00    1.7953086932e+00   -7.8046213965e+00    2.2768140692e-01    8.0000000000e+02    1.5309469411e-01    5.9640625000e-01
        29   -2.2293910484e+00    5.0028459512e+00   -4.0000182330e+00    1.7706271846e+00    1.9889948806e+00    1.7953086932e+00   -8.0183848841e+00    2.3406307726e-01    8.0000000000e+02    2.2376335016e-01    5.9062500000e-01
        30   -2.2508362036e+00    5.0869844747e+00   -4.2173530119e+00    1.9665168083e+00    1.9800645310e+00    1.7953086932e+00   -8.2291428361e+00    2.3641659994e-01    8.0000000000e+02    1.5495157754e-01    5.6875000000e-01
