#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            IonIon              LocalECP            NonLocalECP         BlockWeight         BlockCPU            AcceptRatio         
         0   -1.2434272132e+01    1.5483284498e+02   -2.2032032850e+01    9.5977607176e+00    1.8063499666e+01    1.3050036718e+01   -5.4092500394e+01    9.4693116062e-01    2.0480000000e+04    7.5761396885e+00    5.4157226563e-01
         1   -1.2434805898e+01    1.5484170749e+02   -2.1977731381e+01    9.5429254836e+00    1.8018594137e+01    1.3050036718e+01   -5.3948342401e+01    9.0198016451e-01    2.0480000000e+04    7.5615463853e+00    5.4269531250e-01
         2   -1.2429426776e+01    1.5471584112e+02   -2.2038579863e+01    9.6091530869e+00    1.7996066485e+01    1.3050036718e+01   -5.3987620233e+01    9.0293716792e-01    2.0480000000e+04    7.5498076677e+00    5.4205566406e-01
         3   -1.2434319622e+01    1.5483698752e+02   -2.2050938013e+01    9.6166183905e+00    1.8052194993e+01    1.3050036718e+01   -5.4079344580e+01    9.2617485627e-01    2.0480000000e+04    7.5735620856e+00    5.4226806641e-01
         4   -1.2430888406e+01    1.5474230459e+02   -2.1982790024e+01    9.5519016184e+00    1.8027686818e+01    1.3050036718e+01   -5.3945983917e+01    8.8547035733e-01    2.0480000000e+04    7.5537279248e+00    5.4226318359e-01
         5   -1.2433145874e+01    1.5480149709e+02   -2.1983547272e+01    9.5504013978e+00    1.8045028118e+01    1.3050036718e+01   -5.4044431880e+01    9.6581977114e-01    2.0480000000e+04    7.5640922785e+00    5.4155761719e-01
         6   -1.2431229505e+01    1.5475265947e+02   -2.2057614960e+01    9.6263854546e+00    1.8038485093e+01    1.3050036718e+01   -5.4050451458e+01    9.0431468672e-01    2.0480000000e+04    7.5664768219e+00    5.4157714844e-01
         7   -1.2441058195e+01    1.5498695328e+02   -2.1955335775e+01    9.5142775807e+00    1.8034820792e+01    1.3050036718e+01   -5.3982464713e+01    9.4227142796e-01    2.0480000000e+04    7.5700768232e+00    5.4172363281e-01
         8   -1.2437350950e+01    1.5491080618e+02   -2.1998999083e+01    9.5616481326e+00    1.8035783019e+01    1.3050036718e+01   -5.4024198038e+01    9.3937921815e-01    2.0480000000e+04    7.5686233044e+00    5.3945068359e-01
         9   -1.2434139791e+01    1.5481465805e+02   -2.2019236068e+01    9.5850962770e+00    1.8048889834e+01    1.3050036718e+01   -5.4087964443e+01    9.6980182347e-01    2.0480000000e+04    7.5556942821e+00    5.4016601562e-01
