# Index          LocalEnergy            Variance              Weight        NumOfWalkers      AvgSentWalkers         TrialEnergy             DiffEff      LivingFraction
         0   -9.4308502766e+00    3.6623489604e+01    4.0560000000e+03    4.1000000000e+03    0.0000000000e+00   -5.3521873491e+00    9.6812630165e-01    9.5560975610e-01
         1   -1.0081109977e+01    4.5683470812e+01    2.1761173288e+03    4.1000000000e+03    0.0000000000e+00   -7.7764206188e+01    9.6830009222e-01    5.3292682927e-01
         2   -1.0104227832e+01    4.5992852176e+01    2.0399994772e+03    2.1910000000e+03    6.0000000000e+00   -1.6830545321e+01    9.6381339346e-01    9.2697398448e-01
         3   -1.0285846560e+01    4.4458868270e+01    2.0274334582e+03    2.0340000000e+03    4.2500000000e+00   -9.4182868771e+00    9.6541429594e-01    9.8230088496e-01
         4   -1.0192386659e+01    4.7980605881e+01    2.0239909217e+03    2.0220000000e+03    7.5000000000e-01   -9.0081879026e+00    9.6782865971e-01    9.7774480712e-01
         5   -1.0280539111e+01    4.2863540201e+01    2.0281789003e+03    2.0240000000e+03    1.0000000000e+00   -9.0135910839e+00    9.6612208690e-01    9.8270750988e-01
         6   -1.0299940413e+01    4.9040219064e+01    2.0275549630e+03    2.0280000000e+03    1.0000000000e+00   -9.2991769661e+00    9.6502580161e-01    9.8323471400e-01
         7   -1.0369678945e+01    4.3424584885e+01    2.0282465621e+03    2.0290000000e+03    1.0000000000e+00   -9.3678757792e+00    9.6453414032e-01    9.8620009857e-01
         8   -1.0432288489e+01    4.1906375141e+01    2.0296396773e+03    2.0410000000e+03    1.0000000000e+00   -1.0027296610e+01    9.6293219489e-01    9.7648211661e-01
         9   -1.0442548304e+01    4.4507165598e+01    2.0295788836e+03    2.0310000000e+03    1.2500000000e+00   -9.5987460309e+00    9.6034300809e-01    9.8227474151e-01
        10   -1.0583102790e+01    4.3190103832e+01    2.0303167268e+03    2.0280000000e+03    1.0000000000e+00   -9.4611861592e+00    9.6363671957e-01    9.8027613412e-01
        11   -1.0631493770e+01    4.3679159606e+01    2.0285397009e+03    2.0170000000e+03    7.5000000000e-01   -9.0578579690e+00    9.6255052223e-01    9.8165592464e-01
        12   -1.0731553511e+01    4.0982360239e+01    2.0304985839e+03    2.0240000000e+03    5.0000000000e-01   -9.4526981945e+00    9.6328162545e-01    9.8418972332e-01
        13   -1.0860222002e+01    4.1192810167e+01    2.0324335085e+03    2.0350000000e+03    1.2500000000e+00   -1.0094764683e+01    9.6012875085e-01    9.8427518428e-01
        14   -1.0902277943e+01    4.3122478788e+01    2.0296544649e+03    2.0330000000e+03    7.5000000000e-01   -1.0125104749e+01    9.6903455971e-01    9.8130841121e-01
        15   -1.0917864721e+01    4.4685579381e+01    2.0291111191e+03    2.0400000000e+03    1.2500000000e+00   -1.0510888010e+01    9.6063498450e-01    9.7892156863e-01
        16   -1.0981663777e+01    4.4167581536e+01    2.0276192963e+03    2.0260000000e+03    1.7500000000e+00   -9.8378345860e+00    9.6254857543e-01    9.7778874630e-01
        17   -1.1023357945e+01    4.4792401768e+01    2.0283270660e+03    2.0230000000e+03    5.0000000000e-01   -9.7534488779e+00    9.6553825176e-01    9.8319327731e-01
        18   -1.0997990637e+01    4.0861469131e+01    2.0287327083e+03    2.0220000000e+03    5.0000000000e-01   -9.7456992874e+00    9.6800880782e-01    9.8120672601e-01
        19   -1.1162570288e+01    4.6023675045e+01    2.0315649285e+03    2.0350000000e+03    7.5000000000e-01   -1.0361201808e+01    9.5957396656e-01    9.7985257985e-01
        20   -1.1261852140e+01    4.1067751340e+01    2.0309507728e+03    2.0300000000e+03    1.0000000000e+00   -1.0279778876e+01    9.5830812601e-01    9.8325123153e-01
        21   -1.1290664730e+01    4.1685213146e+01    2.0294590391e+03    2.0280000000e+03    1.0000000000e+00   -1.0280489995e+01    9.6166266632e-01    9.7781065089e-01
        22   -1.1303064511e+01    4.1203654052e+01    2.0295646914e+03    2.0230000000e+03    1.0000000000e+00   -1.0062449831e+01    9.6985411161e-01    9.8220464656e-01
        23   -1.1379308157e+01    4.2399641170e+01    2.0320637703e+03    2.0360000000e+03    2.5000000000e-01   -1.0715403662e+01    9.6547221948e-01    9.7691552063e-01
        24   -1.1479809902e+01    4.2785414709e+01    2.0306054934e+03    2.0250000000e+03    1.0000000000e+00   -1.0249907495e+01    9.6066551581e-01    9.8370370370e-01
        25   -1.1520465803e+01    4.3729874146e+01    2.0303307881e+03    2.0330000000e+03    1.5000000000e+00   -1.0744692649e+01    9.6128782328e-01    9.8032464338e-01
        26   -1.1490770377e+01    4.5859853198e+01    2.0277442730e+03    2.0220000000e+03    1.0000000000e+00   -1.0242807145e+01    9.6221762109e-01    9.8664688427e-01
        27   -1.1534853129e+01    4.3981651920e+01    2.0304628236e+03    2.0460000000e+03    5.0000000000e-01   -1.1393066412e+01    9.5928130036e-01    9.7996089932e-01
        28   -1.1560326107e+01    4.4195999054e+01    2.0294957360e+03    2.0400000000e+03    5.0000000000e-01   -1.1143463197e+01    9.6500555831e-01    9.7941176471e-01
        29   -1.1623489588e+01    4.3169857018e+01    2.0305310030e+03    2.0370000000e+03    7.5000000000e-01   -1.1021769114e+01    9.5589901639e-01    9.7889052528e-01
        30   -1.1710430026e+01    4.3829102880e+01    2.0292043958e+03    2.0280000000e+03    1.0000000000e+00   -1.0642127443e+01    9.5805240510e-01    9.8126232742e-01
        31   -1.1856651906e+01    4.5940443033e+01    2.0300516467e+03    2.0270000000e+03    7.5000000000e-01   -1.0679746055e+01    9.5604013038e-01    9.8371978293e-01
        32   -1.1921303483e+01    4.4267554714e+01    2.0303259106e+03    2.0370000000e+03    1.0000000000e+00   -1.1318094912e+01    9.6347748208e-01    9.7594501718e-01
        33   -1.1995361543e+01    4.4603236842e+01    2.0307240465e+03    2.0290000000e+03    7.5000000000e-01   -1.0989238850e+01    9.6470980531e-01    9.8620009857e-01
        34   -1.2126609658e+01    4.8125005243e+01    2.0318569359e+03    2.0510000000e+03    1.0000000000e+00   -1.2141738734e+01    9.6579344707e-01    9.7805948318e-01
        35   -1.2058860599e+01    4.4316672910e+01    2.0285668528e+03    2.0400000000e+03    5.0000000000e-01   -1.1735219725e+01    9.6436765254e-01    9.8039215686e-01
        36   -1.2143219574e+01    4.1783620858e+01    2.0305977087e+03    2.0390000000e+03    1.0000000000e+00   -1.1618439041e+01    9.5940643116e-01    9.7940166748e-01
        37   -1.2171663959e+01    4.2296815155e+01    2.0307506731e+03    2.0370000000e+03    1.2500000000e+00   -1.1604662580e+01    9.5909028610e-01    9.8085419735e-01
        38   -1.2203137339e+01    4.1332538135e+01    2.0299106306e+03    2.0270000000e+03    7.5000000000e-01   -1.1140979988e+01    9.6877572437e-01    9.8421312284e-01
        39   -1.2211982169e+01    4.4367484879e+01    2.0305785039e+03    2.0330000000e+03    7.5000000000e-01   -1.1468020086e+01    9.6365826575e-01    9.8229217905e-01
        40   -1.2204694211e+01    4.1490514102e+01    2.0301172127e+03    2.0330000000e+03    1.2500000000e+00   -1.1476864916e+01    9.5848206282e-01    9.8130841121e-01
        41   -1.2449625111e+01    4.0977902422e+01    2.0321881426e+03    2.0330000000e+03    1.2500000000e+00   -1.1469576958e+01    9.5584506150e-01    9.8425971471e-01
        42   -1.2375688392e+01    4.2208227838e+01    2.0289659527e+03    2.0360000000e+03    7.5000000000e-01   -1.1861964262e+01    9.6206349028e-01    9.8182711198e-01
        43   -1.2276068086e+01    4.0070671613e+01    2.0282950571e+03    2.0300000000e+03    7.5000000000e-01   -1.1492896980e+01    9.6202056262e-01    9.8325123153e-01
        44   -1.2123054209e+01    4.2237068957e+01    2.0282202559e+03    2.0270000000e+03    1.2500000000e+00   -1.1245384115e+01    9.5269836740e-01    9.8174642329e-01
        45   -1.2151623972e+01    4.3908674133e+01    2.0301504051e+03    2.0290000000e+03    1.2500000000e+00   -1.1190989576e+01    9.5791288849e-01    9.8669295219e-01
        46   -1.2212368501e+01    4.3672404290e+01    2.0318244129e+03    2.0420000000e+03    1.0000000000e+00   -1.1858225229e+01    9.5793132274e-01    9.8530852106e-01
        47   -1.2519071546e+01    4.2441666109e+01    2.0345022649e+03    2.0530000000e+03    5.0000000000e-01   -1.2456211587e+01    9.6078096760e-01    9.7661958110e-01
        48   -1.2407750373e+01    4.8442246393e+01    2.0268699659e+03    2.0300000000e+03    5.0000000000e-01   -1.1636280134e+01    9.5555150638e-01    9.7881773399e-01
        49   -1.2507352470e+01    4.3979700039e+01    2.0291157705e+03    2.0240000000e+03    2.5000000000e-01   -1.1228954798e+01    9.6306544671e-01    9.8468379447e-01
        50   -1.2681111056e+01    4.6122298757e+01    2.0489337263e+03    2.0330000000e+03    1.5000000000e+00   -1.1772235217e+01    9.6484869729e-01    9.8130841121e-01
        51   -1.2816237235e+01    4.7623021066e+01    2.0468983280e+03    2.0420000000e+03    1.2500000000e+00   -1.2504418482e+01    9.5962607843e-01    9.7943192948e-01
        52   -1.2746528761e+01    4.9276653049e+01    2.0483540032e+03    2.0450000000e+03    1.0000000000e+00   -1.2592765845e+01    9.5952295148e-01    9.7848410758e-01
        53   -1.2973360255e+01    4.9325664524e+01    2.0672076267e+03    2.0630000000e+03    1.7500000000e+00   -1.2675531114e+01    9.5852916701e-01    9.7721764421e-01
        54   -1.3189790690e+01    5.1989322679e+01    2.0797371949e+03    2.0720000000e+03    7.5000000000e-01   -1.2699457998e+01    9.6230852017e-01    9.6718146718e-01
        55   -1.3399728572e+01    5.5701713362e+01    2.0684127164e+03    2.0570000000e+03    1.7500000000e+00   -1.2749302859e+01    9.5805608047e-01    9.7472046670e-01
        56   -1.3526600362e+01    5.6118051106e+01    2.0820327710e+03    2.0690000000e+03    1.0000000000e+00   -1.2829265103e+01    9.5962606966e-01    9.7535041083e-01
        57   -1.3687502333e+01    5.5529562403e+01    2.0903600241e+03    2.0770000000e+03    1.5000000000e+00   -1.2916076415e+01    9.5595713500e-01    9.7785267212e-01
        58   -1.3614681089e+01    5.6248662584e+01    2.0975907724e+03    2.0850000000e+03    7.5000000000e-01   -1.2997993823e+01    9.6362059094e-01    9.7889688249e-01
        59   -1.3698425441e+01    6.0792109079e+01    2.1017763383e+03    2.0910000000e+03    1.5000000000e+00   -1.3079468906e+01    9.6097658018e-01    9.7800095648e-01
        60   -1.4066514476e+01    5.9631147736e+01    2.1325538666e+03    2.1170000000e+03    1.0000000000e+00   -1.3147425567e+01    9.6100148730e-01    9.8110533774e-01
        61   -1.4322824215e+01    6.2511481145e+01    2.1683283453e+03    2.1480000000e+03    1.2500000000e+00   -1.3215066039e+01    9.6282877900e-01    9.7299813780e-01
        62   -1.4462060068e+01    6.1890424579e+01    2.1863457757e+03    2.1630000000e+03    1.7500000000e+00   -1.3296951835e+01    9.5799653574e-01    9.7503467406e-01
        63   -1.4288197960e+01    6.7304812286e+01    2.2029505463e+03    2.1820000000e+03    1.2500000000e+00   -1.3388813331e+01    9.5940034051e-01    9.7387717690e-01
        64   -1.4622293461e+01    6.3639831555e+01    2.2304657009e+03    2.2090000000e+03    7.5000000000e-01   -1.3482298862e+01    9.6228064547e-01    9.6966953373e-01
        65   -1.4995238685e+01    6.4793737378e+01    2.2337276971e+03    2.2060000000e+03    1.5000000000e+00   -1.3539711546e+01    9.5513438105e-01    9.8458748867e-01
        66   -1.5082959564e+01    7.2983701157e+01    2.2645617731e+03    2.2350000000e+03    1.5000000000e+00   -1.3625078049e+01    9.6360243522e-01    9.7762863535e-01
        67   -1.5232941387e+01    7.2862240864e+01    2.2944457731e+03    2.2630000000e+03    7.5000000000e-01   -1.3723265726e+01    9.5964943833e-01    9.7039328325e-01
        68   -1.5300718139e+01    7.4058803598e+01    2.3071531570e+03    2.2750000000e+03    2.2500000000e+00   -1.3809638939e+01    9.5768249936e-01    9.7670329670e-01
        69   -1.5257161507e+01    7.1682123527e+01    2.3438299199e+03    2.3130000000e+03    1.2500000000e+00   -1.3906647365e+01    9.6027092669e-01    9.7751837441e-01
        70   -1.5316815362e+01    7.3978071911e+01    2.3743188692e+03    2.3450000000e+03    1.0000000000e+00   -1.3996175006e+01    9.5737638389e-01    9.8166311301e-01
        71   -1.5422450204e+01    7.4482111101e+01    2.4106227063e+03    2.3820000000e+03    7.5000000000e-01   -1.4078325703e+01    9.5486331230e-01    9.7187237615e-01
        72   -1.5683891995e+01    8.0780953958e+01    2.4522552186e+03    2.4190000000e+03    1.7500000000e+00   -1.4156901574e+01    9.5922365069e-01    9.7850351385e-01
        73   -1.5812938591e+01    8.2847197388e+01    2.4947304959e+03    2.4590000000e+03    1.2500000000e+00   -1.4235564678e+01    9.5185499859e-01    9.7112647418e-01
        74   -1.6020400615e+01    8.3334030457e+01    2.5147890493e+03    2.4760000000e+03    7.5000000000e-01   -1.4310421701e+01    9.6261536948e-01    9.7132471729e-01
        75   -1.6124167708e+01    7.9235534548e+01    2.5417471464e+03    2.5000000000e+03    2.0000000000e+00   -1.4387759980e+01    9.5857602211e-01    9.7440000000e-01
        76   -1.6132725516e+01    8.4856472669e+01    2.5730125954e+03    2.5320000000e+03    1.5000000000e+00   -1.4470942893e+01    9.5669154735e-01    9.7274881517e-01
        77   -1.6130532429e+01    8.6333006527e+01    2.6076783262e+03    2.5690000000e+03    1.7500000000e+00   -1.4554537907e+01    9.5726496881e-01    9.7119501752e-01
        78   -1.6209550725e+01    8.3729957217e+01    2.6171302428e+03    2.5790000000e+03    2.0000000000e+00   -1.4622881510e+01    9.6038189878e-01    9.7479643273e-01
        79   -1.6267916026e+01    7.8354406300e+01    2.6515821032e+03    2.6130000000e+03    1.5000000000e+00   -1.4695916319e+01    9.6031662144e-01    9.7856869499e-01
        80   -1.6339858401e+01    7.9093179382e+01    2.6964854748e+03    2.6580000000e+03    1.2500000000e+00   -1.4771566949e+01    9.5585264686e-01    9.7516930023e-01
        81   -1.6295504604e+01    7.7952259325e+01    2.7340381016e+03    2.6950000000e+03    7.5000000000e-01   -1.4842070526e+01    9.5350961370e-01    9.7588126160e-01
        82   -1.6296881581e+01    8.2973274584e+01    2.7765936762e+03    2.7400000000e+03    5.0000000000e-01   -1.4914015316e+01    9.5268366743e-01    9.7335766423e-01
        83   -1.6216058109e+01    8.0968527174e+01    2.8025240921e+03    2.7690000000e+03    7.5000000000e-01   -1.4975227989e+01    9.5559244627e-01    9.7580353918e-01
        84   -1.6307158241e+01    8.0098326581e+01    2.8408221423e+03    2.8080000000e+03    1.5000000000e+00   -1.5036957646e+01    9.5726125936e-01    9.7293447293e-01
        85   -1.6344465804e+01    8.2125128618e+01    2.8764451109e+03    2.8430000000e+03    2.2500000000e+00   -1.5092050971e+01    9.5610680254e-01    9.7432289835e-01
        86   -1.6335146828e+01    8.1853622780e+01    2.9062237864e+03    2.8730000000e+03    1.0000000000e+00   -1.5145411902e+01    9.5586533015e-01    9.7250261051e-01
        87   -1.6457823574e+01    8.1998050846e+01    2.9490403656e+03    2.9150000000e+03    2.0000000000e+00   -1.5201480265e+01    9.5631603402e-01    9.6775300172e-01
        88   -1.6292995531e+01    8.3407238537e+01    2.9621240355e+03    2.9300000000e+03    1.5000000000e+00   -1.5245735833e+01    9.6107982342e-01    9.7235494881e-01
        89   -1.6525568709e+01    8.2440402704e+01    2.9879587094e+03    2.9570000000e+03    1.7500000000e+00   -1.5295170868e+01    9.5631191883e-01    9.6719648292e-01
        90   -1.6681578189e+01    8.5355560535e+01    3.0015794145e+03    2.9640000000e+03    1.0000000000e+00   -1.5331663740e+01    9.5742023449e-01    9.7267206478e-01
        91   -1.6815502848e+01    8.6228077013e+01    3.0455960361e+03    3.0050000000e+03    1.0000000000e+00   -1.5383537721e+01    9.6044494854e-01    9.7836938436e-01
        92   -1.6692749820e+01    8.0982759274e+01    3.0818689603e+03    3.0450000000e+03    1.5000000000e+00   -1.5436795681e+01    9.5731401010e-01    9.7307060755e-01
        93   -1.6945669666e+01    8.1153399796e+01    3.1410791513e+03    3.1000000000e+03    7.5000000000e-01   -1.5495983970e+01    9.5692700421e-01    9.7225806452e-01
        94   -1.6877137966e+01    8.2768184185e+01    3.1877772143e+03    3.1450000000e+03    3.0000000000e+00   -1.5547016300e+01    9.5886256628e-01    9.7583465819e-01
        95   -1.6802047751e+01    8.5278735266e+01    3.2356784631e+03    3.1980000000e+03    1.2500000000e+00   -1.5604341436e+01    9.5605389268e-01    9.7123202001e-01
        96   -1.7000659293e+01    8.6211356959e+01    3.2535108896e+03    3.2150000000e+03    2.0000000000e+00   -1.5647000972e+01    9.5686886342e-01    9.7356143079e-01
        97   -1.6874069746e+01    8.6943121829e+01    3.2914790995e+03    3.2530000000e+03    1.2500000000e+00   -1.5692921696e+01    9.6021879673e-01    9.7110359668e-01
        98   -1.6839823710e+01    8.8112808490e+01    3.3130124583e+03    3.2780000000e+03    1.5000000000e+00   -1.5737461936e+01    9.5110036006e-01    9.6796827334e-01
