#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            IonIon              LocalECP            NonLocalECP         BlockWeight         BlockCPU            AcceptRatio         
         0   -2.1435674992e+01    5.9645817753e+02   -4.2325388954e+01    2.0889713962e+01    4.4621310487e+00    1.7953086932e+00   -1.1891997729e+01   -3.6690830967e+01    2.0221590000e+06    1.9905868477e+02    9.9809951211e-01
         1   -2.0730257654e+01    5.6106936915e+02   -4.1684169380e+01    2.0953911726e+01    4.4240900663e+00    1.7953086932e+00   -1.1914153740e+01   -3.5989414399e+01    1.5523210000e+06    1.5408979893e+02    9.9807230132e-01
         2   -2.0536783840e+01    5.4797407545e+02   -4.1529086013e+01    2.0992302173e+01    4.4618701229e+00    1.7953086932e+00   -1.1901819866e+01   -3.5884444963e+01    1.7051310000e+06    1.6838180804e+02    9.9806526779e-01
         3   -2.0437095044e+01    5.4327148074e+02   -4.1477166178e+01    2.1040071134e+01    4.4623358355e+00    1.7953086932e+00   -1.1969537066e+01   -3.5765273641e+01    1.4436140000e+06    1.4401102436e+02    9.9812029071e-01
         4   -2.0733677770e+01    5.5817209396e+02   -4.1493794407e+01    2.0760116637e+01    4.4371916638e+00    1.7953086932e+00   -1.1875653409e+01   -3.5850641356e+01    1.4931150000e+06    1.4826919949e+02    9.9809569117e-01
         5   -2.1247719190e+01    5.8860519644e+02   -4.2185420571e+01    2.0937701381e+01    4.4564639035e+00    1.7953086932e+00   -1.1879828026e+01   -3.6557365141e+01    2.2960290000e+06    2.2521943504e+02    9.9807519557e-01
         6   -2.1029088247e+01    5.7446181615e+02   -4.1722901064e+01    2.0693812818e+01    4.4942165604e+00    1.7953086932e+00   -1.1878815917e+01   -3.6133610401e+01    2.6595020000e+06    2.6317377645e+02    9.9812838294e-01
         7   -2.0988476014e+01    5.7350337627e+02   -4.1987310302e+01    2.0998834288e+01    4.4695160518e+00    1.7953086932e+00   -1.1906566226e+01   -3.6345568821e+01    2.3487400000e+06    2.3130767155e+02    9.9811072496e-01
         8   -2.1472504256e+01    6.0110693882e+02   -4.2228817683e+01    2.0756313427e+01    4.4924619876e+00    1.7953086932e+00   -1.1857458352e+01   -3.6659130011e+01    2.6362270000e+06    2.5940252143e+02    9.9809485607e-01
         9   -2.1407187672e+01    5.9500266371e+02   -4.2098720727e+01    2.0691533055e+01    4.4568772720e+00    1.7953086932e+00   -1.1837996140e+01   -3.6512910552e+01    3.3788240000e+06    3.3111551946e+02    9.9809213534e-01
        10   -2.1294913007e+01    5.9001488322e+02   -4.2089815908e+01    2.0794902901e+01    4.4668398774e+00    1.7953086932e+00   -1.1832034733e+01   -3.6519929745e+01    3.0162570000e+06    2.9608728522e+02    9.9806903991e-01
        11   -2.1231742864e+01    5.8625414500e+02   -4.2036562403e+01    2.0804819539e+01    4.4544937254e+00    1.7953086932e+00   -1.1854264190e+01   -3.6432100632e+01    3.0792860000e+06    3.0158205873e+02    9.9810601933e-01
        12   -2.0676455055e+01    5.5632133601e+02   -4.1853091400e+01    2.1176636345e+01    4.4894726991e+00    1.7953086932e+00   -1.1968296339e+01   -3.6169576453e+01    2.3307530000e+06    2.3097911900e+02    9.9806259006e-01
        13   -2.1529768603e+01    6.0383171388e+02   -4.2191147640e+01    2.0661379037e+01    4.5044148148e+00    1.7953086932e+00   -1.1868389310e+01   -3.6622481838e+01    2.0554890000e+06    2.0498235357e+02    9.9806851040e-01
        14   -2.1631079695e+01    6.0670520655e+02   -4.2272791427e+01    2.0641711733e+01    4.4623312326e+00    1.7953086932e+00   -1.1820956708e+01   -3.6709474646e+01    3.2964090000e+06    3.2244175923e+02    9.9810835727e-01
        15   -2.1007838465e+01    5.7571644965e+02   -4.1942778157e+01    2.0934939693e+01    4.4533281682e+00    1.7953086932e+00   -1.1884649617e+01   -3.6306765401e+01    2.3123350000e+06    2.2827247202e+02    9.9811083303e-01
        16   -2.1433872626e+01    5.9696349671e+02   -4.2160461809e+01    2.0726589183e+01    4.4770698882e+00    1.7953086932e+00   -1.1861879680e+01   -3.6570960710e+01    2.4791800000e+06    2.4410643524e+02    9.9811388040e-01
        17   -2.1490643300e+01    6.0193774175e+02   -4.2355667480e+01    2.0865024180e+01    4.4819098717e+00    1.7953086932e+00   -1.1845835651e+01   -3.6787050394e+01    2.6190320000e+06    2.5632823396e+02    9.9807571633e-01
        18   -2.0891549826e+01    5.6729240171e+02   -4.1816197726e+01    2.0924647900e+01    4.4995883614e+00    1.7953086932e+00   -1.1926106271e+01   -3.6184988509e+01    2.2326880000e+06    2.2104948747e+02    9.9807067706e-01
        19   -2.0893928737e+01    5.7111273756e+02   -4.1898862050e+01    2.1004933313e+01    4.4800149520e+00    1.7953086932e+00   -1.1923736601e+01   -3.6250449094e+01    1.8503540000e+06    1.8365486926e+02    9.9807679440e-01
