#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            IonIon              LocalECP            NonLocalECP         BlockWeight         BlockCPU            AcceptRatio         
         0   -2.1957131854e+00    5.0167007152e+00   -3.8780471396e+00    1.6823339542e+00    2.0377061126e+00    1.7953086932e+00   -8.0167176984e+00    3.0565575299e-01    8.0000000000e+01    7.8381896019e-03    5.9218750000e-01
         1   -2.3088965450e+00    5.4073418890e+00   -4.2623615836e+00    1.9534650387e+00    1.8895838367e+00    1.7953086932e+00   -8.0185324749e+00    7.1278361296e-02    8.0000000000e+01    7.4397325516e-03    6.2812500000e-01
         2   -2.1423794888e+00    5.0505890888e+00   -4.7109548862e+00    2.5685753974e+00    2.1406504137e+00    1.7953086932e+00   -8.8344893630e+00    1.8757536989e-01    8.0000000000e+01    6.9914460182e-03    5.9062500000e-01
         3   -2.2391601361e+00    5.1795473144e+00   -3.5648054680e+00    1.3256453319e+00    1.8580147948e+00    1.7953086932e+00   -7.3716698109e+00    1.5354085492e-01    8.0000000000e+01    7.3050856590e-03    6.3906250000e-01
         4   -2.1929689443e+00    5.1873905312e+00   -3.6198052895e+00    1.4268363452e+00    2.0362904489e+00    1.7953086932e+00   -7.5891489030e+00    1.3774447139e-01    8.0000000000e+01    7.4505209923e-03    6.3593750000e-01
         5   -2.2220687170e+00    5.1348338030e+00   -3.9634594892e+00    1.7413907722e+00    1.9937244113e+00    1.7953086932e+00   -7.8505555952e+00    9.8063001409e-02    8.0000000000e+01    7.1161985397e-03    5.7031250000e-01
         6   -2.1417624539e+00    4.9270839832e+00   -3.6813570123e+00    1.5395945584e+00    2.0775586794e+00    1.7953086932e+00   -7.7786674066e+00    2.2444302170e-01    8.0000000000e+01    7.2636604309e-03    6.2187500000e-01
         7   -2.2685923079e+00    5.2415127299e+00   -3.7507155707e+00    1.4821232628e+00    1.9779112739e+00    1.7953086932e+00   -7.7258780193e+00    2.0194248143e-01    8.0000000000e+01    7.3917508125e-03    5.9843750000e-01
         8   -2.1488907739e+00    5.2119089574e+00   -4.0077638965e+00    1.8588731226e+00    2.1663556884e+00    1.7953086932e+00   -8.0647167631e+00    9.5288484980e-02    8.0000000000e+01    7.4982047081e-03    6.0781250000e-01
         9   -2.0316304445e+00    4.6361419176e+00   -4.2866705013e+00    2.2550400568e+00    2.2182844675e+00    1.7953086932e+00   -8.4494965582e+00    1.4923289626e-01    8.0000000000e+01    7.1414113045e-03    6.0625000000e-01
        10   -2.1071807144e+00    4.6264078770e+00   -3.7152528511e+00    1.6080721367e+00    2.2187032608e+00    1.7953086932e+00   -7.9000004937e+00    1.7073568855e-01    8.0000000000e+01    7.5979828835e-03    5.9062500000e-01
        11   -2.1446907301e+00    4.9783043775e+00   -3.8917996504e+00    1.7471089202e+00    2.1187332578e+00    1.7953086932e+00   -7.8633783484e+00    5.7536747066e-02    8.0000000000e+01    7.3960423470e-03    6.0937500000e-01
        12   -2.2226078196e+00    5.0962944484e+00   -4.6587206148e+00    2.4361127953e+00    2.0507071647e+00    1.7953086932e+00   -8.6481814191e+00    1.4344494639e-01    8.0000000000e+01    6.7659616470e-03    5.5937500000e-01
        13   -2.0498735259e+00    4.6236600097e+00   -3.9501136636e+00    1.9002401377e+00    2.2178065185e+00    1.7953086932e+00   -8.1303513051e+00    1.6712242988e-01    8.0000000000e+01    7.1502923965e-03    5.5000000000e-01
        14   -2.0602743977e+00    4.4458411223e+00   -3.6695410720e+00    1.6092666743e+00    1.9575365589e+00    1.7953086932e+00   -7.5979087894e+00    1.7552246535e-01    8.0000000000e+01    6.7750215530e-03    6.0312500000e-01
        15   -2.1322910533e+00    4.9067714999e+00   -4.0603217096e+00    1.9280306562e+00    2.1666807283e+00    1.7953086932e+00   -8.2563070669e+00    2.3399593580e-01    8.0000000000e+01    7.1817636490e-03    5.8906250000e-01
        16   -2.1173359164e+00    4.7951430240e+00   -3.9996686441e+00    1.8823327277e+00    2.2220665236e+00    1.7953086932e+00   -8.1768856748e+00    1.5984181385e-01    8.0000000000e+01    7.3187947273e-03    5.5781250000e-01
        17   -2.2248835889e+00    5.0594106823e+00   -3.7305001980e+00    1.5056166091e+00    1.9632590988e+00    1.7953086932e+00   -7.6014820441e+00    1.1241405407e-01    8.0000000000e+01    7.2590112686e-03    5.9531250000e-01
        18   -2.1509763991e+00    4.9023922214e+00   -4.0541703956e+00    1.9031939965e+00    2.1652789646e+00    1.7953086932e+00   -8.2310696164e+00    2.1631156299e-01    8.0000000000e+01    7.2166919708e-03    5.8437500000e-01
        19   -2.2041266391e+00    5.0008391717e+00   -4.0317911370e+00    1.8276644979e+00    2.0268349084e+00    1.7953086932e+00   -8.0501108672e+00    1.9617612854e-01    8.0000000000e+01    7.1359872818e-03    5.9687500000e-01
        20   -2.2065155034e+00    5.0572687944e+00   -4.0449703364e+00    1.8384548330e+00    2.0656458483e+00    1.7953086932e+00   -8.1390950004e+00    2.3317012261e-01    8.0000000000e+01    7.1857571602e-03    6.0000000000e-01
        21   -2.2178148250e+00    5.0940967238e+00   -4.0829981674e+00    1.8651833424e+00    2.1210878421e+00    1.7953086932e+00   -8.0622866262e+00    6.2891923446e-02    8.0000000000e+01    7.8413486481e-03    5.8906250000e-01
        22   -2.2370204297e+00    5.1031517429e+00   -4.0682260332e+00    1.8312056035e+00    2.0039447985e+00    1.7953086932e+00   -7.9922433254e+00    1.2476380043e-01    8.0000000000e+01    7.1626901627e-03    5.9062500000e-01
        23   -2.2740063030e+00    5.2604370453e+00   -3.7034517143e+00    1.4294454112e+00    1.8543102247e+00    1.7953086932e+00   -7.5868667517e+00    2.3379611948e-01    8.0000000000e+01    7.2093009949e-03    6.1093750000e-01
        24   -2.1654510284e+00    4.8467059132e+00   -3.6705034690e+00    1.5050524406e+00    2.0157903770e+00    1.7953086932e+00   -7.6136476996e+00    1.3204516041e-01    8.0000000000e+01    7.1171522141e-03    5.8906250000e-01
        25   -2.2466167108e+00    5.1614151948e+00   -4.1620703539e+00    1.9154536431e+00    2.0294756983e+00    1.7953086932e+00   -8.1332782999e+00    1.4642355457e-01    8.0000000000e+01    7.1102976799e-03    5.3906250000e-01
        26   -2.0415585637e+00    4.5488985678e+00   -3.4976309827e+00    1.4560724189e+00    2.0517227225e+00    1.7953086932e+00   -7.5660714999e+00    2.2140910150e-01    8.0000000000e+01    7.0517659187e-03    6.4218750000e-01
        27   -2.1009509841e+00    4.6132480704e+00   -3.8769259951e+00    1.7759750110e+00    2.1039410268e+00    1.7953086932e+00   -7.7573008160e+00   -1.8874899119e-02    8.0000000000e+01    7.0962309837e-03    5.6875000000e-01
        28   -2.0942310096e+00    4.9275186648e+00   -3.5561490633e+00    1.4619180537e+00    2.1320384425e+00    1.7953086932e+00   -7.6596263548e+00    1.7613015574e-01    8.0000000000e+01    7.4267387390e-03    6.1093750000e-01
        29   -2.0047434890e+00    4.7433892680e+00   -4.2909729926e+00    2.2862295035e+00    2.1868209685e+00    1.7953086932e+00   -8.3100768286e+00    3.6974174348e-02    8.0000000000e+01    7.1086883545e-03    6.2656250000e-01
        30   -2.0255361437e+00    4.6721504099e+00   -4.0039951248e+00    1.9784589812e+00    2.3475820994e+00    1.7953086932e+00   -8.1397241970e+00   -7.1617204582e-03    8.0000000000e+01    7.1337223053e-03    5.9062500000e-01
        31   -2.0515246461e+00    5.0258411891e+00   -3.6807853113e+00    1.6292606652e+00    2.1603602311e+00    1.7953086932e+00   -7.9196012883e+00    2.8314705271e-01    8.0000000000e+01    6.8997740746e-03    5.7968750000e-01
        32   -2.2786966806e+00    5.2646215889e+00   -4.1215284077e+00    1.8428317271e+00    2.0765114192e+00    1.7953086932e+00   -8.1978722334e+00    2.0452371328e-01    8.0000000000e+01    7.5224637985e-03    5.8906250000e-01
        33   -2.0465159101e+00    4.7730679703e+00   -3.8885481750e+00    1.8420322649e+00    2.2400408141e+00    1.7953086932e+00   -8.0296989996e+00    1.0580131723e-01    8.0000000000e+01    7.2062611580e-03    5.5468750000e-01
        34   -2.2287099949e+00    5.3282832396e+00   -4.1588967846e+00    1.9301867897e+00    2.0348111652e+00    1.7953086932e+00   -8.2507069295e+00    2.6169028648e-01    8.0000000000e+01    7.0328116417e-03    6.1718750000e-01
        35   -2.1295933380e+00    4.9982646002e+00   -3.8982785544e+00    1.7686852164e+00    2.1777084704e+00    1.7953086932e+00   -8.1149547461e+00    2.4365902806e-01    8.0000000000e+01    7.5044631958e-03    5.5625000000e-01
        36   -2.1236222748e+00    4.6791442951e+00   -3.5342166560e+00    1.4105943812e+00    2.0035775699e+00    1.7953086932e+00   -7.5022615663e+00    1.6915864717e-01    8.0000000000e+01    6.8464875221e-03    5.8437500000e-01
        37   -2.1752972813e+00    4.9472798297e+00   -4.1321922736e+00    1.9568949923e+00    2.1036370619e+00    1.7953086932e+00   -8.1671924507e+00    1.3605442197e-01    8.0000000000e+01    7.3068141937e-03    5.9531250000e-01
        38   -2.1435503250e+00    4.7717006874e+00   -3.6894516177e+00    1.5459012927e+00    2.1214169932e+00    1.7953086932e+00   -7.7590085173e+00    1.5283121317e-01    8.0000000000e+01    7.3072314262e-03    5.8125000000e-01
        39   -2.1185684413e+00    4.6340312819e+00   -3.3548663655e+00    1.2362979243e+00    1.9545720640e+00    1.7953086932e+00   -7.2139623368e+00    1.0921521406e-01    8.0000000000e+01    7.0480108261e-03    6.4375000000e-01
        40   -2.1403506989e+00    4.7681790102e+00   -4.0315545626e+00    1.8912038637e+00    2.0896648070e+00    1.7953086932e+00   -8.0790910506e+00    1.6256298771e-01    8.0000000000e+01    7.2915554047e-03    5.8906250000e-01
        41   -2.2086191967e+00    5.1368719543e+00   -3.6127679689e+00    1.4041487723e+00    1.9208214226e+00    1.7953086932e+00   -7.4690867492e+00    1.4018866446e-01    8.0000000000e+01    7.1225166321e-03    6.0781250000e-01
        42   -2.0525725434e+00    4.7051853900e+00   -3.6427120331e+00    1.5901394897e+00    2.0502831160e+00    1.7953086932e+00   -7.5877323002e+00    9.9428457848e-02    8.0000000000e+01    7.0789456367e-03    6.3750000000e-01
        43   -1.9688735025e+00    4.3399028681e+00   -3.2212222067e+00    1.2523487042e+00    2.2530450577e+00    1.7953086932e+00   -7.4645910171e+00    1.9501505948e-01    8.0000000000e+01    7.3339939117e-03    5.6250000000e-01
        44   -2.1942684045e+00    4.9311167900e+00   -3.8630032920e+00    1.6687348875e+00    2.1375383899e+00    1.7953086932e+00   -8.0924294722e+00    2.9657909710e-01    8.0000000000e+01    7.4850916862e-03    5.9218750000e-01
