# Index          LocalEnergy            Variance              Weight        NumOfWalkers      AvgSentWalkers         TrialEnergy             DiffEff      LivingFraction
         0   -2.4598103552e+01    5.6619580111e+01    2.9650000000e+03    2.9670000000e+03    0.0000000000e+00   -2.4155389117e+01    9.9664751045e-01    9.8550724638e-01
         1   -2.4634686350e+01    5.7611988954e+01    4.0966164901e+03    2.9670000000e+03    1.2500000000e+00    2.9853575174e+02    9.9774510076e-01    1.0000000000e+00
         2   -2.4571135005e+01    5.9496911965e+01    4.0956573924e+03    4.0490000000e+03    3.5000000000e+00   -1.3093735663e+01    9.9637769643e-01    1.0000000000e+00
         3   -2.4651187032e+01    6.4103297803e+01    4.0962416200e+03    4.1000000000e+03    7.5000000000e-01   -2.5547220978e+01    9.9759684938e-01    9.9585365854e-01
         4   -2.4622769196e+01    6.0158510458e+01    4.0959343154e+03    4.0920000000e+03    5.0000000000e-01   -2.3674147384e+01    9.9721914429e-01    9.9877810362e-01
         5   -2.4620124822e+01    6.1432571626e+01    4.0959852292e+03    4.1010000000e+03    5.0000000000e-01   -2.5842727868e+01    9.9735381129e-01    9.9487929773e-01
         6   -2.4535134020e+01    5.9334876216e+01    4.0959037425e+03    4.0980000000e+03    5.0000000000e-01   -2.5108286901e+01    9.9723642466e-01    9.9707174231e-01
         7   -2.4563977266e+01    6.1681917478e+01    4.0961000498e+03    4.1010000000e+03    5.0000000000e-01   -2.5755092693e+01    9.9684909642e-01    9.9683004145e-01
         8   -2.4534337345e+01    5.9459374950e+01    4.0959729754e+03    4.1030000000e+03    5.0000000000e-01   -2.6271502989e+01    9.9750976729e-01    9.9634413844e-01
         9   -2.4543545484e+01    5.6888954656e+01    4.0959720772e+03    4.0950000000e+03    5.0000000000e-01   -2.4290166913e+01    9.9759774069e-01    9.9487179487e-01
        10   -2.4602286959e+01    5.9133856905e+01    4.0961372500e+03    4.0870000000e+03    1.0000000000e+00   -2.2343862329e+01    9.9682720461e-01    9.9877660876e-01
        11   -2.4663324301e+01    6.0374570828e+01    4.0961299978e+03    4.1000000000e+03    5.0000000000e-01   -2.5578372932e+01    9.9704672920e-01    9.9658536585e-01
        12   -2.4639541935e+01    5.8540339996e+01    4.0959813334e+03    4.1000000000e+03    1.0000000000e+00   -2.5639410274e+01    9.9729719897e-01    9.9634146341e-01
        13   -2.4642206623e+01    6.2256584177e+01    4.0960129942e+03    4.0970000000e+03    7.5000000000e-01   -2.4883652763e+01    9.9748918708e-01    9.9682694655e-01
        14   -2.4602376603e+01    6.0720476830e+01    4.0958961610e+03    4.0950000000e+03    5.0000000000e-01   -2.4398036191e+01    9.9702565358e-01    9.9877899878e-01
        15   -2.4622838319e+01    7.6218601699e+01    4.0960428910e+03    4.1060000000e+03    5.0000000000e-01   -2.7040807463e+01    9.9643967807e-01    9.9512907940e-01
        16   -2.4556785294e+01    6.5829770761e+01    4.0958294423e+03    4.0950000000e+03    7.5000000000e-01   -2.4378667887e+01    9.9612605198e-01    9.9804639805e-01
        17   -2.4531356092e+01    6.0592640303e+01    4.0959993021e+03    4.1040000000e+03    5.0000000000e-01   -2.6508005426e+01    9.9711665778e-01    9.9512670565e-01
        18   -2.4501376026e+01    6.2107737869e+01    4.0959442629e+03    4.0950000000e+03    1.0000000000e+00   -2.4287185659e+01    9.9758453499e-01    9.9731379731e-01
        19   -2.4468207770e+01    5.9517251934e+01    4.0959091944e+03    4.0950000000e+03    5.0000000000e-01   -2.4257205594e+01    9.9620471967e-01    9.9755799756e-01
        20   -2.4639348052e+01    1.1473218033e+02    4.0963825448e+03    4.1050000000e+03    7.5000000000e-01   -2.6663062937e+01    9.9594792879e-01    9.9439707674e-01
        21   -2.4621279319e+01    6.3023674036e+01    4.0959764331e+03    4.0920000000e+03    7.5000000000e-01   -2.3662308404e+01    9.9650099850e-01    9.9755620723e-01
        22   -2.4567133950e+01    6.1253145362e+01    4.0958776578e+03    4.0940000000e+03    7.5000000000e-01   -2.4132878821e+01    9.9665340094e-01    9.9487054226e-01
        23   -2.4663682151e+01    6.0579362876e+01    4.0962478939e+03    4.0880000000e+03    5.0000000000e-01   -2.2612099114e+01    9.9711535460e-01    9.9804305284e-01
        24   -2.4600433542e+01    6.0047887778e+01    4.0958774672e+03    4.0960000000e+03    5.0000000000e-01   -2.4663682151e+01    9.9667151412e-01    9.9584960938e-01
        25   -2.4575563185e+01    6.1439478193e+01    4.0959464493e+03    4.0890000000e+03    7.5000000000e-01   -2.2889987188e+01    9.9688399083e-01    9.9730985571e-01
        26   -2.4560259142e+01    5.9176281609e+01    4.0959138108e+03    4.0880000000e+03    5.0000000000e-01   -2.2620528349e+01    9.9695980001e-01    9.9730919765e-01
        27   -2.4660713218e+01    6.2245537928e+01    4.0962246720e+03    4.0940000000e+03    7.5000000000e-01   -2.4071858644e+01    9.9709836511e-01    9.9829018075e-01
        28   -2.4656557331e+01    5.8532443697e+01    4.0960171727e+03    4.1040000000e+03    7.5000000000e-01   -2.6611933350e+01    9.9781554120e-01    9.9512670565e-01
        29   -2.4634292480e+01    5.8873298851e+01    4.0958945928e+03    4.0900000000e+03    7.5000000000e-01   -2.3190639649e+01    9.9691891717e-01    9.9804400978e-01
        30   -2.4655833179e+01    6.1206488741e+01    4.0959897029e+03    4.0920000000e+03    5.0000000000e-01   -2.3657252832e+01    9.9713192461e-01    9.9755620723e-01
        31   -2.4663213693e+01    6.3259744272e+01    4.0959446920e+03    4.0900000000e+03    1.0000000000e+00   -2.3189915497e+01    9.9737711181e-01    9.9755501222e-01
        32   -2.4649213107e+01    6.1082561348e+01    4.0960233739e+03    4.0960000000e+03    5.0000000000e-01   -2.4663213693e+01    9.9695092249e-01    9.9731445312e-01
