#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            IonIon              LocalECP            NonLocalECP         BlockWeight         BlockCPU            AcceptRatio         
         0   -1.2429380204e+01    1.5471935541e+02   -2.1966487717e+01    9.5371075131e+00    1.7993694782e+01    1.3050036718e+01   -5.3920154197e+01    9.0993497932e-01    2.0480000000e+04    7.5405020118e+00    5.4161376953e-01
         1   -1.2422267798e+01    1.5451514347e+02   -2.1922910452e+01    9.5006426536e+00    1.7991427144e+01    1.3050036718e+01   -5.3928239062e+01    9.6386474853e-01    2.0480000000e+04    7.5502385497e+00    5.4181152344e-01
         2   -1.2431200277e+01    1.5475535358e+02   -2.1994293549e+01    9.5630932715e+00    1.7980494115e+01    1.3050036718e+01   -5.3931520503e+01    9.0669612153e-01    2.0480000000e+04    7.5542557836e+00    5.4171142578e-01
         3   -1.2427188889e+01    1.5465070516e+02   -2.1976913958e+01    9.5497250694e+00    1.8015659097e+01    1.3050036718e+01   -5.4019272301e+01    9.7666252774e-01    2.0480000000e+04    7.5517790318e+00    5.4131347656e-01
         4   -1.2426743005e+01    1.5462101883e+02   -2.1923138473e+01    9.4963954681e+00    1.8033766745e+01    1.3050036718e+01   -5.3957991226e+01    9.5104929074e-01    2.0480000000e+04    7.5495272279e+00    5.4153320312e-01
         5   -1.2426991016e+01    1.5464983376e+02   -2.1971671131e+01    9.5446801149e+00    1.7992845785e+01    1.3050036718e+01   -5.3957930163e+01    9.4337652933e-01    2.0480000000e+04    7.5454083085e+00    5.4055664062e-01
         6   -1.2433044897e+01    1.5479094259e+02   -2.2020142879e+01    9.5870979817e+00    1.8005408166e+01    1.3050036718e+01   -5.4045349926e+01    9.6976216325e-01    2.0480000000e+04    7.5560795069e+00    5.4235351563e-01
         7   -1.2439208557e+01    1.5496845535e+02   -2.1997303194e+01    9.5580946370e+00    1.8033350775e+01    1.3050036718e+01   -5.4011156694e+01    9.3046600654e-01    2.0480000000e+04    7.5582276583e+00    5.4189208984e-01
         8   -1.2424717832e+01    1.5459387736e+02   -2.1903801283e+01    9.4790834512e+00    1.7992725676e+01    1.3050036718e+01   -5.3897779010e+01    9.5121533296e-01    2.0480000000e+04    7.5410099626e+00    5.4224365234e-01
         9   -1.2435921088e+01    1.5486066442e+02   -2.2064782011e+01    9.6288609236e+00    1.8006413414e+01    1.3050036718e+01   -5.4038062023e+01    9.1682988004e-01    2.0480000000e+04    7.5535402894e+00    5.4060546875e-01
        10   -1.2429583647e+01    1.5471369654e+02   -2.2007235736e+01    9.5776520885e+00    1.8000907692e+01    1.3050036718e+01   -5.3973413823e+01    9.1523367735e-01    2.0480000000e+04    7.5413101912e+00    5.4129394531e-01
        11   -1.2430429156e+01    1.5474699366e+02   -2.2005346030e+01    9.5749168738e+00    1.7964105147e+01    1.3050036718e+01   -5.3949836265e+01    9.3034836975e-01    2.0480000000e+04    7.5401724577e+00    5.4254638672e-01
        12   -1.2430044751e+01    1.5474130406e+02   -2.1965865281e+01    9.5358205306e+00    1.7976752720e+01    1.3050036718e+01   -5.3874916011e+01    8.8226129077e-01    2.0480000000e+04    7.5400230289e+00    5.4184082031e-01
