#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            IonIon              LocalECP            NonLocalECP         BlockWeight         BlockCPU            AcceptRatio         
         0   -1.2460649505e+01    1.5549719036e+02   -2.1984120654e+01    9.5234711487e+00    1.8323755484e+01    1.3050036718e+01   -5.4519136169e+01    1.1612233123e+00    8.0000000000e+01    2.1480798721e-02    4.3250000000e-01
         1   -1.2556301038e+01    1.5789772238e+02   -2.3416662661e+01    1.0860361623e+01    1.7578711603e+01    1.3050036718e+01   -5.4997848697e+01    9.5243771516e-01    8.0000000000e+01    2.0739436150e-02    4.4875000000e-01
         2   -1.2387076304e+01    1.5369769242e+02   -2.1610682839e+01    9.2236065351e+00    1.8118491845e+01    1.3050036718e+01   -5.3513291883e+01    7.3408048160e-01    8.0000000000e+01    2.1024763584e-02    4.2437500000e-01
         3   -1.2411112119e+01    1.5417244403e+02   -2.1104403394e+01    8.6932912748e+00    1.8081810052e+01    1.3050036718e+01   -5.3201823635e+01    9.6557347153e-01    8.0000000000e+01    2.1786451340e-02    4.5437500000e-01
         4   -1.2395541659e+01    1.5378284675e+02   -2.1248706905e+01    8.8531652464e+00    1.7885288526e+01    1.3050036718e+01   -5.3184190116e+01    1.0001579667e+00    8.0000000000e+01    2.1128475666e-02    4.4687500000e-01
         5   -1.2468123834e+01    1.5558780249e+02   -2.1093231087e+01    8.6251072536e+00    1.7832632612e+01    1.3050036718e+01   -5.2314102582e+01    3.3820216490e-01    8.0000000000e+01    2.1457731724e-02    4.2250000000e-01
         6   -1.2382088519e+01    1.5350499599e+02   -2.3089227774e+01    1.0707139255e+01    1.8268561399e+01    1.3050036718e+01   -5.5032292930e+01    6.2446703899e-01    8.0000000000e+01    2.0996987820e-02    4.1125000000e-01
         7   -1.2378066250e+01    1.5337362198e+02   -2.1596258397e+01    9.2181921462e+00    1.8041679184e+01    1.3050036718e+01   -5.3724857397e+01    1.0368830983e+00    8.0000000000e+01    2.1288752556e-02    4.2750000000e-01
         8   -1.2469424952e+01    1.5578667263e+02   -2.1282050275e+01    8.8126253233e+00    1.7575211318e+01    1.3050036718e+01   -5.2481507963e+01    5.7420965217e-01    8.0000000000e+01    2.1047711372e-02    4.4562500000e-01
         9   -1.2444162260e+01    1.5505203667e+02   -2.2731693627e+01    1.0287531367e+01    1.7891338116e+01    1.3050036718e+01   -5.4319171208e+01    6.4610274708e-01    8.0000000000e+01    2.1219253540e-02    3.9062500000e-01
