# Index          LocalEnergy            Variance              Weight        NumOfWalkers      AvgSentWalkers         TrialEnergy             DiffEff      LivingFraction
         0   -2.2425453502e+00    4.4584129901e-02    4.0860000000e+03    4.0820000000e+03    0.0000000000e+00   -2.2417608023e+00    9.9978218834e-01    9.9975502205e-01
         1   -2.2409829919e+00    4.8241139045e-02    4.0919942881e+03    4.0820000000e+03    2.5000000000e-01   -1.7536670819e+00    9.9987679178e-01    1.0000000000e+00
         2   -2.2420766744e+00    5.4201205647e-02    4.0960153091e+03    4.1010000000e+03    1.0000000000e+00   -2.4849747265e+00    9.9930580860e-01    9.9975615703e-01
         3   -2.2374014393e+00    5.9230643993e-02    4.0959506002e+03    4.1000000000e+03    2.5000000000e-01   -2.4372938691e+00    9.9906633705e-01    9.9926829268e-01
         4   -2.2394447004e+00    4.5800096086e-02    4.0960201665e+03    4.0970000000e+03    5.0000000000e-01   -2.2862236048e+00    9.9939971639e-01    9.9951183793e-01
         5   -2.2397548697e+00    4.4953662242e-02    4.0960020984e+03    4.0950000000e+03    2.5000000000e-01   -2.1906106140e+00    9.9887808716e-01    9.9975579976e-01
         6   -2.2395596950e+00    3.3927865006e-02    4.0959949928e+03    4.0940000000e+03    0.0000000000e+00   -2.1420747701e+00    9.9930342538e-01    1.0000000000e+00
         7   -2.2398612145e+00    3.3991689194e-02    4.0960061521e+03    4.1000000000e+03    5.0000000000e-01   -2.4347768896e+00    9.9939300423e-01    9.9804878049e-01
         8   -2.2433843369e+00    2.8751563457e-02    4.0960371066e+03    4.0920000000e+03    5.0000000000e-01   -2.0444532849e+00    9.9922285166e-01    1.0000000000e+00
         9   -2.2409501002e+00    2.8318253138e-02    4.0959748890e+03    4.0970000000e+03    5.0000000000e-01   -2.2922065024e+00    9.9954450135e-01    9.9975591897e-01
        10   -2.2427334463e+00    3.4318053877e-02    4.0960172219e+03    4.0960000000e+03    2.5000000000e-01   -2.2409501002e+00    9.9854448332e-01    9.9951171875e-01
        11   -2.2420074970e+00    3.8341617018e-02    4.0959907710e+03    4.0950000000e+03    2.5000000000e-01   -2.1938993599e+00    9.9960931316e-01    9.9951159951e-01
        12   -2.2442753221e+00    4.9127296801e-02    4.0960341260e+03    4.0980000000e+03    2.5000000000e-01   -2.3396399129e+00    9.9943312111e-01    9.9902391410e-01
        13   -2.2429222824e+00    3.5158431283e-02    4.0959863524e+03    4.0950000000e+03    5.0000000000e-01   -2.1954412357e+00    9.9953517112e-01    9.9975579976e-01
        14   -2.2443770256e+00    3.0857547760e-02    4.0960148785e+03    4.0970000000e+03    0.0000000000e+00   -2.2917444479e+00    9.9977606870e-01    9.9951183793e-01
        15   -2.2439447488e+00    2.8546983753e-02    4.0959956968e+03    4.0960000000e+03    2.5000000000e-01   -2.2443770256e+00    9.9971828861e-01    9.9975585938e-01
        16   -2.2411466697e+00    3.1368501054e-02    4.0959725963e+03    4.0970000000e+03    2.5000000000e-01   -2.2927669143e+00    9.9976247744e-01    1.0000000000e+00
        17   -2.2417834444e+00    2.4654391127e-02    4.0960068507e+03    4.0980000000e+03    2.5000000000e-01   -2.3387790856e+00    9.9950636412e-01    9.9951195705e-01
        18   -2.2422728709e+00    3.2677019713e-02    4.0960045884e+03    4.0960000000e+03    2.5000000000e-01   -2.2417834444e+00    9.9949697865e-01    9.9926757812e-01
        19   -2.2451189480e+00    4.9207880004e-02    4.0960422447e+03    4.0970000000e+03    5.0000000000e-01   -2.2910950364e+00    9.9907138139e-01    1.0000000000e+00
        20   -2.2435243702e+00    3.7189589608e-02    4.0959821805e+03    4.0970000000e+03    0.0000000000e+00   -2.2939411135e+00    9.9970417106e-01    9.9975591897e-01
        21   -2.2407183901e+00    3.8816014194e-02    4.0959771509e+03    4.0960000000e+03    0.0000000000e+00   -2.2435243702e+00    9.9987347277e-01    9.9951171875e-01
