#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            IonIon              LocalECP            NonLocalECP         BlockWeight         BlockCPU            AcceptRatio         
         0   -2.1925292613e+00    4.8301162704e+00   -3.8714756190e+00    1.6789463577e+00    1.9236579531e+00    1.7953086932e+00   -7.7038745593e+00    1.1343229402e-01    8.0000000000e+01    7.6647996902e-03    5.9531250000e-01
         1   -2.2062521138e+00    4.8844161003e+00   -4.2026054095e+00    1.9963532957e+00    1.9561197651e+00    1.7953086932e+00   -8.1164723050e+00    1.6243843711e-01    8.0000000000e+01    7.2134733200e-03    5.4375000000e-01
         2   -2.2478208357e+00    5.0681528395e+00   -3.8310978213e+00    1.5832769856e+00    1.9415274346e+00    1.7953086932e+00   -7.7105192453e+00    1.4258529619e-01    8.0000000000e+01    7.2051286697e-03    5.6406250000e-01
         3   -2.2051708144e+00    4.8895480947e+00   -4.1288357829e+00    1.9236649685e+00    2.1101797373e+00    1.7953086932e+00   -8.1237762731e+00    8.9452059672e-02    8.0000000000e+01    7.2951912880e-03    5.4531250000e-01
         4   -2.2335822323e+00    5.0122091892e+00   -4.7379653171e+00    2.5043830848e+00    1.8146660323e+00    1.7953086932e+00   -8.6420871964e+00    2.9414715383e-01    8.0000000000e+01    6.9060325623e-03    5.5937500000e-01
         5   -2.2211489957e+00    4.9740098356e+00   -3.7226730029e+00    1.5015240071e+00    1.8702239862e+00    1.7953086932e+00   -7.4778616985e+00    8.9656016161e-02    8.0000000000e+01    7.1427822113e-03    6.0937500000e-01
         6   -2.2357346446e+00    5.0255087062e+00   -4.0488292923e+00    1.8130946476e+00    2.0865275956e+00    1.7953086932e+00   -8.1442345505e+00    2.1356896933e-01    8.0000000000e+01    7.3317289352e-03    5.7500000000e-01
         7   -2.2397747991e+00    5.0444535841e+00   -3.8085386951e+00    1.5687638960e+00    1.9448600850e+00    1.7953086932e+00   -7.7495621692e+00    2.0085469586e-01    8.0000000000e+01    7.1633458138e-03    5.9375000000e-01
         8   -2.1949975172e+00    4.8477059464e+00   -3.7366416829e+00    1.5416441657e+00    1.9482378070e+00    1.7953086932e+00   -7.5303434172e+00    5.0155234001e-02    8.0000000000e+01    7.0855021477e-03    5.8750000000e-01
         9   -2.2872331008e+00    5.2578172976e+00   -4.8062203247e+00    2.5189872239e+00    1.9948251905e+00    1.7953086932e+00   -8.7719391817e+00    1.7558497322e-01    8.0000000000e+01    7.3477029800e-03    5.4843750000e-01
        10   -2.2741449742e+00    5.1933714697e+00   -3.9216671372e+00    1.6475221630e+00    1.8294313545e+00    1.7953086932e+00   -7.7223834155e+00    1.7597623055e-01    8.0000000000e+01    7.2613954544e-03    6.0781250000e-01
        11   -2.2164263985e+00    4.9345901136e+00   -3.9393143030e+00    1.7228879045e+00    1.9406906178e+00    1.7953086932e+00   -7.8901995436e+00    2.1488592957e-01    8.0000000000e+01    7.2170495987e-03    5.8125000000e-01
        12   -2.2773914587e+00    5.2070171724e+00   -4.7881214948e+00    2.5107300361e+00    1.9642579044e+00    1.7953086932e+00   -8.6518028618e+00    1.0411476936e-01    8.0000000000e+01    7.2432756424e-03    5.4531250000e-01
        13   -2.2225994165e+00    4.9540546232e+00   -3.8610070525e+00    1.6384076359e+00    1.9555232738e+00    1.7953086932e+00   -7.8729481670e+00    2.6110914758e-01    8.0000000000e+01    7.3435902596e-03    6.1875000000e-01
        14   -2.2334431652e+00    5.0132461407e+00   -3.8312586760e+00    1.5978155107e+00    1.8681495376e+00    1.7953086932e+00   -7.8155515967e+00    3.2083468986e-01    8.0000000000e+01    7.2684288025e-03    5.8125000000e-01
        15   -2.2622696848e+00    5.1955535986e+00   -4.1590797639e+00    1.8968100790e+00    1.9560865500e+00    1.7953086932e+00   -8.0930862456e+00    1.8261123855e-01    8.0000000000e+01    7.3949694633e-03    5.7500000000e-01
