#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            IonIon              LocalECP            NonLocalECP         BlockWeight         BlockCPU            AcceptRatio         
         0   -2.2404842475e+00    5.0573924418e+00   -4.0635974782e+00    1.8231132307e+00    1.9689247127e+00    1.7953086932e+00   -8.0058209970e+00    1.7799011296e-01    1.0240000000e+04    1.2205782533e+00    7.0102539063e-01
         1   -2.2366196242e+00    5.0314031858e+00   -4.0397772451e+00    1.8031576210e+00    1.9594271190e+00    1.7953086932e+00   -7.9771915100e+00    1.8267845272e-01    1.0240000000e+04    1.2203105092e+00    6.9973144531e-01
         2   -2.2346367933e+00    5.0446934865e+00   -4.0549518563e+00    1.8203150631e+00    1.9610175970e+00    1.7953086932e+00   -7.9937356972e+00    1.8245755065e-01    1.0240000000e+04    1.2234266996e+00    6.9893798828e-01
         3   -2.2412692633e+00    5.0748754413e+00   -4.0983894844e+00    1.8571202211e+00    1.9576693220e+00    1.7953086932e+00   -8.0243208572e+00    1.7295335763e-01    1.0240000000e+04    1.2224219441e+00    6.9776611328e-01
         4   -2.2430629403e+00    5.0685451546e+00   -4.0900696476e+00    1.8470067074e+00    1.9524829817e+00    1.7953086932e+00   -8.0107635614e+00    1.7290223887e-01    1.0240000000e+04    1.2162876725e+00    6.9835205078e-01
         5   -2.2390606359e+00    5.0581292221e+00   -4.0635693225e+00    1.8245086866e+00    1.9582299086e+00    1.7953086932e+00   -8.0040244604e+00    1.8691653604e-01    1.0240000000e+04    1.2164757252e+00    6.9689941406e-01
         6   -2.2354293920e+00    5.0419513868e+00   -4.0413152569e+00    1.8058858650e+00    1.9721269193e+00    1.7953086932e+00   -7.9888748980e+00    1.8012402845e-01    1.0240000000e+04    1.2233247757e+00    6.9796142578e-01
         7   -2.2390106191e+00    5.0535475705e+00   -4.0639666625e+00    1.8249560434e+00    1.9644079636e+00    1.7953086932e+00   -7.9990740879e+00    1.7539076857e-01    1.0240000000e+04    1.2149415016e+00    6.9630126953e-01
         8   -2.2346055114e+00    5.0171586609e+00   -4.0639832806e+00    1.8293777691e+00    1.9375476534e+00    1.7953086932e+00   -7.9830290851e+00    1.8618945792e-01    1.0240000000e+04    1.2109134793e+00    7.0189208984e-01
         9   -2.2409138648e+00    5.0928154471e+00   -4.0987898422e+00    1.8578759774e+00    1.9538076963e+00    1.7953086932e+00   -8.0312742190e+00    1.8336798723e-01    1.0240000000e+04    1.2135322690e+00    6.9743652344e-01
        10   -2.2381355137e+00    5.0376520268e+00   -4.0027983928e+00    1.7646628791e+00    1.9500120346e+00    1.7953086932e+00   -7.9320790885e+00    1.8395996786e-01    1.0240000000e+04    1.2127442360e+00    7.0131835938e-01
        11   -2.2397642359e+00    5.0550394947e+00   -4.0499368380e+00    1.8101726021e+00    1.9545964502e+00    1.7953086932e+00   -7.9786443887e+00    1.7880240737e-01    1.0240000000e+04    1.2194979787e+00    6.9979248047e-01
        12   -2.2358691675e+00    5.0287461606e+00   -4.0362897008e+00    1.8004205332e+00    1.9573712937e+00    1.7953086932e+00   -7.9643450696e+00    1.7537538192e-01    1.0240000000e+04    1.2139050364e+00    6.9930419922e-01
        13   -2.2387505653e+00    5.0605379953e+00   -4.0496211780e+00    1.8108706126e+00    1.9562606104e+00    1.7953086932e+00   -7.9807850636e+00    1.7959458196e-01    1.0240000000e+04    1.2140702605e+00    6.9681396484e-01
        14   -2.2405824825e+00    5.0575938603e+00   -4.0416974718e+00    1.8011149893e+00    1.9500713920e+00    1.7953086932e+00   -7.9619298292e+00    1.7485227224e-01    1.0240000000e+04    1.2186600566e+00    7.0057373047e-01
        15   -2.2372381265e+00    5.0474224364e+00   -4.0538548607e+00    1.8166167342e+00    1.9509526987e+00    1.7953086932e+00   -7.9660875703e+00    1.6597131771e-01    1.0240000000e+04    1.2211219072e+00    6.9879150391e-01
        16   -2.2413303040e+00    5.0606690117e+00   -4.0179719037e+00    1.7766415997e+00    1.9569783375e+00    1.7953086932e+00   -7.9550738800e+00    1.8481494559e-01    1.0240000000e+04    1.2195087671e+00    7.0054931641e-01
        17   -2.2382328947e+00    5.0510373383e+00   -4.0079195934e+00    1.7696866987e+00    1.9543136029e+00    1.7953086932e+00   -7.9489618519e+00    1.9141996239e-01    1.0240000000e+04    1.2181219459e+00    6.9949951172e-01
        18   -2.2358386922e+00    5.0762809026e+00   -4.0476705445e+00    1.8118318523e+00    1.9641327339e+00    1.7953086932e+00   -7.9980630287e+00    1.9095105704e-01    1.0240000000e+04    1.2269809842e+00    7.0056152344e-01
        19   -2.2398561935e+00    5.0689576719e+00   -4.0349389316e+00    1.7950827380e+00    1.9440220886e+00    1.7953086932e+00   -7.9469584067e+00    1.7268869328e-01    1.0240000000e+04    1.2163640261e+00    6.9851074219e-01
        20   -2.2368372013e+00    5.0466466560e+00   -4.0611983170e+00    1.8243611158e+00    1.9650619137e+00    1.7953086932e+00   -8.0028890630e+00    1.8132013909e-01    1.0240000000e+04    1.2201957703e+00    6.9785156250e-01
        21   -2.2362540046e+00    5.0279511433e+00   -4.0531425171e+00    1.8168885125e+00    1.9577930943e+00    1.7953086932e+00   -7.9932105634e+00    1.8696625881e-01    1.0240000000e+04    1.2214007974e+00    6.9677734375e-01
        22   -2.2373465844e+00    5.0380960218e+00   -4.0601508169e+00    1.8228042325e+00    1.9630943302e+00    1.7953086932e+00   -8.0132274517e+00    1.9467361146e-01    1.0240000000e+04    1.2185119390e+00    6.9562988281e-01
        23   -2.2403008749e+00    5.0473330733e+00   -4.0435892464e+00    1.8032883716e+00    1.9522522901e+00    1.7953086932e+00   -7.9791743746e+00    1.8802414488e-01    1.0240000000e+04    1.2204327583e+00    6.9993896484e-01
        24   -2.2339061828e+00    5.0886928617e+00   -4.0190348016e+00    1.7851286188e+00    1.9573924898e+00    1.7953086932e+00   -7.9711306681e+00    1.9939468353e-01    1.0240000000e+04    1.2176851630e+00    6.9985351562e-01
        25   -2.2368592237e+00    5.0688522661e+00   -4.0375391196e+00    1.8006798959e+00    1.9598457181e+00    1.7953086932e+00   -7.9834095081e+00    1.9071597715e-01    1.0240000000e+04    1.2220113277e+00    7.0134277344e-01
        26   -2.2371049451e+00    5.0450255313e+00   -4.0354138999e+00    1.7983089548e+00    1.9557238492e+00    1.7953086932e+00   -7.9763423578e+00    1.8989591553e-01    1.0240000000e+04    1.2218874693e+00    7.0158691406e-01
        27   -2.2368685633e+00    5.0356929832e+00   -4.0174086661e+00    1.7805401028e+00    1.9564093276e+00    1.7953086932e+00   -7.9627415716e+00    1.9361488460e-01    1.0240000000e+04    1.2208694816e+00    6.9902343750e-01
