# Index          LocalEnergy            Variance              Weight        NumOfWalkers      AvgSentWalkers         TrialEnergy             DiffEff      LivingFraction
         0   -2.2519054406e+00    2.5471495491e-02    4.0970000000e+03    4.0960000000e+03    0.0000000000e+00   -2.2548002774e+00    9.9437701962e-01    9.9926757812e-01
         1   -2.2536818903e+00    6.4698247161e-02    4.0949754554e+03    4.0960000000e+03    0.0000000000e+00   -2.2641109819e+00    9.9350007946e-01    9.9902343750e-01
         2   -2.2511792204e+00    4.6253595581e-02    4.0958373036e+03    4.0930000000e+03    5.0000000000e-01   -2.2170473790e+00    9.9605706682e-01    9.9926704129e-01
         3   -2.2462522576e+00    2.2502478712e-02    4.0957691536e+03    4.0930000000e+03    2.5000000000e-01   -2.2145447091e+00    9.9446969994e-01    9.9975568043e-01
         4   -2.2460693407e+00    2.1519575620e-02    4.0959986691e+03    4.1010000000e+03    5.0000000000e-01   -2.3072501912e+00    9.9425631477e-01    9.9878078517e-01
         5   -2.2458263751e+00    2.7948747583e-02    4.0960091557e+03    4.0980000000e+03    5.0000000000e-01   -2.2704774447e+00    9.9370147720e-01    9.9975597853e-01
         6   -2.2469211029e+00    3.8799775672e-02    4.0960661840e+03    4.1000000000e+03    5.0000000000e-01   -2.2946306738e+00    9.9647055457e-01    9.9878048780e-01
         7   -2.2488410022e+00    4.7845403591e-02    4.0960973053e+03    4.0970000000e+03    5.0000000000e-01   -2.2591266443e+00    9.9590842369e-01    9.9975591897e-01
         8   -2.2459788323e+00    2.6488787058e-02    4.0959632951e+03    4.0980000000e+03    2.5000000000e-01   -2.2732491062e+00    9.9479615046e-01    9.9902391410e-01
         9   -2.2468151195e+00    2.8172614340e-02    4.0960192915e+03    4.0960000000e+03    2.5000000000e-01   -2.2459788323e+00    9.9650403010e-01    9.9853515625e-01
        10   -2.2493008833e+00    4.2614253885e-02    4.0960857430e+03    4.0940000000e+03    0.0000000000e+00   -2.2223950946e+00    9.9478371459e-01    9.9951148021e-01
        11   -2.2496282005e+00    4.3441024561e-02    4.0960054585e+03    4.0970000000e+03    2.5000000000e-01   -2.2615064247e+00    9.9666742473e-01    9.9951183793e-01
        12   -2.2517850297e+00    4.0025318246e-02    4.0961593296e+03    4.1020000000e+03    7.5000000000e-01   -2.3228167962e+00    9.9608654400e-01    9.9926864944e-01
        13   -2.2482282950e+00    4.4287496463e-02    4.0958976853e+03    4.1030000000e+03    5.0000000000e-01   -2.3371613158e+00    9.9579803098e-01    9.9829393127e-01
        14   -2.2486698678e+00    5.0537735423e-02    4.0960220460e+03    4.0970000000e+03    2.5000000000e-01   -2.2604338364e+00    9.9498203896e-01    9.9926775690e-01
