#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            IonIon              LocalECP            NonLocalECP         BlockWeight         BlockCPU            AcceptRatio         
         0   -2.2514426944e+00    5.0862448066e+00   -4.4099506996e+00    2.1585080053e+00    1.9197641819e+00    1.7953086932e+00   -8.2224630154e+00    9.7439440563e-02    8.0000000000e+01    7.5725913048e-03    5.7031250000e-01
         1   -2.2486402652e+00    5.0734826414e+00   -3.9274220958e+00    1.6787818306e+00    1.9131341075e+00    1.7953086932e+00   -7.7114381655e+00    7.5573268955e-02    8.0000000000e+01    7.5069665909e-03    5.6093750000e-01
         2   -2.2249424222e+00    4.9674205006e+00   -3.9523852997e+00    1.7274428775e+00    2.0510984442e+00    1.7953086932e+00   -8.0803302724e+00    2.8153783527e-01    8.0000000000e+01    7.7776908875e-03    5.8125000000e-01
         3   -2.2533276321e+00    5.0970525489e+00   -3.7724775376e+00    1.5191499054e+00    1.9062300149e+00    1.7953086932e+00   -7.6246148808e+00    1.5059863506e-01    8.0000000000e+01    7.2987079620e-03    5.7656250000e-01
         4   -2.1945302279e+00    4.8547571098e+00   -3.5824733802e+00    1.3879431523e+00    1.9050992033e+00    1.7953086932e+00   -7.5375720195e+00    2.5469074274e-01    8.0000000000e+01    7.2593092918e-03    6.2187500000e-01
         5   -2.2457230602e+00    5.0601243011e+00   -4.0898336548e+00    1.8441105946e+00    2.1054669142e+00    1.7953086932e+00   -8.1786254780e+00    1.8801621579e-01    8.0000000000e+01    7.6310634613e-03    5.8125000000e-01
         6   -2.2242055798e+00    4.9721060221e+00   -3.9979211488e+00    1.7737155690e+00    2.1551682345e+00    1.7953086932e+00   -8.1879728825e+00    2.3957480601e-01    8.0000000000e+01    7.2565078735e-03    5.7031250000e-01
         7   -2.2309605128e+00    4.9960020734e+00   -3.8288801573e+00    1.5979196445e+00    1.8557992915e+00    1.7953086932e+00   -7.9493998078e+00    4.6941166589e-01    8.0000000000e+01    7.2662830353e-03    5.8750000000e-01
         8   -2.2635374772e+00    5.1391877780e+00   -3.8177586264e+00    1.5542211493e+00    1.9964456265e+00    1.7953086932e+00   -7.8132599711e+00    2.0374702489e-01    8.0000000000e+01    7.4447393417e-03    5.8125000000e-01
         9   -2.2326991586e+00    5.0019589299e+00   -3.8883666381e+00    1.6556674794e+00    1.9391713583e+00    1.7953086932e+00   -7.9021702374e+00    2.7932354776e-01    8.0000000000e+01    7.1657299995e-03    5.2968750000e-01
        10   -2.2589249676e+00    5.1326926886e+00   -5.2602268631e+00    3.0013018955e+00    2.0513625337e+00    1.7953086932e+00   -8.9453155906e+00   -1.6158249949e-01    8.0000000000e+01    7.4250102043e-03    5.6250000000e-01
        11   -2.2039120127e+00    4.8862967443e+00   -4.3764574983e+00    2.1725454855e+00    2.0529629018e+00    1.7953086932e+00   -8.6557458573e+00    4.3101676402e-01    8.0000000000e+01    7.2062015533e-03    5.5625000000e-01
        12   -2.2299723383e+00    4.9969596038e+00   -3.7778925648e+00    1.5479202265e+00    1.8368489449e+00    1.7953086932e+00   -7.5129442501e+00    1.0289404718e-01    8.0000000000e+01    7.0281028748e-03    5.7500000000e-01
        13   -2.2190781189e+00    4.9528723718e+00   -3.7637921577e+00    1.5447140387e+00    2.0203754885e+00    1.7953086932e+00   -7.7899991536e+00    2.1052281416e-01    8.0000000000e+01    7.3362588882e-03    5.9531250000e-01
        14   -2.2148260818e+00    4.9484346053e+00   -4.2851976539e+00    2.0703715721e+00    2.0260652891e+00    1.7953086932e+00   -8.3315874300e+00    2.2501579376e-01    8.0000000000e+01    7.3952674866e-03    5.6250000000e-01
        15   -2.2098535292e+00    4.8989073927e+00   -4.0192401529e+00    1.8093866237e+00    2.0978491889e+00    1.7953086932e+00   -8.1248494949e+00    2.1245145989e-01    8.0000000000e+01    7.7382922173e-03    5.8750000000e-01
        16   -2.2485656570e+00    5.0802687033e+00   -4.0824683913e+00    1.8339027343e+00    2.0109972100e+00    1.7953086932e+00   -8.0551128133e+00    1.6633851876e-01    8.0000000000e+01    7.6622366905e-03    5.8906250000e-01
        17   -2.2456442987e+00    5.0639128975e+00   -3.7693247546e+00    1.5236804559e+00    1.9192963717e+00    1.7953086932e+00   -7.6365263549e+00    1.5259653538e-01    8.0000000000e+01    7.4262022972e-03    6.1406250000e-01
        18   -2.2694465802e+00    5.1800756690e+00   -4.5690798163e+00    2.2996332361e+00    1.9008686070e+00    1.7953086932e+00   -8.6244286192e+00    3.5917150261e-01    8.0000000000e+01    7.2802901268e-03    6.0156250000e-01
        19   -2.2400948145e+00    5.0365467033e+00   -4.3935569658e+00    2.1534621513e+00    1.8906709350e+00    1.7953086932e+00   -8.2680744253e+00    1.8853783133e-01    8.0000000000e+01    7.2109699249e-03    6.0625000000e-01
        20   -2.2155191755e+00    4.9266638618e+00   -3.8237588570e+00    1.6082396815e+00    1.9320975948e+00    1.7953086932e+00   -7.6757313804e+00    1.2456623539e-01    8.0000000000e+01    7.2194933891e-03    5.8593750000e-01
        21   -2.2130013440e+00    4.9169446798e+00   -4.0187076098e+00    1.8057062658e+00    1.9479122525e+00    1.7953086932e+00   -7.8751206271e+00    1.1319207159e-01    8.0000000000e+01    7.2625279427e-03    6.0000000000e-01
        22   -2.2077445774e+00    4.8947644447e+00   -3.8989708170e+00    1.6912262396e+00    1.9442887485e+00    1.7953086932e+00   -7.9956190652e+00    3.5705080636e-01    8.0000000000e+01    7.1095228195e-03    5.6250000000e-01
        23   -2.2501346108e+00    5.0798576794e+00   -3.8035321195e+00    1.5533975088e+00    1.8415975811e+00    1.7953086932e+00   -7.6013637628e+00    1.6092536900e-01    8.0000000000e+01    7.5705051422e-03    5.9375000000e-01
        24   -2.2581066969e+00    5.1164018119e+00   -3.9515144194e+00    1.6934077226e+00    1.9410954848e+00    1.7953086932e+00   -7.9015086207e+00    2.1359002329e-01    8.0000000000e+01    7.1530938148e-03    5.7187500000e-01
        25   -2.2642396531e+00    5.1444897388e+00   -4.2223382784e+00    1.9580986252e+00    1.9718644851e+00    1.7953086932e+00   -8.0941166620e+00    1.0460520528e-01    8.0000000000e+01    7.2900652885e-03    5.7500000000e-01
        26   -2.2503564177e+00    5.1447138303e+00   -4.0196759186e+00    1.7693195009e+00    2.0211698450e+00    1.7953086932e+00   -7.8766679903e+00    4.0513533433e-02    8.0000000000e+01    7.2840452194e-03    5.3593750000e-01
        27   -2.2121406536e+00    4.9206930268e+00   -3.7077430897e+00    1.4956024361e+00    1.8984481066e+00    1.7953086932e+00   -7.4680830745e+00    6.6583185013e-02    8.0000000000e+01    7.3677301407e-03    6.2343750000e-01
        28   -2.2551350169e+00    5.1041281717e+00   -4.0807149150e+00    1.8255798981e+00    1.8979785420e+00    1.7953086932e+00   -7.9801010703e+00    2.0609891999e-01    8.0000000000e+01    7.4557662010e-03    6.0625000000e-01
        29   -2.2144417775e+00    4.9289920838e+00   -3.5908957697e+00    1.3764539922e+00    1.9855170390e+00    1.7953086932e+00   -7.5093740923e+00    1.3765259032e-01    8.0000000000e+01    7.5910687447e-03    6.1562500000e-01
        30   -2.2636477412e+00    5.1369888901e+00   -3.8005401711e+00    1.5368924298e+00    1.9252341866e+00    1.7953086932e+00   -7.6661982766e+00    1.4511522576e-01    8.0000000000e+01    7.4629187584e-03    5.9531250000e-01
        31   -2.2324249336e+00    5.0007288890e+00   -4.3662707691e+00    2.1338458355e+00    1.9396952685e+00    1.7953086932e+00   -8.2756723239e+00    1.7439759318e-01    8.0000000000e+01    7.1197152138e-03    5.5000000000e-01
        32   -2.2559913174e+00    5.1054838099e+00   -3.8866416151e+00    1.6306502977e+00    1.8786261145e+00    1.7953086932e+00   -7.8169454601e+00    2.5636903729e-01    8.0000000000e+01    7.2134137154e-03    5.8125000000e-01
        33   -2.2154300712e+00    4.9394896331e+00   -3.6939109058e+00    1.4784808346e+00    2.0797763231e+00    1.7953086932e+00   -7.7647310332e+00    1.9573511117e-01    8.0000000000e+01    7.3800683022e-03    6.0781250000e-01
        34   -2.2471843761e+00    5.0765187538e+00   -4.2088404409e+00    1.9616560648e+00    1.9628475989e+00    1.7953086932e+00   -8.2011409014e+00    2.3414416832e-01    8.0000000000e+01    7.2967410088e-03    5.7031250000e-01
        35   -2.2643701100e+00    5.1474837062e+00   -5.2734072820e+00    3.0090371719e+00    1.8764758078e+00    1.7953086932e+00   -9.0754729760e+00    1.3028119299e-01    8.0000000000e+01    7.2834491730e-03    5.7187500000e-01
        36   -2.2273084451e+00    4.9766904933e+00   -5.0085707952e+00    2.7812623501e+00    2.0207095072e+00    1.7953086932e+00   -9.0824064059e+00    2.5781741042e-01    8.0000000000e+01    7.2852373123e-03    5.4062500000e-01
        37   -2.2408044538e+00    5.0403249926e+00   -4.4907415738e+00    2.2499371200e+00    2.0584685175e+00    1.7953086932e+00   -8.5911059651e+00    2.4658718059e-01    8.0000000000e+01    7.4442028999e-03    5.8437500000e-01
        38   -2.2379163655e+00    5.0621989151e+00   -4.2668506262e+00    2.0289342608e+00    2.0361049141e+00    1.7953086932e+00   -8.1466237069e+00    4.8359473319e-02    8.0000000000e+01    7.4015259743e-03    5.6562500000e-01
        39   -2.2196926639e+00    4.9459069702e+00   -3.8679926341e+00    1.6482999702e+00    1.9965538001e+00    1.7953086932e+00   -7.8565858262e+00    1.9673069878e-01    8.0000000000e+01    7.4468851089e-03    5.7500000000e-01
        40   -2.2467600357e+00    5.0640952324e+00   -4.3172094360e+00    2.0704494003e+00    1.9058083930e+00    1.7953086932e+00   -8.1652541033e+00    1.4692758111e-01    8.0000000000e+01    7.2789788246e-03    6.0156250000e-01
        41   -2.2284747721e+00    4.9821346462e+00   -4.0751282384e+00    1.8466534663e+00    2.0048487144e+00    1.7953086932e+00   -8.0817909013e+00    2.0650525525e-01    8.0000000000e+01    7.3062181473e-03    5.6718750000e-01
        42   -2.2266717791e+00    4.9883330995e+00   -4.5983521705e+00    2.3716803914e+00    1.9947281231e+00    1.7953086932e+00   -8.6433086029e+00    2.5491961607e-01    8.0000000000e+01    7.3357224464e-03    5.8125000000e-01
        43   -2.2524102077e+00    5.1037693920e+00   -3.8545621868e+00    1.6021519791e+00    2.0009015139e+00    1.7953086932e+00   -7.8513296772e+00    2.0055728323e-01    8.0000000000e+01    7.4350237846e-03    6.1406250000e-01
        44   -2.2698645109e+00    5.1741832066e+00   -3.9906286665e+00    1.7207641555e+00    1.9772300466e+00    1.7953086932e+00   -7.9905325570e+00    2.2736515079e-01    8.0000000000e+01    7.5892806053e-03    5.5000000000e-01
        45   -2.2440022298e+00    5.0792972243e+00   -3.7552965953e+00    1.5112943655e+00    1.8222241745e+00    1.7953086932e+00   -7.7528596632e+00    3.8003020014e-01    8.0000000000e+01    7.1690678596e-03    5.8437500000e-01
        46   -2.2509570762e+00    5.0827573048e+00   -4.1885310476e+00    1.9375739714e+00    1.9411160023e+00    1.7953086932e+00   -8.2171013914e+00    2.9214564825e-01    8.0000000000e+01    7.3170065880e-03    5.6562500000e-01
        47   -2.2181046808e+00    4.9504167077e+00   -3.8584706493e+00    1.6403659685e+00    1.8443474992e+00    1.7953086932e+00   -7.7511568385e+00    2.5302999678e-01    8.0000000000e+01    7.2797536850e-03    6.0156250000e-01
        48   -2.2442931774e+00    5.0737523657e+00   -3.7721955763e+00    1.5279023989e+00    2.1386302009e+00    1.7953086932e+00   -7.8272393005e+00    1.2110483011e-01    8.0000000000e+01    7.2361826897e-03    6.2968750000e-01
        49   -2.2392186109e+00    5.0708356422e+00   -3.9607388121e+00    1.7215202012e+00    1.9975068638e+00    1.7953086932e+00   -8.1635544293e+00    4.1000006018e-01    8.0000000000e+01    7.3940157890e-03    5.5625000000e-01
        50   -2.2207603141e+00    4.9567062914e+00   -4.0287154022e+00    1.8079550881e+00    1.8239161564e+00    1.7953086932e+00   -7.8580402233e+00    2.1009997152e-01    8.0000000000e+01    7.0875287056e-03    5.8125000000e-01
        51   -2.2278305891e+00    4.9900377936e+00   -3.8577038897e+00    1.6298733006e+00    1.8453927216e+00    1.7953086932e+00   -7.6671629553e+00    1.6875765080e-01    8.0000000000e+01    7.0914030075e-03    6.0000000000e-01
        52   -2.2561492061e+00    5.1114179604e+00   -4.2673297997e+00    2.0111805936e+00    1.9466596479e+00    1.7953086932e+00   -8.1806736227e+00    1.7137548187e-01    8.0000000000e+01    7.2205066681e-03    5.7656250000e-01
        53   -2.2575418530e+00    5.1154569647e+00   -3.8533772234e+00    1.5958353705e+00    2.0344544356e+00    1.7953086932e+00   -7.8391488544e+00    1.5600850213e-01    8.0000000000e+01    7.5114965439e-03    5.9375000000e-01
        54   -2.2311722333e+00    4.9979528549e+00   -3.8550592059e+00    1.6238869725e+00    2.0052673448e+00    1.7953086932e+00   -7.7854023291e+00    1.2976708525e-01    8.0000000000e+01    7.2609782219e-03    6.0625000000e-01
        55   -2.2117241744e+00    4.9247060910e+00   -4.3641873609e+00    2.1524631865e+00    1.9450765308e+00    1.7953086932e+00   -8.1001616854e+00   -4.4108995066e-03    8.0000000000e+01    7.1907043457e-03    5.7812500000e-01
        56   -2.2283178536e+00    4.9851719395e+00   -3.6468189721e+00    1.4185011184e+00    2.0346664021e+00    1.7953086932e+00   -7.6524398456e+00    1.7564577826e-01    8.0000000000e+01    7.6197385788e-03    5.9531250000e-01
        57   -2.2142831163e+00    4.9461557850e+00   -3.5770004978e+00    1.3627173815e+00    1.8069801926e+00    1.7953086932e+00   -7.3972592348e+00    2.1796985127e-01    8.0000000000e+01    7.1904659271e-03    6.2812500000e-01
        58   -2.2465465879e+00    5.0671414358e+00   -4.1902397845e+00    1.9436931966e+00    1.8851103540e+00    1.7953086932e+00   -8.0326402938e+00    1.6198146213e-01    8.0000000000e+01    6.9925189018e-03    5.7812500000e-01
        59   -2.1970984089e+00    4.8604729249e+00   -3.9167155026e+00    1.7196170937e+00    2.0106988617e+00    1.7953086932e+00   -8.1533118072e+00    4.3058874970e-01    8.0000000000e+01    7.0710778236e-03    5.5468750000e-01
        60   -2.2000678148e+00    4.8568348173e+00   -4.1860894076e+00    1.9860215928e+00    1.9551147262e+00    1.7953086932e+00   -8.0330353183e+00    9.6522491205e-02    8.0000000000e+01    7.3860287666e-03    5.2656250000e-01
        61   -2.2216356521e+00    4.9654667747e+00   -4.2516182445e+00    2.0299825924e+00    2.2287872393e+00    1.7953086932e+00   -8.3827938949e+00    1.0707971794e-01    8.0000000000e+01    7.1164965630e-03    5.7031250000e-01
        62   -2.2609265457e+00    5.1751360963e+00   -3.6302486865e+00    1.3693221408e+00    1.8801445976e+00    1.7953086932e+00   -7.3396801443e+00    3.3978167026e-02    8.0000000000e+01    6.9682598114e-03    6.1250000000e-01
        63   -2.2641300623e+00    5.1450422332e+00   -3.8559448921e+00    1.5918148297e+00    2.0007483807e+00    1.7953086932e+00   -7.9817709678e+00    3.2976900190e-01    8.0000000000e+01    7.2617530823e-03    5.6250000000e-01
        64   -2.2257624146e+00    4.9903139341e+00   -3.7735335421e+00    1.5477711275e+00    1.8861220645e+00    1.7953086932e+00   -7.7026149325e+00    2.4765063269e-01    8.0000000000e+01    7.2237253189e-03    6.3750000000e-01
        65   -2.2618855601e+00    5.1386401049e+00   -4.4326001146e+00    2.1707145546e+00    1.9742910577e+00    1.7953086932e+00   -8.3467102076e+00    1.4451034205e-01    8.0000000000e+01    7.4200630188e-03    5.6406250000e-01
        66   -2.2504714849e+00    5.0826634303e+00   -3.5489670285e+00    1.2984955435e+00    1.8557079618e+00    1.7953086932e+00   -7.3102409184e+00    1.1025723493e-01    8.0000000000e+01    7.3322057724e-03    6.0000000000e-01
        67   -2.2684951092e+00    5.1660839636e+00   -3.7511876837e+00    1.4826925745e+00    1.9725947670e+00    1.7953086932e+00   -7.7098769259e+00    1.9078578205e-01    8.0000000000e+01    7.1649551392e-03    5.7968750000e-01
        68   -2.2512122876e+00    5.0845558583e+00   -4.1560093943e+00    1.9047971067e+00    1.9117609862e+00    1.7953086932e+00   -7.9793012944e+00    1.1622222075e-01    8.0000000000e+01    7.1284770966e-03    5.8906250000e-01
        69   -2.2332030906e+00    5.0016833956e+00   -4.1202454686e+00    1.8870423780e+00    1.9245769650e+00    1.7953086932e+00   -8.0597285044e+00    2.1959737764e-01    8.0000000000e+01    7.3937773705e-03    5.1406250000e-01
