# Index          LocalEnergy            Variance              Weight        NumOfWalkers      AvgSentWalkers         TrialEnergy             DiffEff      LivingFraction
         0   -1.2468893317e+01    1.9492501366e-01    4.0890000000e+03    4.0900000000e+03    0.0000000000e+00   -1.2460738204e+01    9.9978338247e-01    9.9926650367e-01
         1   -1.2464825019e+01    2.0252431943e-01    4.0969533722e+03    4.0900000000e+03    7.5000000000e-01   -1.0758446963e+01    9.9994958463e-01    9.9975550122e-01
         2   -1.2466363780e+01    1.9392709654e-01    4.0960019057e+03    4.0960000000e+03    2.5000000000e-01   -1.2464825019e+01    9.9974927083e-01    1.0000000000e+00
         3   -1.2463629182e+01    1.9727365365e-01    4.0959940083e+03    4.0960000000e+03    0.0000000000e+00   -1.2466363780e+01    9.9962308159e-01    9.9975585938e-01
         4   -1.2464357355e+01    2.0177687757e-01    4.0960014455e+03    4.0950000000e+03    2.5000000000e-01   -1.2219458750e+01    9.9972705966e-01    1.0000000000e+00
         5   -1.2465312050e+01    2.3618978200e-01    4.0960008262e+03    4.0960000000e+03    2.5000000000e-01   -1.2464357355e+01    9.9964172830e-01    9.9975585938e-01
         6   -1.2462173993e+01    1.8764160089e-01    4.0959902589e+03    4.0950000000e+03    0.0000000000e+00   -1.2221141618e+01    9.9965098031e-01    1.0000000000e+00
         7   -1.2467001885e+01    2.0120051067e-01    4.0960092272e+03    4.0950000000e+03    0.0000000000e+00   -1.2218003561e+01    9.9983946007e-01    9.9975579976e-01
         8   -1.2464083711e+01    2.0888676559e-01    4.0959933898e+03    4.0940000000e+03    2.5000000000e-01   -1.1978601387e+01    9.9986705599e-01    1.0000000000e+00
         9   -1.2463236854e+01    2.0082334094e-01    4.0959979707e+03    4.0960000000e+03    2.5000000000e-01   -1.2464083711e+01    9.9989709233e-01    1.0000000000e+00
        10   -1.2462367042e+01    1.9594522884e-01    4.0959987323e+03    4.0980000000e+03    2.5000000000e-01   -1.2951398933e+01    9.9960556537e-01    9.9951195705e-01
        11   -1.2459972089e+01    1.9149872157e-01    4.0959948965e+03    4.0960000000e+03    2.5000000000e-01   -1.2462367042e+01    9.9989416670e-01    1.0000000000e+00
        12   -1.2459069082e+01    1.9576888015e-01    4.0959992763e+03    4.0990000000e+03    2.5000000000e-01   -1.3192125874e+01    9.9969016748e-01    9.9902415223e-01
