#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            IonIon              LocalECP            NonLocalECP         BlockWeight         BlockCPU            AcceptRatio         
         0   -1.2429783445e+01    1.5472962645e+02   -2.1972221158e+01    9.5424377131e+00    1.8003918622e+01    1.3050036718e+01   -5.3975241360e+01    9.4906486196e-01    2.0480000000e+04    7.5489705801e+00    5.4223144531e-01
         1   -1.2432767189e+01    1.5479980120e+02   -2.1991771868e+01    9.5590046792e+00    1.7992934249e+01    1.3050036718e+01   -5.3976785732e+01    9.4204289707e-01    2.0480000000e+04    7.5410941839e+00    5.4306396484e-01
         2   -1.2429466525e+01    1.5471379313e+02   -2.1975947058e+01    9.5464805332e+00    1.8024876885e+01    1.3050036718e+01   -5.3996581014e+01    9.4572035318e-01    2.0480000000e+04    7.5490351915e+00    5.4284179688e-01
         3   -1.2431574286e+01    1.5475310771e+02   -2.1981380153e+01    9.5498058670e+00    1.7980412438e+01    1.3050036718e+01   -5.3925153183e+01    9.1332387416e-01    2.0480000000e+04    7.5498659611e+00    5.4357910156e-01
         4   -1.2431054186e+01    1.5475963362e+02   -2.2003659417e+01    9.5726052315e+00    1.8027275404e+01    1.3050036718e+01   -5.4026595287e+01    9.4562374809e-01    2.0480000000e+04    7.5536418557e+00    5.4180664062e-01
         5   -1.2431492078e+01    1.5477145645e+02   -2.2077578971e+01    9.6460868930e+00    1.8029652078e+01    1.3050036718e+01   -5.4092480967e+01    9.3521319974e-01    2.0480000000e+04    7.5521367192e+00    5.4282714844e-01
         6   -1.2433491897e+01    1.5480069182e+02   -2.1941581200e+01    9.5080893033e+00    1.7987926825e+01    1.3050036718e+01   -5.3920638245e+01    9.4109350127e-01    2.0480000000e+04    7.5330173969e+00    5.4285644531e-01
         7   -1.2436415549e+01    1.5488847983e+02   -2.2025784030e+01    9.5893684808e+00    1.8040947857e+01    1.3050036718e+01   -5.4046583638e+01    9.2981503318e-01    2.0480000000e+04    7.5561032295e+00    5.4139648437e-01
         8   -1.2428130647e+01    1.5467320795e+02   -2.2005214074e+01    9.5770834272e+00    1.7987187719e+01    1.3050036718e+01   -5.3949962589e+01    9.0752407785e-01    2.0480000000e+04    7.5454311967e+00    5.4168945312e-01
         9   -1.2430096143e+01    1.5472853215e+02   -2.2018401793e+01    9.5883056506e+00    1.8040036419e+01    1.3050036718e+01   -5.4035164601e+01    9.2668967039e-01    2.0480000000e+04    7.5402051806e+00    5.4280517578e-01
