#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            IonIon              LocalECP            NonLocalECP         BlockWeight         BlockCPU            AcceptRatio         
         0   -1.2407183393e+01    1.5421207700e+02   -2.2309458024e+01    9.9022746308e+00    1.8201029296e+01    1.3050036718e+01   -5.4613621710e+01    1.0530976724e+00    3.2000000000e+02    1.1563253403e-01    4.2765625000e-01
         1   -1.2441415704e+01    1.5498457341e+02   -2.1933138919e+01    9.4917232150e+00    1.7922982068e+01    1.3050036718e+01   -5.3839804365e+01    9.3364665928e-01    3.2000000000e+02    1.1346924305e-01    4.2843750000e-01
         2   -1.2401128835e+01    1.5394889308e+02   -2.1163581578e+01    8.7624527429e+00    1.8008639047e+01    1.3050036718e+01   -5.3252552666e+01    1.0302953224e+00    3.2000000000e+02    1.1356902122e-01    4.3000000000e-01
         3   -1.2401390497e+01    1.5395084825e+02   -2.1476088513e+01    9.0746980164e+00    1.7668760238e+01    1.3050036718e+01   -5.3380445059e+01    1.1855595895e+00    3.2000000000e+02    1.1145150661e-01    4.2234375000e-01
         4   -1.2439882711e+01    1.5497967053e+02   -2.2608283596e+01    1.0168400885e+01    1.7847425458e+01    1.3050036718e+01   -5.4452932618e+01    9.4718684549e-01    3.2000000000e+02    1.1224192381e-01    4.1906250000e-01
         5   -1.2443131055e+01    1.5497794364e+02   -2.1889086411e+01    9.4459553561e+00    1.8102553949e+01    1.3050036718e+01   -5.3874122641e+01    8.3244556289e-01    3.2000000000e+02    1.1560118198e-01    4.1015625000e-01
         6   -1.2491495153e+01    1.5639614830e+02   -2.1786453228e+01    9.2949580759e+00    1.8191190011e+01    1.3050036718e+01   -5.3997813872e+01    9.7013391444e-01    3.2000000000e+02    1.1441576481e-01    4.1562500000e-01
         7   -1.2437349846e+01    1.5488124900e+02   -2.2312658475e+01    9.8753086288e+00    1.8033479280e+01    1.3050036718e+01   -5.4658382254e+01    1.2622077813e+00    3.2000000000e+02    1.1477124691e-01    4.2703125000e-01
         8   -1.2443372701e+01    1.5504777696e+02   -2.2086942127e+01    9.6435694259e+00    1.7773403479e+01    1.3050036718e+01   -5.4085396402e+01    1.1750140782e+00    3.2000000000e+02    1.1163687706e-01    4.1140625000e-01
         9   -1.2455886068e+01    1.5548013303e+02   -2.2293510348e+01    9.8376242798e+00    1.8086899335e+01    1.3050036718e+01   -5.4347068259e+01    9.1662185787e-01    3.2000000000e+02    1.1448299885e-01    4.1343750000e-01
        10   -1.2431964653e+01    1.5471933014e+02   -2.1704719892e+01    9.2727552392e+00    1.8086733408e+01    1.3050036718e+01   -5.3793406444e+01    9.5191642532e-01    3.2000000000e+02    1.1367547512e-01    4.1734375000e-01
        11   -1.2407427274e+01    1.5418141881e+02   -2.2130327693e+01    9.7229004188e+00    1.8049690979e+01    1.3050036718e+01   -5.4222030962e+01    9.9197557208e-01    3.2000000000e+02    1.1445474625e-01    4.2718750000e-01
        12   -1.2440465175e+01    1.5503936380e+02   -2.2494559125e+01    1.0054093949e+01    1.8080109676e+01    1.3050036718e+01   -5.4319298068e+01    6.9459254929e-01    3.2000000000e+02    1.1416220665e-01    4.1968750000e-01
        13   -1.2462447688e+01    1.5549392629e+02   -2.1051322441e+01    8.5888747534e+00    1.8100450056e+01    1.3050036718e+01   -5.3715681598e+01    1.5138723828e+00    3.2000000000e+02    1.1371284723e-01    4.3343750000e-01
        14   -1.2443957021e+01    1.5516267562e+02   -2.2375014154e+01    9.9310571331e+00    1.8225093681e+01    1.3050036718e+01   -5.4561245879e+01    9.1110132635e-01    3.2000000000e+02    1.1424422264e-01    4.2921875000e-01
        15   -1.2405552739e+01    1.5408692406e+02   -2.1471962026e+01    9.0664092868e+00    1.8194545803e+01    1.3050036718e+01   -5.3506739339e+01    7.9019479214e-01    3.2000000000e+02    1.1434847116e-01    4.1921875000e-01
        16   -1.2464835857e+01    1.5554738547e+02   -2.2114245465e+01    9.6494096088e+00    1.8033108665e+01    1.3050036718e+01   -5.4211263567e+01    1.0138727188e+00    3.2000000000e+02    1.1425930262e-01    4.2953125000e-01
        17   -1.2413109064e+01    1.5424854543e+02   -2.1903504626e+01    9.4903955617e+00    1.7841848330e+01    1.3050036718e+01   -5.3701489772e+01    9.0610009844e-01    3.2000000000e+02    1.1428529024e-01    4.3875000000e-01
        18   -1.2391026870e+01    1.5374457431e+02   -2.1708464985e+01    9.3174381147e+00    1.8023266172e+01    1.3050036718e+01   -5.3875468539e+01    1.0937006643e+00    3.2000000000e+02    1.1302751303e-01    4.3656250000e-01
        19   -1.2435621176e+01    1.5492825890e+02   -2.2001811659e+01    9.5661904829e+00    1.7982394337e+01    1.3050036718e+01   -5.3730423254e+01    6.9618053999e-01    3.2000000000e+02    1.1248952150e-01    4.1906250000e-01
        20   -1.2453751039e+01    1.5530117635e+02   -2.1685066015e+01    9.2313149761e+00    1.7889335490e+01    1.3050036718e+01   -5.3199036765e+01    5.7459854223e-01    3.2000000000e+02    1.1284023523e-01    4.1765625000e-01
        21   -1.2462862074e+01    1.5557226875e+02   -2.2374525557e+01    9.9116634833e+00    1.8008254929e+01    1.3050036718e+01   -5.3702180928e+01    2.6936372444e-01    3.2000000000e+02    1.1542350054e-01    4.3656250000e-01
        22   -1.2452851203e+01    1.5522086372e+02   -2.1671100183e+01    9.2182489797e+00    1.8198352120e+01    1.3050036718e+01   -5.3836724961e+01    9.1723594019e-01    3.2000000000e+02    1.1458402872e-01    4.1906250000e-01
        23   -1.2387287927e+01    1.5367682023e+02   -2.1751995210e+01    9.3647072832e+00    1.7962176364e+01    1.3050036718e+01   -5.3772346631e+01    1.0081383391e+00    3.2000000000e+02    1.1373674870e-01    4.1718750000e-01
        24   -1.2391934912e+01    1.5373801018e+02   -2.2434346697e+01    1.0042411785e+01    1.8162867693e+01    1.3050036718e+01   -5.4840266130e+01    1.1930150218e+00    3.2000000000e+02    1.1515331268e-01    4.1546875000e-01
        25   -1.2453641616e+01    1.5531868306e+02   -2.2448919037e+01    9.9952774206e+00    1.7893491471e+01    1.3050036718e+01   -5.4200634645e+01    8.0818741970e-01    3.2000000000e+02    1.1328649521e-01    4.1937500000e-01
        26   -1.2464914099e+01    1.5550083932e+02   -2.1684725632e+01    9.2198115332e+00    1.7981147907e+01    1.3050036718e+01   -5.3430357495e+01    7.1444723709e-01    3.2000000000e+02    1.1306297779e-01    4.2109375000e-01
        27   -1.2431664063e+01    1.5468987629e+02   -2.1173210332e+01    8.7415462686e+00    1.7654823130e+01    1.3050036718e+01   -5.2798368180e+01    9.2029800064e-01    3.2000000000e+02    1.1271917820e-01    4.2843750000e-01
        28   -1.2421675151e+01    1.5444033395e+02   -2.1997890160e+01    9.5762150091e+00    1.8094194866e+01    1.3050036718e+01   -5.4110941607e+01    9.6881986360e-01    3.2000000000e+02    1.1585152149e-01    4.2125000000e-01
        29   -1.2476304486e+01    1.5589963458e+02   -2.1925909733e+01    9.4496052471e+00    1.8058778966e+01    1.3050036718e+01   -5.3952580595e+01    9.1785517760e-01    3.2000000000e+02    1.1458480358e-01    4.2359375000e-01
        30   -1.2446648569e+01    1.5508007951e+02   -2.2372434654e+01    9.9257860851e+00    1.8263982151e+01    1.3050036718e+01   -5.4284231764e+01    5.9777824071e-01    3.2000000000e+02    1.1543267965e-01    4.1203125000e-01
        31   -1.2429401726e+01    1.5475415016e+02   -2.2064434595e+01    9.6350328687e+00    1.7766063394e+01    1.3050036718e+01   -5.3810334752e+01    9.2980004546e-01    3.2000000000e+02    1.1319941282e-01    4.2734375000e-01
        32   -1.2482471764e+01    1.5604769238e+02   -2.2130454137e+01    9.6479823729e+00    1.7941096267e+01    1.3050036718e+01   -5.3817055067e+01    6.9546794499e-01    3.2000000000e+02    1.1376285553e-01    4.3421875000e-01
        33   -1.2447430022e+01    1.5533120542e+02   -2.2407178605e+01    9.9597485831e+00    1.7834580601e+01    1.3050036718e+01   -5.4363477456e+01    1.0716815325e+00    3.2000000000e+02    1.1159062386e-01    4.1437500000e-01
        34   -1.2446721107e+01    1.5513326728e+02   -2.2246780088e+01    9.8000589807e+00    1.7762937461e+01    1.3050036718e+01   -5.3812674965e+01    7.5292069895e-01    3.2000000000e+02    1.1387920380e-01    4.2937500000e-01
        35   -1.2411821442e+01    1.5419235660e+02   -2.1771314346e+01    9.3594929039e+00    1.7728397876e+01    1.3050036718e+01   -5.3448874254e+01    8.9912531379e-01    3.2000000000e+02    1.1231303215e-01    4.2671875000e-01
        36   -1.2459409869e+01    1.5545389581e+02   -2.1589920300e+01    9.1305104313e+00    1.8138244374e+01    1.3050036718e+01   -5.3526521118e+01    7.4831972632e-01    3.2000000000e+02    1.1417204142e-01    4.2859375000e-01
        37   -1.2410406588e+01    1.5418915894e+02   -2.1885395992e+01    9.4749894040e+00    1.7997227652e+01    1.3050036718e+01   -5.3980618322e+01    1.0479579600e+00    3.2000000000e+02    1.1394423246e-01    4.1562500000e-01
        38   -1.2433225897e+01    1.5473053585e+02   -2.2106063860e+01    9.6728379633e+00    1.8124688241e+01    1.3050036718e+01   -5.4391045582e+01    1.1102567633e+00    3.2000000000e+02    1.1373102665e-01    4.1781250000e-01
        39   -1.2456755835e+01    1.5533214409e+02   -2.1746848435e+01    9.2900926005e+00    1.8239409139e+01    1.3050036718e+01   -5.4035729743e+01    9.9943545017e-01    3.2000000000e+02    1.1263489723e-01    4.2078125000e-01
        40   -1.2450084976e+01    1.5516365904e+02   -2.2075067067e+01    9.6249820907e+00    1.8233062985e+01    1.3050036718e+01   -5.4062664991e+01    7.0449822130e-01    3.2000000000e+02    1.1330813169e-01    4.1218750000e-01
        41   -1.2457000948e+01    1.5534401729e+02   -2.1901098162e+01    9.4440972144e+00    1.8158522042e+01    1.3050036718e+01   -5.4185861295e+01    1.0762043728e+00    3.2000000000e+02    1.1526769400e-01    4.2140625000e-01
        42   -1.2439774258e+01    1.5490489867e+02   -2.2490089403e+01    1.0050315145e+01    1.8321127456e+01    1.3050036718e+01   -5.4819720634e+01    9.5846705681e-01    3.2000000000e+02    1.1511063576e-01    4.0718750000e-01
        43   -1.2426779344e+01    1.5460986688e+02   -2.1607733229e+01    9.1809538854e+00    1.7917182242e+01    1.3050036718e+01   -5.3412509227e+01    8.3755703789e-01    3.2000000000e+02    1.1232137680e-01    4.3640625000e-01
        44   -1.2379315210e+01    1.5341922519e+02   -2.2046383457e+01    9.6670682463e+00    1.8002786799e+01    1.3050036718e+01   -5.3919032124e+01    8.1982515066e-01    3.2000000000e+02    1.1286050081e-01    4.1671875000e-01
        45   -1.2441059935e+01    1.5490634002e+02   -2.2232091969e+01    9.7910320335e+00    1.7835619754e+01    1.3050036718e+01   -5.3934973313e+01    8.1722487188e-01    3.2000000000e+02    1.1275672913e-01    4.2437500000e-01
        46   -1.2501026268e+01    1.5659320946e+02   -2.2616656122e+01    1.0115629855e+01    1.8029953381e+01    1.3050036718e+01   -5.4208089465e+01    5.1144324362e-01    3.2000000000e+02    1.1365950108e-01    4.2203125000e-01
        47   -1.2483307297e+01    1.5601962599e+02   -2.2224610628e+01    9.7413033313e+00    1.8209078781e+01    1.3050036718e+01   -5.4623472345e+01    1.1397462176e+00    3.2000000000e+02    1.1548078060e-01    4.1750000000e-01
        48   -1.2432405433e+01    1.5494325030e+02   -2.1651426589e+01    9.2190211555e+00    1.7908984422e+01    1.3050036718e+01   -5.3475570901e+01    8.6512317172e-01    3.2000000000e+02    1.1425769329e-01    4.1593750000e-01
        49   -1.2427318321e+01    1.5456574112e+02   -2.1549500720e+01    9.1221823990e+00    1.7800300100e+01    1.3050036718e+01   -5.3041196607e+01    6.4135906875e-01    3.2000000000e+02    1.1352497339e-01    4.2671875000e-01
        50   -1.2423952256e+01    1.5451853436e+02   -2.1936601924e+01    9.5126496686e+00    1.8214487513e+01    1.3050036718e+01   -5.4314321643e+01    1.1131954877e+00    3.2000000000e+02    1.1393553019e-01    4.2187500000e-01
        51   -1.2451041822e+01    1.5529943326e+02   -2.2565530370e+01    1.0114488548e+01    1.8068640059e+01    1.3050036718e+01   -5.4732714572e+01    1.0485074255e+00    3.2000000000e+02    1.1338150501e-01    4.2218750000e-01
        52   -1.2435799974e+01    1.5485070045e+02   -2.1634666496e+01    9.1988665224e+00    1.7892478871e+01    1.3050036718e+01   -5.3800700535e+01    1.2235184497e+00    3.2000000000e+02    1.1128497124e-01    4.2468750000e-01
        53   -1.2454624682e+01    1.5535111661e+02   -2.2583776972e+01    1.0129152291e+01    1.8010602731e+01    1.3050036718e+01   -5.5112783262e+01    1.4683668402e+00    3.2000000000e+02    1.1415380239e-01    4.2890625000e-01
        54   -1.2441595834e+01    1.5503198250e+02   -2.2437322134e+01    9.9957263002e+00    1.7928181698e+01    1.3050036718e+01   -5.4461012436e+01    1.0454718862e+00    3.2000000000e+02    1.1479532719e-01    4.2609375000e-01
        55   -1.2443621081e+01    1.5513018451e+02   -2.2137710168e+01    9.6940890871e+00    1.8310073903e+01    1.3050036718e+01   -5.4532964220e+01    1.0351434313e+00    3.2000000000e+02    1.1386132240e-01    4.2156250000e-01
        56   -1.2408529885e+01    1.5413652369e+02   -2.2371655409e+01    9.9631255235e+00    1.8042469031e+01    1.3050036718e+01   -5.4409980226e+01    9.4581906920e-01    3.2000000000e+02    1.1442250013e-01    4.2828125000e-01
        57   -1.2410113697e+01    1.5422730924e+02   -2.2049824492e+01    9.6397107943e+00    1.8044429668e+01    1.3050036718e+01   -5.4075141061e+01    9.3085018286e-01    3.2000000000e+02    1.1431580782e-01    4.1828125000e-01
        58   -1.2452848504e+01    1.5542723293e+02   -2.1772429896e+01    9.3195813915e+00    1.7821746306e+01    1.3050036718e+01   -5.3630232548e+01    9.8601962835e-01    3.2000000000e+02    1.1199480295e-01    4.2265625000e-01
        59   -1.2430149475e+01    1.5479001132e+02   -2.2626981217e+01    1.0196831742e+01    1.8125588003e+01    1.3050036718e+01   -5.4662407275e+01    8.5980133761e-01    3.2000000000e+02    1.1365568638e-01    4.1468750000e-01
        60   -1.2402221335e+01    1.5411426714e+02   -2.3045823202e+01    1.0643601867e+01    1.8195539332e+01    1.3050036718e+01   -5.5322059506e+01    1.0306602539e+00    3.2000000000e+02    1.1501324177e-01    4.1296875000e-01
        61   -1.2446255135e+01    1.5511748797e+02   -2.2193133612e+01    9.7468784773e+00    1.8134252011e+01    1.3050036718e+01   -5.4082752638e+01    7.0533029665e-01    3.2000000000e+02    1.1466717720e-01    4.1421875000e-01
        62   -1.2392974647e+01    1.5380789956e+02   -2.2924955631e+01    1.0531980984e+01    1.8350486488e+01    1.3050036718e+01   -5.5360287621e+01    1.0348087844e+00    3.2000000000e+02    1.1591553688e-01    4.0921875000e-01
        63   -1.2431162678e+01    1.5472786677e+02   -2.2330054819e+01    9.8988921411e+00    1.8060113247e+01    1.3050036718e+01   -5.4445251642e+01    1.0050468573e+00    3.2000000000e+02    1.1378192902e-01    4.2234375000e-01
        64   -1.2445695790e+01    1.5508426383e+02   -2.2286273566e+01    9.8405777758e+00    1.8132429725e+01    1.3050036718e+01   -5.4222681294e+01    7.5394128440e-01    3.2000000000e+02    1.1583250761e-01    4.1531250000e-01
        65   -1.2430846299e+01    1.5474760865e+02   -2.2873098283e+01    1.0442251985e+01    1.7970923721e+01    1.3050036718e+01   -5.4960582278e+01    1.0665235564e+00    3.2000000000e+02    1.1293452978e-01    4.2671875000e-01
        66   -1.2429998649e+01    1.5464744733e+02   -2.2099281243e+01    9.6692825946e+00    1.8235607000e+01    1.3050036718e+01   -5.4384130007e+01    9.9920504553e-01    3.2000000000e+02    1.1423724890e-01    4.1328125000e-01
        67   -1.2443118211e+01    1.5497574123e+02   -2.0984599935e+01    8.5414817242e+00    1.7941655602e+01    1.3050036718e+01   -5.3018654780e+01    1.0423625245e+00    3.2000000000e+02    1.1268174648e-01    4.4546875000e-01
        68   -1.2475172781e+01    1.5586749284e+02   -2.1854412032e+01    9.3792392510e+00    1.7837557647e+01    1.3050036718e+01   -5.4003651705e+01    1.2616453081e+00    3.2000000000e+02    1.1233204603e-01    4.1718750000e-01
