#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            IonIon              LocalECP            NonLocalECP         BlockWeight         BlockCPU            AcceptRatio         
         0   -2.2452046974e+00    5.0533770425e+00   -4.0681908809e+00    1.8229861835e+00    1.9667542283e+00    1.7953088221e+00   -8.0055659153e+00    1.7531198399e-01    8.0000000000e+02    3.4686288126e-01    5.5612500000e-01
         1   -2.2458409981e+00    5.0718061578e+00   -4.1270790683e+00    1.8812380702e+00    1.9342169015e+00    1.7953088221e+00   -8.0153223003e+00    1.5871750840e-01    8.0000000000e+02    3.2286893207e-01    5.4950000000e-01
         2   -2.2381704324e+00    5.0234626819e+00   -3.9967176906e+00    1.7585472582e+00    1.8840351434e+00    1.7953088221e+00   -7.8334527850e+00    1.5739112894e-01    8.0000000000e+02    3.7064108479e-01    5.6012500000e-01
         3   -2.2432439085e+00    5.0463594864e+00   -4.0530858715e+00    1.8098419631e+00    1.9587650098e+00    1.7953088221e+00   -7.9626081248e+00    1.5544842137e-01    8.0000000000e+02    3.3418320842e-01    5.4568750000e-01
         4   -2.2443282009e+00    5.0469716452e+00   -4.0132078711e+00    1.7688796702e+00    1.9432280093e+00    1.7953088221e+00   -7.9594114890e+00    2.0766678654e-01    8.0000000000e+02    3.3086464484e-01    5.5125000000e-01
         5   -2.2485999694e+00    5.0784957303e+00   -4.1809883169e+00    1.9323883474e+00    1.9560713206e+00    1.7953088221e+00   -8.1194649871e+00    1.8709652751e-01    8.0000000000e+02    3.3176879336e-01    5.5268750000e-01
         6   -2.2374593135e+00    5.0851090642e+00   -4.0534290606e+00    1.8159697472e+00    1.9294128438e+00    1.7953088221e+00   -7.9930494614e+00    2.1489873491e-01    8.0000000000e+02    3.4905592298e-01    5.6843750000e-01
         7   -2.2443178755e+00    5.0520173369e+00   -4.0741693971e+00    1.8298515216e+00    1.9881323055e+00    1.7953088221e+00   -8.0183373162e+00    1.6072679143e-01    8.0000000000e+02    3.1857359682e-01    5.4887500000e-01
         8   -2.2450239487e+00    5.0518359071e+00   -3.9905179479e+00    1.7454939992e+00    1.9187840893e+00    1.7953088221e+00   -7.8766082458e+00    1.7199738655e-01    8.0000000000e+02    3.0955659220e-01    5.5956250000e-01
         9   -2.2393019248e+00    5.0340119065e+00   -4.0163023877e+00    1.7770004629e+00    1.9674033096e+00    1.7953088221e+00   -7.9939239139e+00    2.1490939444e-01    8.0000000000e+02    3.2983722377e-01    5.5937500000e-01
        10   -2.2426964422e+00    5.0498528442e+00   -4.1174403776e+00    1.8747439354e+00    1.9815442087e+00    1.7953088221e+00   -8.0394665625e+00    1.4517315409e-01    8.0000000000e+02    3.1279224817e-01    5.5600000000e-01
        11   -2.2496396534e+00    5.0711672883e+00   -4.1806468251e+00    1.9310071717e+00    2.0074066696e+00    1.7953088221e+00   -8.1993616438e+00    2.1599932705e-01    8.0000000000e+02    3.4948063012e-01    5.4956250000e-01
        12   -2.2491775833e+00    5.0718223964e+00   -4.0194860869e+00    1.7703085037e+00    1.9229101675e+00    1.7953088221e+00   -7.9143605955e+00    1.7665551899e-01    8.0000000000e+02    3.1288737129e-01    5.5662500000e-01
        13   -2.2413121468e+00    5.0430761587e+00   -3.9989935825e+00    1.7576814357e+00    1.9563931230e+00    1.7953088221e+00   -7.9574191852e+00    2.0672365758e-01    8.0000000000e+02    3.1451067116e-01    5.4668750000e-01
        14   -2.2387507281e+00    5.0299610157e+00   -4.0794666999e+00    1.8407159718e+00    1.9926019213e+00    1.7953088221e+00   -8.0785199595e+00    2.1114251624e-01    8.0000000000e+02    3.4908217093e-01    5.5375000000e-01
        15   -2.2365227616e+00    5.0401475708e+00   -4.1654941073e+00    1.9289713457e+00    1.9916723229e+00    1.7953088221e+00   -8.0911534108e+00    1.3867815854e-01    8.0000000000e+02    3.2747678984e-01    5.5306250000e-01
        16   -2.2364727446e+00    5.0157841742e+00   -4.0472992775e+00    1.8108265329e+00    1.9584189167e+00    1.7953088221e+00   -7.9826836063e+00    1.8165659003e-01    8.0000000000e+02    3.0367607051e-01    5.5412500000e-01
        17   -2.2393224594e+00    5.0239976491e+00   -4.0482098289e+00    1.8088873695e+00    1.9224456759e+00    1.7953088221e+00   -7.9099944729e+00    1.4403014601e-01    8.0000000000e+02    3.1804085354e-01    5.4775000000e-01
        18   -2.2412697682e+00    5.0355244776e+00   -4.0737290447e+00    1.8324592765e+00    1.9725726666e+00    1.7953088221e+00   -8.0302395391e+00    1.8862900571e-01    8.0000000000e+02    3.5347600605e-01    5.4725000000e-01
        19   -2.2384310472e+00    5.0259188404e+00   -3.9496127628e+00    1.7111817156e+00    1.9283011925e+00    1.7953088221e+00   -7.8451577165e+00    1.7193493914e-01    8.0000000000e+02    3.4322043265e-01    5.5250000000e-01
