#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            IonIon              LocalECP            NonLocalECP         BlockWeight         BlockCPU            AcceptRatio         
         0   -1.2459052383e+01    1.5539977462e+02   -2.2249185786e+01    9.7901334025e+00    1.7883656882e+01    1.3050037665e+01   -5.4153930018e+01    9.7104968507e-01    5.1200000000e+02    1.7423046567e-01    4.6953125000e-01
         1   -1.2467920479e+01    1.5563080421e+02   -2.2256705612e+01    9.7887851324e+00    1.7965405414e+01    1.3050037665e+01   -5.4116078075e+01    8.4392938422e-01    5.1200000000e+02    1.7541003227e-01    4.7074218750e-01
         2   -1.2461428441e+01    1.5543879021e+02   -2.2274702866e+01    9.8132744254e+00    1.7997570605e+01    1.3050037665e+01   -5.4179256299e+01    8.5694516265e-01    5.1200000000e+02    1.7443960346e-01    4.7410156250e-01
         3   -1.2428343687e+01    1.5465861485e+02   -2.2381423440e+01    9.9530797530e+00    1.8134763782e+01    1.3050037665e+01   -5.4179240908e+01    6.1301602122e-01    5.1200000000e+02    1.7720898800e-01    4.6375000000e-01
         4   -1.2416821302e+01    1.5431831047e+02   -2.2684117195e+01    1.0267295894e+01    1.8008676764e+01    1.3050037665e+01   -5.4570914519e+01    8.2808289520e-01    5.1200000000e+02    1.7706172634e-01    4.7039062500e-01
         5   -1.2456676759e+01    1.5530171161e+02   -2.2057814350e+01    9.6011375907e+00    1.7991499390e+01    1.3050037665e+01   -5.4015680798e+01    9.1632939275e-01    5.1200000000e+02    1.7517405469e-01    4.6441406250e-01
         6   -1.2437762791e+01    1.5483714724e+02   -2.2302877276e+01    9.8651144849e+00    1.8026369734e+01    1.3050037665e+01   -5.4236072861e+01    8.5678818637e-01    5.1200000000e+02    1.7534865998e-01    4.6847656250e-01
         7   -1.2436103347e+01    1.5481042900e+02   -2.2647446502e+01    1.0211343155e+01    1.8241520203e+01    1.3050037665e+01   -5.4814523143e+01    8.7551877364e-01    5.1200000000e+02    1.7985153105e-01    4.6945312500e-01
         8   -1.2437703409e+01    1.5487349828e+02   -2.2143756970e+01    9.7060535609e+00    1.8328533394e+01    1.3050037665e+01   -5.4618815408e+01    1.0964873792e+00    5.1200000000e+02    1.7831563205e-01    4.6402343750e-01
         9   -1.2461432603e+01    1.5550417959e+02   -2.2378390734e+01    9.9169581307e+00    1.8438974929e+01    1.3050037665e+01   -5.4617305918e+01    7.4990259038e-01    5.1200000000e+02    1.7790203262e-01    4.7273437500e-01
        10   -1.2463692285e+01    1.5550989413e+02   -2.2410088267e+01    9.9463959815e+00    1.8110186633e+01    1.3050037665e+01   -5.4421516517e+01    8.5120395289e-01    5.1200000000e+02    1.7612559069e-01    4.7179687500e-01
        11   -1.2425886366e+01    1.5456671099e+02   -2.1891109672e+01    9.4652233063e+00    1.7949517957e+01    1.3050037665e+01   -5.3834995699e+01    9.4433040596e-01    5.1200000000e+02    1.7407883797e-01    4.7417968750e-01
        12   -1.2447833760e+01    1.5509952677e+02   -2.2655205512e+01    1.0207371752e+01    1.8002391309e+01    1.3050037665e+01   -5.4514764026e+01    8.0712954062e-01    5.1200000000e+02    1.7820262630e-01    4.6699218750e-01
        13   -1.2473521233e+01    1.5577140729e+02   -2.2565962047e+01    1.0092440814e+01    1.7963223473e+01    1.3050037665e+01   -5.4229024774e+01    6.4980158868e-01    5.1200000000e+02    1.7446871568e-01    4.7472656250e-01
        14   -1.2450659067e+01    1.5518331483e+02   -2.2026253624e+01    9.5755945568e+00    1.8137603296e+01    1.3050037665e+01   -5.4182980365e+01    9.6908578041e-01    5.1200000000e+02    1.7631434835e-01    4.6726562500e-01
        15   -1.2436320294e+01    1.5480256002e+02   -2.2109884515e+01    9.6735642209e+00    1.8125300329e+01    1.3050037665e+01   -5.4221580488e+01    9.3635797913e-01    5.1200000000e+02    1.7811784334e-01    4.7121093750e-01
        16   -1.2455476286e+01    1.5527482913e+02   -2.1970287601e+01    9.5148113149e+00    1.7926157597e+01    1.3050037665e+01   -5.3890599377e+01    9.4411651393e-01    5.1200000000e+02    1.7623337451e-01    4.7363281250e-01
        17   -1.2462754009e+01    1.5550608511e+02   -2.2467644599e+01    1.0004890590e+01    1.7955232407e+01    1.3050037665e+01   -5.4158315064e+01    6.8540039418e-01    5.1200000000e+02    1.7591350991e-01    4.6828125000e-01
        18   -1.2435124143e+01    1.5479513110e+02   -2.1916901264e+01    9.4817771207e+00    1.7967167190e+01    1.3050037665e+01   -5.4007477178e+01    1.0733710601e+00    5.1200000000e+02    1.7538672313e-01    4.7359375000e-01
        19   -1.2435831089e+01    1.5478432970e+02   -2.2084885557e+01    9.6490544677e+00    1.8241820070e+01    1.3050037665e+01   -5.4236760059e+01    8.6001676725e-01    5.1200000000e+02    1.7736310977e-01    4.6925781250e-01
