# Index          LocalEnergy            Variance              Weight        NumOfWalkers      AvgSentWalkers         TrialEnergy             DiffEff      LivingFraction
         0   -1.2401861942e+01    2.3007498368e-01    1.6130000000e+04    1.6128000000e+04    0.0000000000e+00   -1.2401391808e+01    9.9978149135e-01    1.0000000000e+00
         1   -1.2401968333e+01    2.2881357403e-01    1.5998052020e+04    1.6128000000e+04    0.0000000000e+00   -2.0494031839e+01    9.9969751768e-01    9.9069940476e-01
         2   -1.2402467955e+01    2.3096546652e-01    1.5999997725e+04    1.5978000000e+04    3.2031250000e-01   -1.1026022153e+01    9.9974595713e-01    1.0000000000e+00
         3   -1.2402637986e+01    2.3533276378e-01    1.5999999161e+04    1.5991000000e+04    4.2968750000e-02   -1.1839809693e+01    9.9980606022e-01    1.0000000000e+00
         4   -1.2403021349e+01    2.4072306714e-01    1.6000000479e+04    1.5997000000e+04    2.3437500000e-02   -1.2215120406e+01    9.9972333012e-01    1.0000000000e+00
         5   -1.2402759772e+01    2.4123340410e-01    1.5999996097e+04    1.5999000000e+04    7.8125000000e-03   -1.2340519395e+01    9.9974779471e-01    9.9987499219e-01
         6   -1.2402739051e+01    2.4492965741e-01    1.5999999885e+04    1.6001000000e+04    1.5625000000e-02   -1.2465257819e+01    9.9972852450e-01    9.9975001562e-01
         7   -1.2404595033e+01    2.4943027662e-01    1.6000017130e+04    1.6000000000e+04    1.5625000000e-02   -1.2402739051e+01    9.9973575663e-01    1.0000000000e+00
         8   -1.2403395114e+01    2.4781102985e-01    1.5999990166e+04    1.6003000000e+04    1.1718750000e-02   -1.2592077457e+01    9.9981342814e-01    9.9981253515e-01
         9   -1.2403385003e+01    2.6969579332e-01    1.5999998322e+04    1.6000000000e+04    1.1718750000e-02   -1.2403395114e+01    9.9978358164e-01    9.9987500000e-01
        10   -1.2406151173e+01    2.4397740737e-01    1.6000022112e+04    1.6000000000e+04    7.8125000000e-03   -1.2403385003e+01    9.9972129951e-01    9.9993750000e-01
        11   -1.2408103772e+01    2.4467115557e-01    1.6000013878e+04    1.6000000000e+04    3.9062500000e-03   -1.2406151173e+01    9.9973154531e-01    9.9968750000e-01
        12   -1.2408541325e+01    2.3578126540e-01    1.6000002570e+04    1.5997000000e+04    1.9531250000e-02   -1.2220586191e+01    9.9964908727e-01    1.0000000000e+00
        13   -1.2409297986e+01    2.3970577434e-01    1.6000005821e+04    1.6001000000e+04    1.5625000000e-02   -1.2471039372e+01    9.9974411434e-01    9.9962502344e-01
        14   -1.2409495204e+01    2.4243483535e-01    1.6000002224e+04    1.5997000000e+04    2.3437500000e-02   -1.2221780405e+01    9.9971079048e-01    1.0000000000e+00
        15   -1.2410102987e+01    2.4178408390e-01    1.6000004310e+04    1.6001000000e+04    1.1718750000e-02   -1.2471993251e+01    9.9980033453e-01    9.9987500781e-01
        16   -1.2412075177e+01    2.3764577098e-01    1.6000018590e+04    1.6000000000e+04    7.8125000000e-03   -1.2410102987e+01    9.9977684068e-01    9.9987500000e-01
        17   -1.2412752961e+01    2.3843665610e-01    1.6000006190e+04    1.6000000000e+04    7.8125000000e-03   -1.2412075177e+01    9.9970819237e-01    9.9993750000e-01
        18   -1.2413752753e+01    2.3783442992e-01    1.6000010620e+04    1.6002000000e+04    7.8125000000e-03   -1.2537745149e+01    9.9980260805e-01    9.9981252343e-01
        19   -1.2413571962e+01    2.3332001123e-01    1.5999998572e+04    1.6002000000e+04    1.1718750000e-02   -1.2538744941e+01    9.9982249349e-01    9.9962504687e-01
        20   -1.2415735681e+01    2.4713803880e-01    1.6000017888e+04    1.5996000000e+04    2.3437500000e-02   -1.2163540706e+01    9.9977593966e-01    9.9981245311e-01
        21   -1.2417207980e+01    2.3639151420e-01    1.6000011978e+04    1.5995000000e+04    1.1718750000e-02   -1.2103186843e+01    9.9970848985e-01    1.0000000000e+00
        22   -1.2418801157e+01    2.4222526000e-01    1.6000011930e+04    1.6002000000e+04    2.7343750000e-02   -1.2542200168e+01    9.9975302203e-01    1.0000000000e+00
        23   -1.2419630764e+01    2.6176879570e-01    1.6000007570e+04    1.6004000000e+04    7.8125000000e-03   -1.2668769912e+01    9.9977240271e-01    9.9968757811e-01
        24   -1.2419823705e+01    2.3311411601e-01    1.6000001874e+04    1.5999000000e+04    1.9531250000e-02   -1.2357128811e+01    9.9983728503e-01    9.9981248828e-01
        25   -1.2420505349e+01    2.4226623434e-01    1.6000004811e+04    1.5999000000e+04    1.1718750000e-02   -1.2357321752e+01    9.9986058518e-01    9.9981248828e-01
        26   -1.2420866001e+01    2.2751087333e-01    1.6000003933e+04    1.5999000000e+04    1.1718750000e-02   -1.2358003396e+01    9.9979504114e-01    9.9981248828e-01
        27   -1.2420211477e+01    2.2750775124e-01    1.5999994562e+04    1.5997000000e+04    1.1718750000e-02   -1.2233348421e+01    9.9974134885e-01    1.0000000000e+00
        28   -1.2421570972e+01    2.2805030906e-01    1.6000009647e+04    1.6001000000e+04    1.5625000000e-02   -1.2482709524e+01    9.9983841005e-01    9.9993750391e-01
        29   -1.2423396229e+01    2.3417712964e-01    1.6000015051e+04    1.6003000000e+04    1.1718750000e-02   -1.2609053397e+01    9.9964782836e-01    9.9975004687e-01
