#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            IonIon              LocalECP            NonLocalECP         BlockWeight         BlockCPU            AcceptRatio         
         0   -1.2413180528e+01    1.5422936957e+02   -2.1915264382e+01    9.5020838547e+00    1.7976170493e+01    1.3050037665e+01   -5.4040537830e+01    1.0990652905e+00    4.0000000000e+02    8.5969832540e+00    4.7235000000e-01
         1   -1.2439765235e+01    1.5487300801e+02   -2.2040452524e+01    9.6006872894e+00    1.8202549366e+01    1.3050037665e+01   -5.4215198382e+01    9.2215882636e-01    4.0000000000e+02    8.5610568523e+00    4.7145000000e-01
         2   -1.2462997512e+01    1.5545869114e+02   -2.2370774048e+01    9.9077765360e+00    1.8020373374e+01    1.3050037665e+01   -5.4222283208e+01    7.8109812021e-01    4.0000000000e+02    8.5632990003e+00    4.6515000000e-01
         3   -1.2501901562e+01    1.5645105086e+02   -2.1785087703e+01    9.2831861407e+00    1.8130532444e+01    1.3050037665e+01   -5.3827144954e+01    8.6148714281e-01    4.0000000000e+02    8.6251977682e+00    4.7760000000e-01
         4   -1.2463035282e+01    1.5549212814e+02   -2.1753486882e+01    9.2904516004e+00    1.7628145452e+01    1.3050037665e+01   -5.3192686565e+01    7.6101656590e-01    4.0000000000e+02    8.5178751945e+00    4.7760000000e-01
         5   -1.2474934046e+01    1.5584650221e+02   -2.1576834128e+01    9.1019000812e+00    1.7947784428e+01    1.3050037665e+01   -5.3716689661e+01    1.1420334409e+00    4.0000000000e+02    8.5130112171e+00    4.8145000000e-01
         6   -1.2441665106e+01    1.5500992744e+02   -2.2631186369e+01    1.0189521263e+01    1.8109497764e+01    1.3050037665e+01   -5.4588532192e+01    7.9781039418e-01    4.0000000000e+02    8.5999165773e+00    4.6870000000e-01
         7   -1.2465286851e+01    1.5550630136e+02   -2.2168182074e+01    9.7028952232e+00    1.7972576106e+01    1.3050037665e+01   -5.4113415570e+01    9.2261972542e-01    4.0000000000e+02    8.5217168331e+00    4.7690000000e-01
         8   -1.2417214449e+01    1.5448205618e+02   -2.1735924332e+01    9.3187098834e+00    1.8045451868e+01    1.3050037665e+01   -5.3747049432e+01    9.1563556686e-01    4.0000000000e+02    8.4482612610e+00    4.7275000000e-01
         9   -1.2448381760e+01    1.5506251986e+02   -2.2113961524e+01    9.6655797632e+00    1.7940729790e+01    1.3050037665e+01   -5.3923929773e+01    8.1920079463e-01    4.0000000000e+02    8.5699214935e+00    4.7135000000e-01
        10   -1.2397446238e+01    1.5399876116e+02   -2.2148459284e+01    9.7510130462e+00    1.8228234079e+01    1.3050037665e+01   -5.4435536458e+01    1.0088054294e+00    4.0000000000e+02    8.5510358214e+00    4.7010000000e-01
        11   -1.2490166149e+01    1.5633421723e+02   -2.2118713641e+01    9.6285474918e+00    1.7978104718e+01    1.3050037665e+01   -5.3963509170e+01    8.1665314542e-01    4.0000000000e+02    8.6336759329e+00    4.6880000000e-01
        12   -1.2467098883e+01    1.5562643254e+02   -2.2182289808e+01    9.7151909246e+00    1.8185626189e+01    1.3050037665e+01   -5.4539239305e+01    1.1212856438e+00    4.0000000000e+02    8.6315165758e+00    4.7070000000e-01
        13   -1.2426891006e+01    1.5460259419e+02   -2.2482572227e+01    1.0055681221e+01    1.8035253378e+01    1.3050037665e+01   -5.4764594042e+01    1.1967307723e+00    4.0000000000e+02    8.6488341689e+00    4.6940000000e-01
        14   -1.2419288578e+01    1.5437569591e+02   -2.2574709345e+01    1.0155420767e+01    1.8069702322e+01    1.3050037665e+01   -5.4538620839e+01    8.4417150707e-01    4.0000000000e+02    8.6064376235e+00    4.6910000000e-01
