#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            IonIon              LocalECP            NonLocalECP         BlockWeight         BlockCPU            AcceptRatio         
         0   -1.2295595555e+01    1.5176401668e+02   -2.1169174549e+01    8.8735789945e+00    1.8002712356e+01    1.3050037665e+01   -5.2982771656e+01    7.6084708526e-01    1.6000000000e+02    1.9277482486e+00    4.2781250000e-01
         1   -1.2423543396e+01    1.5450683092e+02   -2.1762770908e+01    9.3392275121e+00    1.8215530082e+01    1.3050037665e+01   -5.4125056228e+01    1.0967175730e+00    1.6000000000e+02    1.9594775960e+00    3.9562500000e-01
         2   -1.2409153680e+01    1.5435660276e+02   -2.1010430657e+01    8.6012769769e+00    1.7835232414e+01    1.3050037665e+01   -5.2924471984e+01    1.0287712480e+00    1.6000000000e+02    1.9182498276e+00    4.3343750000e-01
         3   -1.2510860104e+01    1.5679274740e+02   -2.1765655444e+01    9.2547953401e+00    1.8147345132e+01    1.3050037665e+01   -5.4045071944e+01    1.0820337029e+00    1.6000000000e+02    1.9404175197e+00    4.4312500000e-01
         4   -1.2407000568e+01    1.5434896339e+02   -2.1697030117e+01    9.2900295485e+00    1.8084289955e+01    1.3050037665e+01   -5.4152148068e+01    1.3207903314e+00    1.6000000000e+02    1.9432088639e+00    4.2625000000e-01
         5   -1.2373959038e+01    1.5335672995e+02   -2.2196744422e+01    9.8227853841e+00    1.8084386976e+01    1.3050037665e+01   -5.4859044177e+01    1.5278751136e+00    1.6000000000e+02    1.9477980778e+00    4.3062500000e-01
         6   -1.2453447791e+01    1.5525430054e+02   -2.1837918394e+01    9.3844706035e+00    1.8093147102e+01    1.3050037665e+01   -5.4241461365e+01    1.2603582041e+00    1.6000000000e+02    1.9363453909e+00    4.1656250000e-01
         7   -1.2466666477e+01    1.5554570610e+02   -2.2100614085e+01    9.6339476081e+00    1.8370089675e+01    1.3050037665e+01   -5.4480401246e+01    9.5965982177e-01    1.6000000000e+02    1.9714376787e+00    4.0156250000e-01
         8   -1.2482093781e+01    1.5599590247e+02   -2.2923909428e+01    1.0441815646e+01    1.8424814193e+01    1.3050037665e+01   -5.5105713444e+01    7.0695215906e-01    1.6000000000e+02    1.9717498802e+00    4.1000000000e-01
         9   -1.2401579518e+01    1.5400676090e+02   -2.2293239552e+01    9.8916600338e+00    1.8289682070e+01    1.3050037665e+01   -5.4367830191e+01    7.3487090412e-01    1.6000000000e+02    1.9630210164e+00    4.5218750000e-01
        10   -1.2406591814e+01    1.5419432460e+02   -2.2291618803e+01    9.8850269890e+00    1.7927767072e+01    1.3050037665e+01   -5.4117944856e+01    8.4852131559e-01    1.6000000000e+02    1.9396337137e+00    4.3781250000e-01
        11   -1.2340048748e+01    1.5248889855e+02   -2.2208046794e+01    9.8679980468e+00    1.7974440186e+01    1.3050037665e+01   -5.4138676428e+01    9.0615178251e-01    1.6000000000e+02    1.9485627554e+00    4.3156250000e-01
        12   -1.2371782441e+01    1.5331343030e+02   -2.1145190620e+01    8.7734081796e+00    1.7995612766e+01    1.3050037665e+01   -5.3489137094e+01    1.2982960436e+00    1.6000000000e+02    1.9609770392e+00    4.2437500000e-01
        13   -1.2311937384e+01    1.5183854203e+02   -2.2393960718e+01    1.0082023334e+01    1.7818682690e+01    1.3050037665e+01   -5.3829535549e+01    5.6685447528e-01    1.6000000000e+02    1.9653547885e+00    4.2656250000e-01
        14   -1.2449647268e+01    1.5538091967e+02   -2.2644884254e+01    1.0195236985e+01    1.7920115467e+01    1.3050037665e+01   -5.4544570742e+01    9.2953335653e-01    1.6000000000e+02    1.9449462889e+00    4.1406250000e-01
        15   -1.2402093025e+01    1.5410664872e+02   -2.2215431858e+01    9.8133388338e+00    1.8279117895e+01    1.3050037665e+01   -5.4395627251e+01    8.5103983287e-01    1.6000000000e+02    1.9648181376e+00    4.1437500000e-01
        16   -1.2478701912e+01    1.5597452012e+02   -2.2576350986e+01    1.0097649074e+01    1.7892995073e+01    1.3050037665e+01   -5.4344091554e+01    8.2470783068e-01    1.6000000000e+02    1.9387165557e+00    4.3281250000e-01
        17   -1.2430312772e+01    1.5465914431e+02   -2.2148770717e+01    9.7184579448e+00    1.8182507035e+01    1.3050037665e+01   -5.5019551775e+01    1.6382363582e+00    1.6000000000e+02    1.9694799581e+00    4.1812500000e-01
        18   -1.2414034363e+01    1.5429257931e+02   -2.2500997240e+01    1.0086962877e+01    1.7730532682e+01    1.3050037665e+01   -5.4440057958e+01    1.1584903712e+00    1.6000000000e+02    1.9545058550e+00    4.2312500000e-01
        19   -1.2400017233e+01    1.5388481452e+02   -2.1526120271e+01    9.1261030380e+00    1.7853726556e+01    1.3050037665e+01   -5.3727399734e+01    1.2975152420e+00    1.6000000000e+02    1.9402272636e+00    4.5062500000e-01
        20   -1.2482003949e+01    1.5598512413e+02   -2.2148877562e+01    9.6668736129e+00    1.8132271920e+01    1.3050037665e+01   -5.4365582055e+01    1.0343949084e+00    1.6000000000e+02    1.9595940992e+00    4.3093750000e-01
        21   -1.2462702698e+01    1.5547617128e+02   -2.1828340648e+01    9.3656379504e+00    1.8334938691e+01    1.3050037665e+01   -5.4040857376e+01    8.2754037143e-01    1.6000000000e+02    2.0057650675e+00    4.2500000000e-01
        22   -1.2391280004e+01    1.5374950038e+02   -2.3927505374e+01    1.1536225370e+01    1.8437760401e+01    1.3050037665e+01   -5.6211378765e+01    7.9607532618e-01    1.6000000000e+02    1.9821579367e+00    4.4250000000e-01
        23   -1.2383821039e+01    1.5362982227e+02   -2.2598526793e+01    1.0214705755e+01    1.8465815148e+01    1.3050037665e+01   -5.5715323016e+01    1.6009434098e+00    1.6000000000e+02    1.9698997361e+00    4.1875000000e-01
        24   -1.2457951091e+01    1.5549079501e+02   -2.3495876225e+01    1.1037925134e+01    1.8130380770e+01    1.3050037665e+01   -5.5432998592e+01    7.5670393175e-01    1.6000000000e+02    1.9607077222e+00    4.3468750000e-01
        25   -1.2476216794e+01    1.5587477854e+02   -2.2310068731e+01    9.8338519371e+00    1.8001131125e+01    1.3050037665e+01   -5.4095050841e+01    7.3381332062e-01    1.6000000000e+02    1.9598119479e+00    4.1656250000e-01
        26   -1.2457396534e+01    1.5534514013e+02   -2.1097983956e+01    8.6405874217e+00    1.7603671261e+01    1.3050037665e+01   -5.2524163677e+01    7.7247079634e-01    1.6000000000e+02    1.9309867679e+00    4.4062500000e-01
        27   -1.2346185308e+01    1.5275435028e+02   -2.1433427785e+01    9.0872424767e+00    1.8202408658e+01    1.3050037665e+01   -5.3492792675e+01    8.0691856719e-01    1.6000000000e+02    1.9445652827e+00    4.1968750000e-01
        28   -1.2464721691e+01    1.5563993275e+02   -2.1614919105e+01    9.1501974145e+00    1.7825189501e+01    1.3050037665e+01   -5.3337986680e+01    8.4784040946e-01    1.6000000000e+02    1.9467887434e+00    4.3843750000e-01
        29   -1.2397037347e+01    1.5401147859e+02   -2.1315007663e+01    8.9179703153e+00    1.7990289832e+01    1.3050037665e+01   -5.3529912211e+01    1.1745770514e+00    1.6000000000e+02    1.9566202073e+00    4.3343750000e-01
        30   -1.2411266704e+01    1.5421194698e+02   -2.2184356438e+01    9.7730897345e+00    1.8319240786e+01    1.3050037665e+01   -5.4469713218e+01    9.1607832870e-01    1.6000000000e+02    1.9668757948e+00    4.0531250000e-01
        31   -1.2433479102e+01    1.5492432873e+02   -2.2199574620e+01    9.7660955184e+00    1.8085976139e+01    1.3050037665e+01   -5.4391978602e+01    1.0563901776e+00    1.6000000000e+02    1.9762832014e+00    4.4062500000e-01
        32   -1.2447987190e+01    1.5518352505e+02   -2.2634679350e+01    1.0186692161e+01    1.8631663939e+01    1.3050037665e+01   -5.5086148410e+01    7.6976745601e-01    1.6000000000e+02    1.9864516426e+00    4.1250000000e-01
        33   -1.2482111740e+01    1.5601220469e+02   -2.2061059816e+01    9.5789480763e+00    1.7830094258e+01    1.3050037665e+01   -5.3892029682e+01    9.5083794318e-01    1.6000000000e+02    1.9194507804e+00    4.3500000000e-01
