#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            IonIon              LocalECP            NonLocalECP         BlockWeight         BlockCPU            AcceptRatio         
         0   -2.2434415524e+00    5.0459080065e+00   -4.1259650865e+00    1.8825235341e+00    1.9321161897e+00    1.7953088221e+00   -8.0658027045e+00    2.1241260623e-01    8.0000000000e+02    3.2621678001e-01    5.5212500000e-01
         1   -2.2483805426e+00    5.0689135607e+00   -4.0105305857e+00    1.7621500431e+00    1.9558264993e+00    1.7953088221e+00   -7.9378500670e+00    1.7618415988e-01    8.0000000000e+02    3.4007384694e-01    5.5543750000e-01
         2   -2.2394218828e+00    5.0269714736e+00   -4.1652196459e+00    1.9257977631e+00    1.9598050581e+00    1.7953088221e+00   -8.0888565988e+00    1.6852307276e-01    8.0000000000e+02    3.4278994430e-01    5.5281250000e-01
         3   -2.2466880068e+00    5.0698323559e+00   -4.1272620305e+00    1.8805740237e+00    1.9589117617e+00    1.7953088221e+00   -8.1021337648e+00    2.2065115059e-01    8.0000000000e+02    3.1888502149e-01    5.5262500000e-01
         4   -2.2356127632e+00    5.0094787233e+00   -4.1394184267e+00    1.9038056635e+00    1.9496096745e+00    1.7953088221e+00   -8.0882951878e+00    2.0395826451e-01    8.0000000000e+02    3.3726509385e-01    5.4743750000e-01
         5   -2.2403891992e+00    5.0352916742e+00   -4.0316678970e+00    1.7912786978e+00    1.9794209464e+00    1.7953088221e+00   -7.9803722390e+00    1.7397457360e-01    8.0000000000e+02    3.1474788005e-01    5.5106250000e-01
         6   -2.2427555301e+00    5.0417751087e+00   -3.9545603775e+00    1.7118048475e+00    1.9049390349e+00    1.7953088221e+00   -7.8161932948e+00    1.6138506026e-01    8.0000000000e+02    3.2314600082e-01    5.6050000000e-01
         7   -2.2390171633e+00    5.0233886012e+00   -3.9896129889e+00    1.7505958256e+00    1.9594027255e+00    1.7953088221e+00   -7.9409367467e+00    1.9661221030e-01    8.0000000000e+02    3.5438672220e-01    5.5325000000e-01
         8   -2.2381259728e+00    5.0272459344e+00   -3.9861376201e+00    1.7480116473e+00    1.9563986519e+00    1.7953088221e+00   -7.9334087467e+00    1.9556365257e-01    8.0000000000e+02    3.4003167034e-01    5.5206250000e-01
         9   -2.2371681598e+00    5.0148442471e+00   -4.0921563475e+00    1.8549881876e+00    1.9321796973e+00    1.7953088221e+00   -7.9583641647e+00    1.3871929789e-01    8.0000000000e+02    3.4071614168e-01    5.5137500000e-01
        10   -2.2416258132e+00    5.0355032202e+00   -4.1079871919e+00    1.8663613787e+00    1.9521588196e+00    1.7953088221e+00   -8.0388932311e+00    1.8343839756e-01    8.0000000000e+02    3.3383290870e-01    5.5431250000e-01
        11   -2.2481120295e+00    5.0694162197e+00   -3.9992698351e+00    1.7511578056e+00    1.9584836114e+00    1.7953088221e+00   -7.9747402394e+00    2.2167797082e-01    8.0000000000e+02    2.9666004873e-01    5.5837500000e-01
        12   -2.2416136561e+00    5.0446981859e+00   -4.0418321830e+00    1.8002185269e+00    1.9247985620e+00    1.7953088221e+00   -7.9038640078e+00    1.4192444075e-01    8.0000000000e+02    3.2868267176e-01    5.5081250000e-01
        13   -2.2384287058e+00    5.0204313422e+00   -4.0032954302e+00    1.7648667244e+00    1.9308685989e+00    1.7953088221e+00   -7.9274815127e+00    1.9800866156e-01    8.0000000000e+02    3.3299680977e-01    5.5325000000e-01
        14   -2.2418298854e+00    5.0395783308e+00   -4.0431391246e+00    1.8013092392e+00    1.9541264118e+00    1.7953088221e+00   -7.9984493534e+00    2.0587499504e-01    8.0000000000e+02    3.4731106330e-01    5.5256250000e-01
        15   -2.2416968961e+00    5.0361166653e+00   -4.0404851573e+00    1.7987882612e+00    1.9738142926e+00    1.7953088221e+00   -7.9618148393e+00    1.5220656741e-01    8.0000000000e+02    3.2579819482e-01    5.5731250000e-01
        16   -2.2458080385e+00    5.0583743872e+00   -4.1453910662e+00    1.8995830277e+00    1.9419569499e+00    1.7953088221e+00   -8.0601829421e+00    1.7752610389e-01    8.0000000000e+02    3.2342328659e-01    5.5250000000e-01
        17   -2.2408134075e+00    5.0327345987e+00   -3.9199453540e+00    1.6791319465e+00    1.9479989941e+00    1.7953088221e+00   -7.8363047245e+00    1.7305155430e-01    8.0000000000e+02    3.4538972951e-01    5.5237500000e-01
        18   -2.2430387075e+00    5.0428110215e+00   -3.9074934705e+00    1.6644547630e+00    1.8965755928e+00    1.7953088221e+00   -7.7606489539e+00    1.6127106858e-01    8.0000000000e+02    3.4157650232e-01    5.6956250000e-01
        19   -2.2433000686e+00    5.0460701235e+00   -3.9791858692e+00    1.7358858006e+00    1.8921400024e+00    1.7953088221e+00   -7.8382229260e+00    1.7158823235e-01    8.0000000000e+02    3.1989204912e-01    5.5725000000e-01
